Tm,ORB%,DRB%,STL%,TS%
MEM,11.0,6.8,2.6,.750
MEM,0.0,9.8,1.6,.595
MEM,6.3,22.0,8.4,.400
MEM,0.0,30.6,0.0,.581
MEM,9.5,8.6,3.8,.500
MEM,8.9,0.0,0.0,.000
MEM,0.0,15.2,6.3,.333
MEM,4.1,20.0,9.5,.500
MEM,10.7,10.9,5.2,.354
MEM,0.0,13.1,2.6,.400
MEM,0.0,8.5,0.0,.500
MEM,0.0,12.5,0.0,.000
MEM,0.0,0.0,3.1,.000
MEM,0.0,9.7,3.7,.500
MEM,0.0,0.0,8.7,.000
MEM,0.0,0.0,0.0,1.136
MEM,0.0,6.5,3.2,.200
MEM,0.0,0.0,5.6,.410
MEM,0.0,12.5,4.6,.652
MEM,0.0,7.0,0.0,.129
MEM,0.0,8.6,2.0,.250
MEM,12.3,0.0,5.3,.500
MEM,12.5,8.3,3.2,.521
MEM,0.0,0.0,9.1,.375
MEM,0.0,10.7,0.0,.200
MEM,0.0,7.5,6.5,.625
MEM,0.0,0.0,0.0,.400
MEM,0.0,16.7,0.0,.694
MEM,0.0,0.0,0.0,.512
MEM,0.0,0.0,0.0,1.000
MEM,0.0,13.9,2.1,.727
MEM,0.0,0.0,6.3,.595
MEM,0.0,18.1,0.0,.233
