SO,SLG,SF,3B,POS,CS,G,GIDP,R,H
27,.283,1,0,C,0,30,2,9,26
24,.163,1,0,3B,0,17,0,4,6
1,.727,1,0,SS,0,4,0,3,4
6,.139,0,0,2B,1,12,1,4,5
27,.383,0,2,3B,1,43,7,7,39
6,.424,0,3,SS,3,21,0,17,27
14,.256,3,0,2B,1,29,1,7,16
42,.477,1,6,CF,2,48,3,21,48
58,.304,0,1,RF,2,51,3,16,40
13,.310,1,0,2B,1,22,0,15,17
5,.000,0,0,3B,0,4,2,0,0
6,.350,0,0,1B,0,6,0,3,5
2,.333,0,0,OF,0,5,0,1,4
0,.000,0,0,C,0,2,0,0,0
17,.298,0,0,C,1,20,2,7,9
23,.351,1,0,C,0,24,2,15,17
22,.349,3,1,C,2,34,3,13,31
4,.353,0,0,CF,0,5,0,3,4
10,.483,0,0,C,0,8,0,5,8
6,.111,0,0,LF,0,12,0,4,2
2,.500,0,0,OF,0,3,1,3,3
16,.208,0,0,C,0,16,2,9,10
2,.091,0,0,2B,0,10,0,0,1
7,.214,0,0,LF,2,11,0,3,6
14,.256,0,0,1B,2,12,0,4,8
11,.490,0,1,OF,2,21,0,6,18
2,.500,0,0,C,0,4,0,2,6
46,.374,1,4,CF,5,54,1,29,52
20,.314,0,0,SS,1,32,2,16,29
35,.234,0,1,RF,2,28,0,11,15
23,.247,1,0,C,0,31,2,9,17
19,.194,0,0,SS,0,14,0,3,5
15,.419,1,0,SS,5,36,2,14,43
14,.295,0,0,SS,0,21,1,2,12
36,.478,0,0,2B,0,30,1,12,31
6,.200,0,0,C,0,11,0,3,5
3,.600,0,0,CF,0,4,0,3,2
41,.316,2,1,LF,7,52,3,29,37
19,.196,0,0,SS,0,18,1,2,10
41,.482,0,4,SS,4,53,2,41,56
12,.329,0,0,2B,0,26,1,12,18
4,.333,0,0,OF,0,7,0,2,4
10,.286,0,0,SS,2,7,0,1,4
38,.304,0,4,LF,0,37,0,15,19
2,.185,0,0,SS,1,7,3,3,5
27,.233,2,0,1B,2,33,1,7,18
17,.385,2,0,3B,5,23,0,11,16
12,.455,0,0,1B,0,10,1,3,5
16,.398,0,2,C,1,43,3,12,39
11,.433,2,0,SS,3,23,2,17,23
13,.248,1,0,SS,1,42,7,15,27
11,.308,1,0,2B,1,28,0,13,16
29,.314,1,1,3B,1,39,5,6,31
44,.441,0,2,RF,2,50,3,24,41
2,.684,0,0,OF,0,5,0,2,7
35,.405,4,1,OF,6,53,4,33,53
10,.138,0,0,LF,0,12,0,3,4
9,.333,0,1,RF,0,14,2,3,10
29,.281,0,0,SS,2,52,2,14,48
4,.056,0,0,C,1,7,0,1,1
22,.274,0,1,1B,1,32,0,7,24
1,.167,0,0,1B,0,2,0,0,1
36,.437,1,0,CF,8,38,3,21,33
2,.500,1,0,1B,0,5,0,0,6
1,.250,0,0,OF,0,3,0,1,3
2,.160,0,0,1B,0,10,1,2,4
0,.500,0,0,1B,0,3,0,0,2
45,.410,3,3,SS,4,39,2,19,38
46,.267,1,0,3B,1,49,3,15,33
8,.146,0,0,C,1,18,0,0,5
18,.401,1,1,2B,2,43,10,20,54
20,.333,0,1,LF,5,39,3,18,35
34,.360,0,3,SS,1,47,4,24,51
18,.380,0,1,1B,2,26,3,6,21
21,.283,0,0,SS,1,26,1,9,13
42,.352,3,6,SS,2,47,4,19,42
26,.466,0,3,OF,3,27,0,17,19
1,.500,0,0,C,0,4,1,2,5
52,.259,1,1,RF,2,38,4,11,20
1,.400,1,0,C,0,5,3,2,2
0,--,0,0,P,0,1,0,0,0
65,.407,0,4,RF,5,47,2,18,29
13,.367,1,1,C,0,17,0,9,14
10,.590,0,1,2B,1,23,5,6,30
27,.406,3,6,OF,6,56,5,34,62
24,.278,1,0,SS,2,29,2,14,17
19,.327,1,0,C,1,36,0,19,22
5,.094,1,0,1B,0,9,1,1,3
0,1.000,0,0,OF,0,2,0,1,1
22,.211,2,1,C,0,39,6,7,23
24,.235,0,1,LF,0,24,2,8,12
1,.250,0,0,DH,0,8,0,4,4
30,.398,1,3,OF,4,29,4,14,18
21,.297,2,1,OF,4,32,5,15,27
17,.369,2,1,C,1,25,2,12,23
26,.366,6,2,CF,2,45,4,21,39
33,.293,1,0,1B,2,52,4,16,45
21,.347,2,0,3B,1,33,8,8,27
6,.250,0,0,2B,0,11,1,2,8
6,.320,0,0,C,2,9,0,3,6
5,.276,0,0,2B,1,8,0,5,8
29,.340,0,3,LF,2,30,1,16,25
33,.302,0,2,RF,2,44,2,15,27
36,.344,2,1,OF,2,46,4,17,36
40,.384,0,2,LF,0,41,4,15,32
12,.252,0,0,2B,0,39,5,12,24
10,.300,0,1,C,0,27,1,13,22
8,.342,0,0,OF,1,12,0,11,10
0,.500,0,0,CF,0,1,0,0,1
19,.256,1,0,2B,4,34,2,11,18
34,.438,1,0,1B,0,31,0,7,23
25,.341,0,0,1B,1,27,0,17,20
15,.380,1,1,1B,0,33,3,10,28
19,.374,3,0,C,8,45,0,24,41
68,.253,0,2,LF,7,52,0,30,31
13,.533,2,3,SS,2,25,1,12,32
9,.391,0,0,2B,0,6,0,4,5
35,.338,3,0,LF,2,47,2,15,33
3,.273,0,0,2B,0,7,2,1,4
32,.342,1,2,SS,5,40,4,20,42
28,.258,0,0,CF,3,41,2,22,30
42,.363,2,2,3B,2,49,4,19,40
11,.333,0,0,OF,0,10,0,6,6
25,.395,0,1,OF,0,26,0,9,8
6,.471,0,0,OF,0,5,1,1,3
1,.800,1,0,CF,0,2,0,1,1
2,.500,0,0,OF,0,12,1,4,17
32,.224,0,0,DH,1,17,1,6,9
25,.420,3,2,2B,3,51,2,24,60
22,.330,1,0,2B,1,56,5,16,52
39,.297,0,0,1B,0,46,5,23,33
9,.389,1,0,C,3,19,0,7,16
3,.000,0,0,C,0,3,0,1,0
10,.541,0,1,1B,0,28,3,9,32
22,.263,1,0,CF,1,26,1,10,19
33,.269,2,1,2B,5,50,4,18,34
14,.308,1,0,C,2,28,2,7,19
37,.299,0,0,3B,3,50,3,21,41
29,.407,2,5,LF,4,41,4,13,44
3,1.000,0,0,3B,0,5,0,2,4
29,.233,0,0,CF,6,24,1,8,14
5,.250,0,0,1B,0,5,0,2,4
13,.154,0,0,OF,0,12,0,2,4
1,.000,0,0,C,0,3,0,2,0
7,.375,1,0,OF,1,11,0,5,8
30,.203,0,1,LF,1,20,0,5,11
40,.310,1,2,3B,0,45,2,20,29
0,.250,0,0,OF,0,1,0,0,1
11,.473,1,0,C,0,16,5,7,19
32,.436,0,0,LF,5,41,2,16,45
1,.167,0,0,2B,0,2,0,1,1
16,.118,0,0,C,0,17,0,0,4
23,.316,1,1,LF,2,38,0,12,21
2,.500,0,0,SS,1,3,0,1,6
39,.186,2,0,SS,1,37,5,11,15
1,1.000,0,0,OF,0,2,0,1,3
11,.136,0,0,C,0,12,0,2,3
9,.087,0,0,OF,1,10,0,2,2
10,.325,0,1,LF,0,15,2,4,10
19,.226,0,1,RF,2,26,0,4,11
11,.280,0,0,LF,1,8,0,2,6
