Year,Age,Lg,Tm,PA,AB,Walk Rate,Strikeout Rate,BB/K Ratio,Contact Rate,BABIP,Isolated Power
2007,22.0,A,INL,480,433,9.8%,14.6%,0.67,84%,0.353,0.146
2008,23.0,AA,JAC,544,478,9.9%,13.4%,0.74,85%,0.311,0.117
2009,24.0,AA,CHA,123,96,17.9%,12.2%,1.47,84%,0.342,0.188
2009,24.0,AAA,ALB,292,257,10.6%,12.7%,0.84,86%,0.307,0.171
2009,24.0,MAJ,LAD,24,22,0%,20.8%,0.0,77%,0.188,0.227
2010,25.0,AAA,ALB,608,545,7.1%,16.1%,0.44,82%,0.364,0.121
2011,26.0,AAA,ALB,533,475,8.3%,19.1%,0.43,79%,0.336,0.2
2011,26.0,MAJ,LAD,4,4,0%,25%,0.0,75%,0.0,0.0
2012,27.0,AAA,NOR,427,366,12.6%,17.3%,0.73,80%,0.292,0.153
2013,28.0,AAA,LAS,395,365,5.6%,14.9%,0.37,84%,0.31,0.159
Career, , , ,28,26,0%,21.4%,0.0,77%,0.158,0.192
