oWAR,WAA,Name,162WL%,RAA,Tm
1.4,0.0,Cy Williams*,.500,1,PHI
0.1,-1.5,Zack Taylor,.491,-14,BSN
0.0,0.0,Hal Carlson,.500,0,CHC
0.6,0.3,Ernie Orsatti*,.502,3,STL
0.0,0.0,Chet Nichols,.500,0,NYG
-0.1,-0.1,Bill Clarkson,.500,-0,2TM
-0.2,-0.2,Jesse Haines,.499,-2,STL
-0.5,-0.5,Joe Genewich,.499,-5,2TM
0.1,0.1,Les Sweetland,.501,1,PHI
0.1,0.1,Pat Veltman,.500,1,NYG
0.3,-0.1,Johnny Schulte*,.500,-1,PHI
0.5,0.5,Bill Sherdel*,.503,5,STL
-0.1,-0.1,Dutch Henry*,.500,-1,NYG
2.5,0.6,George Sisler*,.504,6,BSN
1.2,1.2,Burleigh Grimes,.508,12,PIT
0.1,0.1,Lee Meadows*,.500,1,PIT
-0.1,-0.1,Dolf Luque,.499,-1,CIN
0.9,-1.4,Wattie Holm,.492,-14,STL
-0.2,-1.5,Les Mann,.491,-14,NYG
1.7,-0.3,Freddy Leach*,.499,-2,PHI
1.1,-0.0,High Pockets Kelly,.500,1,CIN
-0.4,-1.4,Hank DeBerry,.491,-14,BRO
1.7,0.4,Jimmy Welsh*,.503,5,NYG
-0.1,-0.1,Ed Baecht,.500,-0,PHI
-0.8,-0.9,Guy Bush,.495,-8,CHC
0.7,0.7,Red Lucas*,.505,7,CIN
1.3,-0.2,Andy High*,.499,-1,STL
0.3,-0.2,Ray Blades,.499,-2,STL
-0.6,-2.9,Eddie Brown,.483,-28,BSN
1.7,0.2,Hughie Critz,.502,3,CIN
-0.1,-0.1,Ray Jacobs,.500,-1,CHC
0.1,0.1,Bill Windle*,.500,1,PIT
0.3,0.3,Ray Kolp,.502,3,CIN
0.5,0.5,Erv Brame*,.503,5,PIT
-0.1,-0.1,Syl Johnson,.499,-1,STL
1.7,1.0,Taylor Douthit,.507,11,STL
-0.0,-0.0,Les Bartholomew,.500,-0,PIT
-0.2,-0.2,Doug McWeeny,.499,-2,BRO
-0.3,-0.3,Watty Clark*,.498,-3,BRO
-0.1,-0.1,Ed Lennon,.499,-1,PHI
-0.6,-0.9,Jimmy Cooney,.495,-8,BSN
-0.4,-1.2,Russ Wrightstone*,.496,-11,2TM
0.2,0.1,Dazzy Vance,.501,2,BRO
-0.0,-0.1,Dinny McNamara*,.500,-0,BSN
0.7,0.0,Fred Brickell*,.500,1,PIT
0.1,-0.2,Earl Webb*,.499,-2,CHC
0.1,0.1,Mack Hillis,.501,1,PIT
0.8,-0.3,Clyde Beck,.499,-2,CHC
-0.0,-0.0,Bill Cronin,.500,-0,BSN
0.4,-0.7,Marty Callaghan*,.496,-6,CIN
-0.2,-1.4,Harry Riconda,.492,-13,BRO
0.7,-0.9,Jimmie Wilson,.495,-8,2TM
-0.5,-0.8,Clyde Sukeforth*,.495,-8,CIN
-0.1,-0.1,Percy Jones,.499,-1,CHC
6.3,3.2,Jim Bottomley*,.521,34,STL
1.4,0.7,Wally Roettger,.505,7,STL
5.8,3.3,Hack Wilson,.521,35,CHC
-0.4,-0.4,Fred Fussell*,.497,-4,PIT
1.3,0.1,Curt Walker*,.501,1,CIN
0.2,-0.4,Spud Davis,.498,-4,2TM
0.2,0.1,Doc Gautreau,.500,1,BSN
-0.7,-0.8,Jesse Petty,.495,-7,BRO
0.0,0.0,Elmer Yoter,.500,0,CHC
0.1,0.1,Hal Haid,.501,1,STL
0.1,0.1,Rube Ehrhardt,.500,0,BRO
0.4,0.4,Joe Dawson,.502,4,PIT
-0.6,-0.6,Kent Greenfield,.496,-6,BSN
-0.1,-0.1,Tiny Chaplin,.499,-1,NYG
1.1,0.4,Walt Lerian,.503,4,PHI
5.0,2.3,Del Bissonette*,.515,24,BRO
0.5,-1.4,Charlie Grimm*,.492,-13,CHC
0.0,0.0,Freddie Fitzsimmons,.500,0,NYG
-0.0,-0.0,Lefty Weinert*,.500,-0,CHC
-0.3,-0.3,Jimmy Ring,.498,-3,PHI
-0.1,-0.1,Claude Willoughby,.499,-1,PHI
