Pitcher,Team,AB,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS
Jered Weaver,ANA,52,15,5,0,1,5,3,7,0,0,0.288,0.321,0.442,0.764
Felix Hernandez,SEA,41,12,4,0,1,6,3,5,1,0,0.293,0.356,0.463,0.819
Jason Vargas,KC,38,8,0,0,0,1,3,6,0,2,0.211,0.268,0.211,0.479
Justin Verlander,DET,36,11,2,0,0,5,1,4,0,0,0.306,0.324,0.361,0.685
John Lackey,STL,36,7,2,1,1,4,0,6,1,0,0.194,0.211,0.389,0.599
David Price,TOR,33,7,4,0,1,6,1,11,2,0,0.212,0.257,0.424,0.681
CC Sabathia,NY-A,33,7,1,0,4,9,5,6,1,0,0.212,0.316,0.606,0.922
Ervin Santana,MIN,33,3,0,0,0,2,1,7,0,0,0.091,0.139,0.091,0.23
Joe Saunders,SEA,33,2,0,0,1,1,2,2,0,0,0.061,0.114,0.152,0.266
Mark Buehrle,TOR,31,12,2,0,1,7,1,0,0,0,0.387,0.394,0.548,0.942
Scott Kazmir,HOU,31,3,1,0,0,3,2,4,0,0,0.097,0.171,0.129,0.3
Jeremy Guthrie,KC,27,8,3,0,1,3,0,2,0,0,0.296,0.321,0.519,0.84
A.J. Burnett,PIT,26,7,1,0,0,2,3,4,2,0,0.269,0.345,0.308,0.653
Colby Lewis,TEX,26,4,0,0,2,2,0,6,0,0,0.154,0.154,0.385,0.538
Doug Fister,WAS,25,7,1,1,0,3,0,2,0,0,0.28,0.28,0.4,0.68
C.J. Wilson,ANA,25,2,1,0,0,3,2,7,2,0,0.08,0.143,0.12,0.263
Derek Holland,TEX,24,8,3,0,2,4,0,3,0,1,0.333,0.333,0.708,1.042
Francisco Liriano,PIT,24,5,1,0,0,2,2,3,0,0,0.208,0.269,0.25,0.519
Jon Lester,CHI-N,23,7,0,0,1,1,2,4,0,1,0.304,0.36,0.435,0.795
Tommy Hunter,CHI-N,23,6,3,0,0,0,0,0,0,0,0.261,0.261,0.391,0.652
Tim Lincecum,SF,23,6,0,0,0,2,0,3,1,0,0.261,0.261,0.261,0.522
Rick Porcello,BOS,23,5,2,0,0,5,4,1,0,0,0.217,0.31,0.304,0.615
Dan Haren,CHI-N,22,9,2,0,0,1,0,3,0,0,0.409,0.409,0.5,0.909
Ryan Rowland-Smith, ,22,7,3,0,1,1,3,0,1,0,0.318,0.423,0.591,1.014
Scott Feldman,HOU,22,6,2,0,0,4,1,5,1,0,0.273,0.304,0.364,0.668
