2B,RBI,POS,BB,Team,G,AVG,R,SF
15,55,3B,36,NBR,67,0.236,35,3
1,0,C,1,REA,2,0.167,0,0
30,52,3B,70,BIN,127,0.272,77,6
1,5,2B,12,RIC,32,0.188,10,0
1,3,2B,1,REA,3,0.5,2,1
0,0,3B,4,NH,3,0.333,3,0
24,60,SS,44,NH,120,0.262,59,4
12,33,3B,37,HAR,97,0.254,31,3
16,31,2B,21,NH,64,0.243,26,2
0,0,C,0,HAR,1,0.0,0,0
3,1,C,3,ALT,20,0.164,7,0
10,29,1B,23,AKR,38,0.328,23,2
0,0,2B,1,ALT,4,0.143,1,0
17,23,3B,26,REA,80,0.264,31,2
4,22,SS,12,TRN,46,0.218,15,1
23,43,3B,14,AKR,116,0.27,42,2
3,2,C,2,TRN,9,0.16,2,0
4,8,C,1,AKR,21,0.295,9,0
28,105,1B,56,AKR,130,0.275,66,7
19,38,2B,21,NBR,70,0.284,40,2
9,38,C,28,ALT,99,0.22,23,3
0,2,C,5,AKR,5,0.2,2,0
23,47,3B,59,ALT,118,0.281,62,4
10,25,C,24,TRN,49,0.268,34,2
12,23,SS,31,RIC,73,0.24,31,2
7,5,SS,10,RIC,48,0.263,19,1
19,33,SS,22,REA,117,0.225,35,5
1,1,3B,7,REA,12,0.143,3,0
4,10,SS,8,ALT,35,0.255,13,1
11,30,1B,20,BIN,53,0.278,20,2
4,15,3B,9,NBR,33,0.165,12,2
22,67,1B,73,HAR,131,0.25,56,7
2,4,SS,2,POR,6,0.2,1,1
6,7,3B,12,AKR,34,0.31,12,0
0,0,SS,0,BIN,1,0.0,0,0
16,42,2B,30,REA,128,0.254,76,7
0,5,SS,10,POR,19,0.236,7,2
24,69,1B,53,TRN,124,0.253,59,2
0,0,C,1,NH,2,0.0,1,0
28,35,2B,12,ERI,87,0.301,45,3
7,28,SS,21,HAR,53,0.267,32,1
11,24,3B,30,HAR,33,0.319,17,3
8,22,2B,13,ERI,53,0.303,19,1
0,0,C,0,AKR,1,0.333,0,0
4,5,2B,17,NBR,49,0.15,13,0
15,29,C,16,NH,50,0.276,28,3
1,4,2B,7,NH,25,0.22,9,1
12,52,2B,19,BOW,61,0.291,38,2
22,47,3B,38,NBR,101,0.253,47,5
8,10,2B,2,NH,48,0.213,13,0
4,6,C,3,RIC,17,0.2,3,0
6,26,2B,26,AKR,58,0.246,30,2
0,1,SS,1,TRN,2,0.375,1,0
12,32,3B,21,BIN,99,0.206,42,3
20,27,2B,15,BOW,74,0.303,42,2
15,41,C,19,REA,98,0.203,38,2
1,6,1B,4,TRN,8,0.125,2,0
30,54,C,30,ERI,119,0.277,50,7
3,5,C,0,TRN,7,0.32,1,0
5,12,C,10,NBR,28,0.295,8,1
21,47,3B,51,BOW,72,0.283,51,6
13,61,3B,48,BOW,99,0.213,46,3
15,29,1B,23,NH,73,0.218,20,2
0,5,3B,5,TRN,4,0.333,3,1
4,8,3B,14,TRN,39,0.203,14,1
6,21,C,14,REA,41,0.245,18,0
0,0,3B,4,HAR,10,0.208,2,0
22,82,1B,102,BIN,122,0.274,56,6
25,52,3B,16,AKR,116,0.265,62,5
0,5,SS,2,RIC,25,0.25,5,0
0,0,2B,1,NBR,1,0.5,1,0
1,0,C,2,AKR,6,0.19,2,0
11,28,1B,8,RIC,52,0.235,23,2
12,34,C,10,POR,52,0.222,21,1
19,49,SS,8,BOW,125,0.276,54,1
2,6,SS,2,TRN,20,0.312,12,2
10,16,SS,28,ALT,72,0.177,29,3
27,57,2B,58,RIC,137,0.257,64,6
0,5,2B,0,NBR,7,0.217,3,0
8,28,2B,25,ERI,97,0.241,43,1
0,10,C,11,REA,35,0.235,12,0
22,45,SS,24,NBR,131,0.297,66,5
9,23,C,16,BOW,49,0.26,24,2
6,23,1B,15,RIC,66,0.207,19,2
18,33,C,32,BIN,88,0.192,36,2
7,22,2B,16,POR,56,0.257,26,0
27,67,2B,92,BIN,127,0.249,86,5
3,5,2B,6,ERI,20,0.193,6,0
1,0,C,1,HAR,2,0.5,1,0
23,68,C,64,NBR,107,0.308,59,0
3,6,2B,4,BOW,18,0.145,5,1
5,10,3B,6,NH,21,0.265,10,1
2,2,C,1,POR,3,0.333,3,0
0,2,SS,0,TRN,3,0.182,0,0
6,4,C,7,BIN,21,0.246,4,1
31,97,C,39,BOW,135,0.299,74,10
1,3,C,0,BIN,6,0.261,4,0
10,16,3B,20,TRN,67,0.228,19,2
5,13,C,16,RIC,47,0.172,7,1
5,1,1B,6,BOW,17,0.242,7,0
0,0,1B,1,TRN,2,0.2,0,0
5,19,2B,14,NBR,45,0.316,21,3
4,11,C,4,HAR,30,0.28,11,1
21,65,3B,79,NH,126,0.21,67,1
6,10,C,13,TRN,23,0.25,12,1
16,38,2B,39,AKR,113,0.272,78,4
14,25,3B,27,ALT,95,0.254,38,5
14,43,1B,40,NH,76,0.27,41,0
18,49,3B,30,ALT,131,0.216,53,3
2,4,3B,6,NBR,23,0.189,6,0
30,66,3B,62,RIC,128,0.309,74,5
6,10,C,32,AKR,32,0.247,10,0
0,0,C,0,ALT,4,0.143,1,0
4,11,2B,3,REA,36,0.242,14,0
0,1,3B,1,TRN,2,0.2,1,0
12,22,3B,9,HAR,51,0.253,18,2
