GP,FTM,Team,Ast,Pts
6,1.2,PAU,0.5,6.2
2,0.0,PAU,0.0,1.5
-,-,-,-,-
4,2.8,PAU,0.5,12.5
2,2.5,PAU,2.5,16.0
5,1.4,All Teams,0.6,4.8
7,2.0,All Teams,0.9,10.1
14,2.6,All Teams,0.6,9.9
11,2.9,PAU,0.7,11.3
1,0.0,PAU,0.0,0.0
1,0.0,PAU,0.0,3.0
5,1.4,PAU,0.6,6.8
-,-,-,-,-
23,2.1,All Teams,0.9,10.0
2,0.0,All Teams,0.5,1.5
8,2.2,All Teams,0.6,10.5
24,2.3,PAU,1.0,11.0
3,1.0,PAU,0.7,7.3
2,0.0,PAU,0.5,2.5
-,-,-,-,-
5,2.8,PAU,1.2,11.8
1,0.0,PAU,1.0,0.0
6,1.2,PAU,0.5,6.2
5,1.4,PAU,0.6,4.8
19,2.8,PAU,1.1,13.1
-,-,-,-,-
2,1.5,All Teams,0.5,3.0
3,1.0,PAU,0.7,6.3
1,0.0,PAU,0.0,3.0
11,1.4,All Teams,0.8,9.6
6,2.3,PAU,1.0,11.8
2,2.0,All Teams,2.0,12.5
2,1.5,PAU,0.5,3.0
