col23,col21,col17,col18,col4,col11,col10,col15,col5,col3,col13
-,[03],(0.011),[04],-,(0.014),10.056,[04],-,03 01 09.85 +46 58 47.7,9.765
-,-,(0.011),[03],-,(0.008),12.980,[03],-,11 24 55.92 +34 44 38.5,12.402
-,03],(0.010),[04],-,(0.015),11.435,[04],-,03 13 24.16 +18 49 38.4,10.983
-,-,(0.009),[02],-,(0.019),11.288,[03],-,09 41 35.80 +00 33 12.0,11.004
(0.03),[05],-,-,-,-,-,-,-,09 01 38.01 -01 28 34.8,-
-,-,(0.006),[04],-,(0.010),11.076,[03],-,02 57 21.21 +00 18 38.2,10.961
-,-,(0.008),[04],11.910,(0.008),11.601,[04],(0.023),14 58 33.10 +37 08 33.0,11.267
-,-,(0.014),[06],-,(0.009),11.811,[05],-,23 23 34.40 -15 21 07.0,11.559
-,[04],(0.005),[05],-,(0.010),9.437,[05],-,19 41 23.52 -03 50 56.1,9.423
-,-,(0.011),[04],-,(0.017),12.668,[04],-,08 51 19.31 +11 52 10.4,12.363
-,-,(0.010),[05],-,(0.011),10.538,[05],-,01 54 37.70 +00 43 00.5,10.304
-,[05],(0.015),[05],-,(0.012),10.073,[05],-,20 00 39.25 +29 58 40.0,10.061
-,[02],(0.008),[03],-,(0.014),10.775,[04],-,17 13 22.65 -18 53 33.8,10.430
(0.02),[03],-,-,-,-,-,-,-,03 03 31.94 +38 24 36.1,-
-,-,(0.013),[04],13.262,(0.008),12.722,[05],(0.009),08 51 05.81 +11 43 46.9,12.423
-, ,(0.016),[02],12.555,(0.009),12.883,[04],(0.024),20 42 34.73 -20 04 34.8,12.930
-,-,(0.012),[04],-,(0.014),11.434,[04],-,20 41 05.10 -05 03 43.0,11.118
-,-,(0.012),[04],-,(0.013),11.755,[05],-,03 04 02.00 +00 45 52.0,11.221
-,[07],(0.016),[05],-,(0.005),10.540,[04],-,00 13 43.58 +30 37 59.9,10.405
(0.03),-,-,-,-,-,-,-,-,05 36 15.96 +47 42 55.0,-
-,-,(0.008),[03],-,(0.011),12.330,[03],-,13 15 52.80 +46 06 36.9,11.971
-,-,(0.008),[02],15.939,(0.009),14.373,[03],(0.019),04 19 41.72 +16 45 22.4,13.876
-,[03],(0.013),[05],-,(0.013),11.885,[05],-,14 28 43.37 +33 10 41.5,11.251
(0.02),[02],-,-,-,-,-,-,-,05 58 13.52 +01 51 23.0,-
-,-,(0.014),[03],-,(0.009),11.517,[03],-,15 00 26.40 -00 39 29.0,10.988
-,-,(0.009),[04],-,(0.013),11.603,[04],-,23 02 32.07 -03 58 53.1,11.029
-,[03],-,-,-,-,-,-,-,09 28 53.50 -07 22 15.0,-
-,-,(0.010),[03],-,(0.011),12.304,[03],-,09 19 18.73 +10 55 54.2,11.772
(0.02),-,-,-,-,-,-,-,-,03 44 48.22 +24 17 22.1,-
-,-,(0.008),[04],13.820,(0.011),13.470,[03],(0.024),16 40 41.56 +36 21 12.4,13.199
(0.03),[03],-,-,-,-,-,-,-,06 24 46.60 +43 32 54.5,-
-,-,(0.008),[03],11.370,(0.005),11.329,[03],(0.017),04 52 58.92 -00 14 41.6,11.264
-,-,(0.009),[02],-,(0.014),11.483,[03],-,08 27 12.5 -25 08 01,11.031
-,-,(0.009),[03],-,(0.016),11.365,[03],-,05 42 32.10 +00 09 04.0,11.099
