Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
L Alvarez,GRN,C,0.294,6,17,3,5,1,0,2,3,2,4,0,0,0,0,0,0.368,0.706,1.074
J Arias,ELZ,C,0.301,30,103,14,31,6,0,1,11,7,15,0,1,1,2,5,0.339,0.388,0.728
J De Leon,KNG,C,0.232,52,168,16,39,10,0,3,16,10,54,0,0,1,1,2,0.282,0.345,0.627
H Alvarez,BLU,C,0.083,20,48,1,4,0,0,0,2,2,12,0,0,2,1,1,0.135,0.083,0.218
E Genoves,GRN,C,0.235,48,162,27,38,13,0,5,25,17,29,2,1,0,3,8,0.31,0.407,0.717
F Diaz,PUL,C,0.2,24,60,14,12,2,0,0,9,4,13,1,1,2,1,1,0.279,0.233,0.513
C Moronta,GRN,C,0.429,6,7,0,3,1,0,0,1,1,1,0,0,0,1,0,0.444,0.571,1.016
O Narvaez,PRN,C,0.305,43,151,24,46,7,1,1,16,17,19,4,2,2,1,4,0.38,0.384,0.764
G Velazco,JC,C,0.343,31,105,12,36,5,0,0,8,4,22,0,0,1,2,3,0.36,0.39,0.751
J Elander,DAN,C,0.26,36,123,19,32,6,2,4,19,16,19,3,1,0,1,4,0.366,0.439,0.805
N DeSantiago,DAN,C,0.263,24,76,15,20,10,0,0,14,15,20,0,0,0,0,0,0.398,0.395,0.793
S Nessy,BLU,C,0.256,45,160,26,41,8,0,8,23,13,47,0,0,0,2,2,0.32,0.456,0.776
O Hernandez,PRN,C,0.231,49,160,25,37,9,1,5,24,23,31,0,1,0,4,8,0.349,0.394,0.742
K Cross,ELZ,C,0.05,6,20,2,1,0,0,0,1,3,10,0,0,0,0,1,0.174,0.05,0.224
A Machillanda,KNG,C,0.217,23,60,4,13,1,0,0,6,4,8,0,0,1,0,2,0.277,0.233,0.51
A Marquez,BUR,C,0.143,21,42,1,6,0,0,0,4,3,7,0,0,2,1,3,0.245,0.143,0.388
M Quesada,ELZ,C,0.234,18,64,13,15,5,0,0,10,8,16,0,0,0,0,1,0.329,0.313,0.641
C Gallagher,BUR,C,0.276,36,127,13,35,10,0,3,15,10,16,1,3,0,1,3,0.331,0.425,0.756
T Marlette,PUL,C,0.284,56,208,23,59,14,0,5,23,6,46,3,1,0,0,5,0.304,0.423,0.727
D Jones,PUL,C,0.269,11,26,3,7,1,0,0,1,6,6,0,0,0,0,0,0.424,0.308,0.732
A Rosario,BRS,C,0.262,13,42,2,11,4,0,0,4,5,8,0,1,0,0,2,0.354,0.357,0.711
T Snitker,DAN,C,0.274,25,73,15,20,7,0,1,7,10,24,0,0,2,0,1,0.369,0.411,0.78
A Ehrlich,JC,C,0.373,20,75,14,28,3,0,1,8,8,14,0,1,0,2,0,0.424,0.453,0.877
T Carpenter,KNG,C,0.0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0
T Nido,KNG,C,0.242,38,124,15,30,6,0,2,15,12,23,1,0,0,3,2,0.307,0.339,0.646
S Bean,JC,C,0.125,24,80,6,10,4,0,1,5,15,32,2,0,0,0,3,0.263,0.213,0.476
S Ayala,BRS,C,0.202,24,84,12,17,3,0,1,5,5,23,0,1,0,1,1,0.261,0.274,0.535
J Barraza,BRS,C,0.175,36,120,13,21,2,3,0,8,13,53,0,1,1,0,2,0.261,0.242,0.503
Z Stoner,BRS,C,0.171,30,82,6,14,2,0,0,3,15,34,0,0,0,0,0,0.327,0.195,0.522
R Gingras,GRN,C,0.19,29,100,7,19,2,0,3,17,4,17,0,0,1,0,4,0.221,0.3,0.521
B Altobelli,ELZ,C,0.23,18,61,6,14,2,0,0,6,4,11,0,0,2,0,2,0.277,0.262,0.539
B Maggi,BUR,C,0.202,41,109,16,22,4,2,0,8,24,33,3,1,0,0,4,0.351,0.275,0.626
T DeMello,PUL,C,0.35,8,20,2,7,1,0,1,3,0,6,0,0,0,0,0,0.35,0.55,0.9
C Nacapoy,PRN,C,0.244,22,45,4,11,1,0,0,2,9,11,0,0,0,1,0,0.375,0.267,0.642
J Dowdy,BRS,C,0.412,5,17,2,7,2,1,0,3,2,2,0,0,0,1,0,0.45,0.647,1.097
