Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Mar 14,vs. Edgewood College (Wis.),"W, 4-3",-,-,-,-,-,-,-,-,-,-,-
Mar 14,vs. Edgewood College (Wis.),"W, 2-1",-,-,-,-,-,-,-,-,-,-,-
Mar 15,vs. SUNY Plattsburgh,"L, 5-4",-,-,-,-,-,-,-,-,-,-,-
Mar 16,vs. University of Wisconsin-Stout,"L, 8-4",-,-,-,-,-,-,-,-,-,-,-
Mar 18,vs. St. Joseph's College (L.I.),"W, 5-3",-,-,-,-,-,-,-,-,-,-,-
Mar 18,vs. St. Joseph's College (L.I.),"W, 9-7",-,-,-,-,-,-,-,-,-,-,-
Mar 19,vs. Johns Hopkins University,"L, 5-4",-,-,-,-,-,-,-,-,-,-,-
Mar 20,vs. Bethel University (Minn.),"W, 8-7",-,-,-,-,-,-,-,-,-,-,-
Mar 21,vs. University of Dubuque (Iowa),"L, 5-4",-,-,-,-,-,-,-,-,-,-,-
Mar 29,at Eastern Connecticut State University,"L, 3-0",-,-,-,-,-,-,-,-,-,-,-
Mar 29,at Eastern Connecticut State University,"W, 3-2",-,-,-,-,-,-,-,-,-,-,-
Apr 2,at Salem State University,"L, 8-4",-,-,-,-,-,-,-,-,-,-,-
Apr 3,at Westfield State University,"W, 16-13",-,-,-,-,-,-,-,-,-,-,-
Apr 4,at Worcester State University,"W, 7-3",-,-,-,-,-,-,-,-,-,-,-
Apr 6,at Western Connecticut State University,"W, 10-6",-,-,-,-,-,-,-,-,-,-,-
Apr 6,at Western Connecticut State University,"L, 10-7",-,-,-,-,-,-,-,-,-,-,-
Apr 8,at Salem State University,"L, 13-3",-,-,-,-,-,-,-,-,-,-,-
Apr 9,Framingham State University,"L, 6-5",-,-,-,-,-,-,-,-,-,-,-
Apr 10,at Babson College,"L, 17-6",0,0,0,-,-,-,0,-,-,-,-
Apr 12,UMass Dartmouth,"W, 8-4",-,-,-,-,-,-,-,-,-,-,-
Apr 12,UMass Dartmouth,"L, 10-4",-,-,-,-,-,-,-,-,-,-,-
Apr 14,University of Southern Maine,"L, 13-6",-,-,-,-,-,-,-,-,-,-,-
Apr 16,Roger Williams University,"W, 4-3",-,-,-,-,-,-,-,-,-,-,-
Apr 17,College of Mount Saint Vincent,"L, 11-1",0,0,0,-,-,-,0,-,-,-,-
Apr 18,Western New England University,"W, 8-7",-,-,-,-,-,-,-,-,-,-,-
Apr 19,Keene State College,"W, 6-3",-,-,-,-,-,-,-,-,-,-,-
Apr 19,Keene State College,"L, 5-1",-,-,-,-,-,-,-,-,-,-,-
Apr 21,at Curry College,"L, 4-3",-,-,-,-,-,-,-,-,-,-,-
Apr 22,at University of Southern Maine,"L, 7-4",-,-,-,-,-,-,-,-,-,-,-
Apr 24,at MIT,"L, 13-12",-,-,-,-,-,-,-,-,-,-,-
Apr 25,at Plymouth State University,"W, 7-4",-,-,-,-,-,-,-,-,-,-,-
Apr 25,at Plymouth State University,"L, 6-4",-,-,-,-,-,-,-,-,-,-,-
Apr 28,at Endicott College,"L, 8-7",-,-,-,-,-,-,-,-,-,-,-
Apr 29,at Wheaton College (Mass.),"L, 5-4",-,-,-,-,-,-,-,-,-,-,-
Apr 30,at Saint Joseph's College (Me.),"W, 6-5",-,-,-,-,-,-,-,-,-,-,-
May 2,Rhode Island College,"W, 11-1",-,-,-,-,-,-,-,-,-,-,-
May 2,Rhode Island College,"W, 5-4",-,-,-,-,-,-,-,-,-,-,-
May 4,at Amherst College,"L, 7-3",-,-,-,-,-,-,-,-,-,-,-
May 4,at Amherst College,"L, 13-5",0,0,0,-,-,-,0,-,-,-,-
May 7,vs. UMass Dartmouth,"L, 7-5",-,-,-,-,-,-,-,-,-,-,-
May 8,Eastern Connecticut State University,"L, 10-5",-,-,-,-,-,-,-,-,-,-,-
