STL%,Date,GmSc,AST%,DRB%
0.0,1991-12-18,-1.8,0.0,0.0
0.0,1992-04-02,0.2,0.0,0.0
0.0,1991-11-16,1.7,40.0,23.5
0.0,1992-02-21,-1.0,25.5,0.0
0.0,1992-02-05,4.1,0.0,14.5
0.0,1992-04-15,4.3,0.0,29.3
0.0,1992-03-30,0.0,0.0,0.0
0.0,1992-01-04,1.3,24.4,0.0
0.0,1992-01-10,-0.7,0.0,0.0
0.0,1991-11-05,2.6,0.0,14.0
4.2,1991-11-22,5.6,0.0,0.0
0.0,1992-04-09,2.9,0.0,6.7
17.0,1992-03-08,-0.1,0.0,0.0
0.0,1992-01-29,0.7,0.0,0.0
0.0,1991-11-19,5.5,0.0,20.8
0.0,1992-03-27,2.0,11.4,10.3
0.0,1992-01-14,0.0,0.0,0.0
0.0,1992-04-03,4.3,0.0,58.5
0.0,1992-03-19,-0.1,0.0,100.0
