DRtg,Age,AST%,Opp,BLK%,G
97,24-124,0.0,DEN,0.0,56
126,24-006,12.9,SEA,5.3,18
122,24-049,0.0,SEA,4.7,35
75,24-041,0.0,DAL,0.0,31
100,24-038,0.0,MIN,0.0,30
88,24-037,0.0,IND,0.0,29
97,24-113,0.0,DAL,14.8,49
104,23-326,0.0,LAC,0.0,1
112,24-073,21.1,CHI,0.0,42
78,23-361,0.0,IND,8.8,14
109,23-365,0.0,TOR,0.0,16
122,24-129,0.0,SAC,0.0,57
109,24-023,0.0,PHI,0.0,23
132,23-337,0.0,SEA,0.0,6
118,23-332,0.0,NYK,0.0,4
109,24-123,10.0,PHO,0.0,55
0,23-333,0.0,DEN,0.0,5
117,24-116,0.0,UTA,0.0,51
102,24-029,0.0,VAN,4.3,26
110,24-047,0.0,VAN,0.0,34
103,24-118,0.0,LAL,9.1,52
85,24-111,16.8,POR,3.4,48
120,23-353,0.0,NJN,0.0,9
118,24-034,0.0,BOS,0.0,28
106,24-028,15.0,VAN,0.0,25
125,24-017,0.0,HOU,0.0,22
120,24-032,0.0,MIL,3.9,27
102,23-328,0.0,VAN,2.3,2
123,24-026,0.0,CHH,6.3,24
116,24-070,0.0,BOS,0.0,40
142,23-354,13.8,POR,6.3,10
