FGA,GP,MPG,#
59.3,31,40.6,196
56.9,30,40.2,316
51.8,33,40.6,192
52.8,34,40.3,159
58.2,33,40.9,105
52.2,35,40.3,65
49.7,34,40.6,240
52.2,30,40.3,332
54.2,32,40.6,230
45.6,31,40.2,33
55.6,32,40.8,286
52.5,33,40.8,278
57.6,34,40.3,254
54.4,35,40.3,32
55.3,30,40.2,124
52.9,27,40.0,209
57.2,32,40.2,85
54.2,32,40.0,232
53.6,36,40.1,86
51.8,30,40.2,264
52.8,32,40.2,22
56.3,30,40.5,218
61.9,36,40.4,143
57.8,32,40.2,79
53.7,31,41.0,334
55.6,33,40.2,121
56.3,32,40.6,270
54.0,32,40.2,311
52.9,34,40.4,313
53.1,34,40.0,76
55.9,38,40.1,36
56.0,29,40.2,131
56.7,32,40.2,190
58.3,30,40.5,243
57.9,36,40.1,273
59.5,31,40.8,199
56.6,34,40.3,103
51.5,32,40.0,29
54.1,32,40.5,96
57.8,31,40.2,244
50.5,27,40.0,300
57.0,31,40.3,298
58.3,35,40.4,78
52.1,37,40.1,305
52.2,33,40.3,301
58.7,32,40.6,342
48.7,32,40.6,285
52.8,33,40.0,295
55.1,35,41.1,40
53.6,30,40.0,93
52.7,30,40.0,340
52.7,35,40.3,226
55.0,31,40.0,42
60.1,33,40.6,228
49.4,32,40.2,148
52.0,33,40.3,134
50.5,31,40.0,343
55.9,32,40.2,47
55.9,33,40.1,5
54.2,36,40.4,191
59.6,31,40.6,324
53.9,36,40.3,233
58.1,37,40.4,175
54.7,32,40.2,302
58.0,33,40.3,66
51.5,31,40.5,24
50.0,34,40.1,6
56.0,35,40.1,89
58.4,31,40.6,260
54.8,36,40.3,8
57.5,33,40.2,113
53.9,33,40.0,110
60.7,34,40.1,319
51.7,34,40.7,255
53.3,34,40.1,45
52.3,36,40.0,2
64.9,31,40.2,172
57.1,33,40.3,151
56.8,34,40.3,161
55.8,31,40.6,328
55.7,31,40.0,220
56.3,31,40.5,318
51.2,28,40.4,108
60.3,33,40.5,261
62.3,36,40.3,84
52.9,37,40.4,1
57.8,33,41.1,320
51.8,31,40.2,330
52.1,32,40.0,231
58.3,33,40.3,187
56.8,35,40.1,4
57.3,34,40.5,274
59.5,33,41.0,37
53.3,31,40.0,169
54.0,31,40.3,179
52.8,33,40.9,129
50.9,31,40.0,282
53.8,28,40.4,346
50.0,35,40.1,163
52.3,31,40.2,322
55.5,31,40.5,102
54.2,34,40.1,54
54.3,37,40.0,14
54.4,32,40.6,335
55.3,32,40.2,287
57.6,31,40.0,306
57.1,32,40.6,210
51.4,34,40.7,111
57.6,29,40.2,339
52.7,29,40.7,262
54.2,30,40.5,142
50.6,33,40.3,292
53.3,29,40.0,263
56.8,33,40.2,109
61.0,32,40.5,168
53.7,32,40.3,338
55.0,32,40.2,250
55.4,37,40.7,9
53.8,33,40.5,20
51.2,32,40.3,83
55.3,34,41.0,268
59.4,31,40.3,98
56.4,32,40.8,152
53.4,36,40.0,51
59.0,32,40.6,321
52.5,32,40.3,207
47.5,30,40.5,16
55.1,33,40.0,271
57.7,32,40.3,164
51.2,30,41.0,30
60.0,33,40.2,177
55.5,33,40.6,222
52.0,34,40.3,88
56.8,31,40.6,128
51.1,31,40.1,100
51.1,35,40.1,55
57.5,40,40.6,63
58.0,32,40.2,99
60.4,33,40.0,61
62.7,32,40.0,53
51.5,31,40.2,186
60.5,32,40.3,227
52.1,30,40.2,345
54.8,30,41.5,119
65.6,30,41.0,162
50.8,32,40.2,91
54.1,31,40.5,242
56.0,32,39.9,203
55.6,37,40.7,13
60.8,36,40.0,59
51.9,35,40.4,178
58.0,32,40.6,211
52.4,28,40.2,288
55.1,28,40.2,69
55.8,32,40.6,117
50.1,30,40.2,75
54.7,36,40.1,68
52.2,32,40.3,312
53.3,33,40.5,173
52.2,27,40.4,202
58.6,33,40.5,200
54.2,30,40.0,252
55.5,31,40.2,38
53.4,32,40.2,276
54.9,35,40.7,194
51.0,31,40.0,291
57.6,30,40.2,280
54.8,35,40.4,185
55.4,31,40.6,77
56.1,34,40.3,34
59.6,30,40.2,208
56.8,34,40.3,80
53.7,31,40.3,284
59.3,34,40.3,52
51.7,34,40.0,112
57.1,37,40.4,44
54.1,34,40.1,114
53.8,31,40.2,74
55.3,35,40.0,3
55.5,31,40.6,265
56.1,34,40.3,12
60.5,31,40.0,154
58.2,30,40.3,283
56.6,30,40.7,247
55.6,38,40.4,153
57.1,33,40.5,180
54.4,30,40.3,267
49.3,33,40.0,146
56.0,31,41.1,299
55.4,35,40.6,25
48.1,30,40.3,296
53.9,31,40.5,216
55.9,31,41.0,155
60.3,35,40.6,62
54.5,31,40.0,118
51.7,30,40.7,170
61.5,34,40.0,277
57.9,39,40.3,7
57.5,36,40.3,21
58.6,33,40.6,160
54.4,31,40.2,281
58.1,34,40.1,239
53.0,32,40.3,219
54.4,36,40.1,201
48.7,34,40.3,204
61.2,32,40.3,165
