USG%,G,eFG%,Age
18.4,19,.500,30-112
20.6,69,.500,30-215
6.3,45,1.000,30-170
18.8,53,.286,30-184
14.0,14,.000,30-101
14.0,63,.800,30-204
13.3,37,.429,30-148
26.0,55,.500,30-188
11.0,12,.000,30-095
19.8,76,.500,30-228
13.1,18,.500,30-109
19.6,43,.333,30-162
18.7,46,.833,30-171
10.9,40,.000,30-157
9.2,58,.000,30-194
10.5,32,.857,30-140
9.1,31,.500,30-137
29.7,8,.600,30-081
11.8,22,.500,30-118
10.5,9, ,30-085
16.2,73,.000,30-222
4.2,26,.000,30-127
26.7,2,.429,30-067
4.4,7,.000,30-078
18.7,54,.167,30-186
23.5,23,.333,30-119
23.4,64,1.000,30-206
8.8,74,.500,30-223
9.5,52,.000,30-182
13.4,35,.250,30-145
21.9,62,.000,30-202
9.2,77,.333,30-230
25.6,75,.500,30-225
20.1,50,.429,30-178
0.0,10, ,30-088
9.8,79,.750,30-233
7.3,60,1.000,30-198
14.8,4,.500,30-073
18.3,66,.000,30-209
