G,H,SF,SLG,AVG,POS,3B,SO,GIDP
31,16,0,.338,.246,2B,0,16,0
43,21,1,.319,.176,SS,1,30,0
52,21,0,.347,.214,2B,1,16,1
137,127,4,.434,.289,2B,3,67,11
48,25,1,.294,.245,SS,0,18,2
148,176,3,.378,.289,2B,12,107,3
121,69,1,.452,.274,2B,1,73,7
146,126,2,.326,.246,SS,6,70,13
91,81,2,.406,.261,2B,6,67,4
134,154,2,.438,.292,SS,1,100,18
14,7,0,.435,.304,SS,0,4,0
155,159,9,.407,.270,2B,6,85,8
9,6,0,.229,.171,2B,1,7,1
128,127,1,.448,.283,SS,0,84,10
22,8,1,.220,.195,SS,0,17,1
121,123,6,.372,.266,2B,0,74,13
146,148,6,.356,.276,SS,10,86,21
5,2,0,.182,.182,SS,0,4,0
20,18,0,.452,.290,2B,1,14,1
81,36,1,.347,.245,2B,0,38,0
119,84,2,.310,.237,SS,0,73,8
146,132,2,.331,.244,SS,4,60,25
7,0,0,.000,.000,SS,0,2,0
148,101,5,.314,.239,SS,2,69,6
46,34,0,.320,.266,2B,0,27,1
90,55,3,.394,.264,2B,4,51,8
93,80,1,.317,.251,2B,1,40,8
94,57,2,.342,.241,2B,2,34,1
13,3,1,.233,.100,2B,0,14,0
149,132,2,.348,.267,2B,5,97,13
15,6,0,.241,.207,SS,0,5,1
52,36,0,.324,.169,SS,0,95,5
149,129,5,.387,.255,SS,2,89,14
105,83,2,.405,.269,SS,7,83,6
154,151,3,.430,.255,SS,3,183,17
137,139,2,.467,.271,2B,3,88,12
80,61,2,.363,.226,SS,5,52,1
11,1,0,.077,.077,2B,0,6,0
52,21,1,.213,.149,2B,0,46,3
25,14,0,.271,.200,SS,0,10,2
7,1,0,.067,.067,SS,0,5,1
153,121,10,.389,.246,SS,10,129,4
