GmSc,DRtg,MP,Date,eFG%,Rk,USG%
-0.1,126,3:00,2000-03-24,.000,48,29.6
0.3,86,3:00,2000-03-22,.000,47,14.7
3.7,70,7:00,1999-11-18,1.000,7,16.6
0.5,97,10:00,2000-01-23,.500,28,9.3
-0.4,127,1:00,1999-12-10, ,16,0.0
-0.5,116,5:00,1999-11-02,.250,1,36.5
0.5,107,7:00,1999-12-05,.500,14,13.0
-0.9,109,17:00,2000-03-17,.333,45,10.6
-1.8,107,5:00,1999-11-27,.000,11,27.5
6.2,111,13:00,2000-02-27,1.000,38,9.5
-0.4,117,3:00,1999-11-11, ,5,0.0
-1.0,103,7:00,1999-12-21,.333,20,24.0
0.3,114,2:00,2000-01-19, ,27,0.0
-0.4,112,3:00,1999-11-21,.000,9,14.6
-1.5,103,10:00,2000-02-29,.000,39,4.4
2.7,113,14:00,2000-04-18,.500,54,16.9
2.7,102,8:00,2000-03-05,.500,42,11.8
1.7,126,4:00,2000-01-04,1.000,22,11.3
-3.0,107,11:00,2000-02-23,.000,36,9.2
8.5,95,26:00,2000-04-19,.300,55,16.3
-1.4,121,10:00,1999-11-30, ,12,3.8
