eFG%,Age,BLK%,TRB%
.000,26-025,2.8,4.8
.444,25-264,0.0,3.9
.333,26-015,0.0,4.9
.600,25-361,0.0,8.7
 ,25-331,0.0,0.0
.250,26-003,0.0,12.5
.333,25-292,0.0,0.0
.000,26-024,0.0,7.9
.000,25-324,0.0,11.7
.500,26-031,0.0,3.2
.111,25-288,0.0,6.5
.333,25-317,0.0,0.0
.167,26-059,10.6,9.7
.500,25-322,0.0,17.8
.667,26-027,0.0,0.0
.286,25-267,0.0,8.9
 ,25-299,0.0,0.0
 ,26-055,0.0,15.2
.500,26-053,0.0,8.4
.000,26-057,0.0,8.0
.000,25-313,0.0,4.5
.000,25-352,0.0,10.4
.000,26-029,11.1,2.1
.667,26-013,2.0,5.1
.600,25-350,0.0,4.1
.667,26-001,0.0,6.6
.167,25-362,0.0,7.0
.500,25-301,0.0,0.0
.125,26-020,0.0,4.1
.556,25-280,0.0,2.0
.333,25-329,0.0,5.3
1.000,25-315,0.0,0.0
.500,25-282,0.0,1.7
.583,26-022,1.9,6.3
 ,25-326,0.0,0.0
.455,26-017,0.0,4.1
