IP,OBP,YEAR,#,oppAVG,TEAM
228.7,0.304,2011,219.0,0.26,ANA
13.0,0.375,2011,398.0,0.258,NYN
249.3,0.273,2011,144.0,0.261,TBA
1.3,0.25,2011,578.0,0.238,CHN
7.3,0.353,2011,43.0,0.273,CLE
67.7,0.325,2011,395.0,0.254,FLO
75.0,0.25,2011,275.0,0.26,SLN
13.3,0.298,2011,14.0,0.281,DET
97.0,0.384,2011,664.0,0.241,COL
48.3,0.277,2011,88.0,0.259,CIN
27.7,0.372,2011,453.0,0.258,HOU
38.7,0.429,2011,607.0,0.25,PIT
119.3,0.342,2011,149.0,0.258,BAL
20.3,0.372,2011,447.0,0.252,CHA
141.7,0.319,2011,498.0,0.254,SLN
7.3,0.429,2011,350.0,0.258,KCA
7.0,0.286,2011,589.0,0.252,TEX
14.0,0.344,2011,490.0,0.25,SDN
13.7,0.322,2011,581.0,0.246,MIL
62.0,0.307,2011,425.0,0.254,PHI
50.7,0.314,2011,322.0,0.251,COL
62.0,0.272,2011,92.0,0.264,CLE
38.0,0.351,2011,33.0,0.267,BOS
238.3,0.265,2011,352.0,0.258,ANA
26.7,0.29,2011,299.0,0.261,MIL
67.0,0.349,2011,295.0,0.256,KCA
11.3,0.467,2011,672.0,0.241,SFN
20.3,0.318,2011,383.0,0.25,FLO
29.7,0.308,2011,616.0,0.26,LAN
7.7,0.475,2011,662.0,0.248,PIT
22.7,0.351,2011,23.0,0.273,SLN
1.0,0.25,2011,706.0,0.188,PHI
162.3,0.321,2011,523.0,0.253,PIT
128.0,0.27,2011,254.0,0.259,OAK
16.3,0.392,2011,553.0,0.243,PHI
67.7,0.319,2011,369.0,0.257,CHN
1.0,0.5,2011,5.0,0.287,MIN
24.0,0.255,2011,646.0,0.244,NYN
88.0,0.289,2011,192.0,0.255,ATL
73.7,0.283,2011,301.0,0.254,ATL
232.7,0.268,2011,599.0,0.25,PHI
2.3,0.125,2011,73.0,0.262,TOR
37.7,0.327,2011,330.0,0.257,OAK
165.7,0.335,2011,632.0,0.249,FLO
14.7,0.3,2011,51.0,0.27,KCA
54.3,0.3,2011,585.0,0.249,COL
11.3,0.435,2011,638.0,0.257,ARI
224.3,0.289,2011,84.0,0.261,TBA
198.0,0.304,2011,473.0,0.256,CHN
5.0,0.44,2011,531.0,0.239,TBA
63.7,0.338,2011,582.0,0.25,FLO
61.0,0.275,2011,431.0,0.256,DET
37.3,0.36,2011,228.0,0.259,TEX
7.7,0.463,2011,450.0,0.252,ARI
18.3,0.329,2011,619.0,0.252,COL
8.7,0.273,2011,16.0,0.269,SLN
7.0,0.241,2011,687.0,0.236,COL
65.7,0.344,2011,281.0,0.256,WAS
27.7,0.403,2011,548.0,0.252,SLN
63.0,0.313,2011,513.0,0.253,ARI
53.0,0.286,2011,346.0,0.257,LAN
17.3,0.338,2011,463.0,0.253,ATL
32.7,0.328,2011,151.0,0.258,SEA
164.3,0.311,2011,200.0,0.259,NYA
9.0,0.457,2011,17.0,0.27,BAL
1.0,0.0,2011,387.0,0.258,TOR
80.3,0.312,2011,668.0,0.245,SFN
194.0,0.315,2011,628.0,0.247,COL
154.3,0.278,2011,609.0,0.252,ARI
6.3,0.457,2011,435.0,0.254,KCA
72.3,0.379,2011,42.0,0.263,BAL
36.0,0.319,2011,502.0,0.253,OAK
13.7,0.305,2011,7.0,0.274,ANA
33.7,0.403,2011,127.0,0.263,OAK
2.0,0.571,2011,68.0,0.257,BAL
12.7,0.373,2011,420.0,0.255,CLE
32.0,0.354,2011,604.0,0.247,COL
83.3,0.335,2011,325.0,0.254,OAK
18.7,0.341,2011,477.0,0.252,CHA
3.0,0.55,2011,28.0,0.255,FLO
3.7,0.313,2011,606.0,0.258,DET
21.0,0.354,2011,169.0,0.258,TOR
4.3,0.25,2011,161.0,0.249,PIT
54.0,0.306,2011,405.0,0.253,COL
18.7,0.451,2011,351.0,0.261,DET
1.0,0.333,2011,177.0,0.242,TOR
29.3,0.407,2011,296.0,0.264,SEA
53.0,0.324,2011,231.0,0.257,SFN
50.7,0.317,2011,242.0,0.263,CLE
7.0,0.447,2011,381.0,0.252,SDN
65.7,0.305,2011,403.0,0.254,MIN
15.0,0.354,2011,176.0,0.261,CLE
29.7,0.289,2011,483.0,0.252,LAN
171.0,0.279,2011,156.0,0.261,SEA
82.7,0.346,2011,657.0,0.249,ATL
171.7,0.365,2011,412.0,0.258,PIT
14.0,0.339,2011,221.0,0.251,WAS
20.0,0.333,2011,286.0,0.253,BOS
5.0,0.462,2011,693.0,0.241,CHA
14.0,0.276,2011,573.0,0.261,PIT
59.0,0.299,2011,658.0,0.248,COL
135.3,0.328,2011,401.0,0.257,CHN
204.7,0.304,2011,647.0,0.25,SFN
23.0,0.313,2011,223.0,0.26,OAK
1.7,0.5,2011,550.0,0.258,NYA
208.0,0.326,2011,272.0,0.256,BAL
2.0,0.545,2011,125.0,0.261,COL
124.7,0.34,2011,256.0,0.256,KCA
48.3,0.296,2011,271.0,0.258,MIL
8.3,0.375,2011,689.0,0.237,COL
24.0,0.195,2011,563.0,0.252,WAS
190.3,0.339,2011,261.0,0.26,NYA
185.7,0.312,2011,390.0,0.257,TEX
54.7,0.296,2011,487.0,0.253,FLO
50.7,0.354,2011,277.0,0.259,MIN
15.3,0.348,2011,32.0,0.27,CIN
47.7,0.344,2011,314.0,0.26,PIT
8.3,0.226,2011,316.0,0.259,OAK
139.0,0.325,2011,666.0,0.25,PHI
2.3,0.308,2011,86.0,0.248,NYA
50.7,0.309,2011,93.0,0.261,TOR
44.7,0.289,2011,186.0,0.259,MIN
13.0,0.403,2011,583.0,0.248,SLN
10.3,0.375,2011,356.0,0.256,FLO
154.3,0.342,2011,378.0,0.252,BAL
7.0,0.387,2011,525.0,0.244,CHN
32.3,0.387,2011,150.0,0.263,DET
11.0,0.429,2011,678.0,0.233,DET
66.3,0.301,2011,462.0,0.253,LAN
123.0,0.332,2011,542.0,0.252,COL
13.3,0.357,2011,436.0,0.259,MIN
59.7,0.307,2011,238.0,0.258,CLE
41.3,0.368,2011,99.0,0.26,MIN
222.0,0.327,2011,309.0,0.26,MIN
71.0,0.284,2011,212.0,0.261,CHA
7.0,0.357,2011,106.0,0.264,SEA
196.3,0.313,2011,561.0,0.25,FLO
233.3,0.256,2011,630.0,0.25,LAN
32.0,0.326,2011,532.0,0.251,WAS
222.0,0.281,2011,603.0,0.249,ARI
12.0,0.271,2011,611.0,0.251,WAS
201.0,0.314,2011,187.0,0.258,SEA
161.3,0.294,2011,538.0,0.251,WAS
152.0,0.306,2011,613.0,0.25,ATL
46.7,0.302,2011,279.0,0.254,LAN
