BB,Team,R,OPS,POS
17,JUP,12,.504,SS
2,STL,3,.422,OF
0,DAY,0,.000,2B
46,LAK,42,.672,3B
57,SAR,77,.819,RF
4,PMB,9,.386,2B
0,BRE,0,--,P
6,JUP,7,1.041,C
61,BRE,46,.825,3B
46,BRE,57,.626,CF
34,FTM,37,.739,1B
3,SAR,6,.784,OF
49,VER,37,.663,C
1,CLR,2,.250,SS
8,TAM,2,.375,3B
0,TAM,0,.000,SS
7,STL,8,.544,2B
2,LAK,6,.899,SS
3,PMB,4,.383,LF
11,STL,19,.821,RF
20,FTM,31,.589,CF
0,DUN,3,.800,C
2,SAR,3,.336,OF
19,PMB,41,.743,C
13,CLR,8,.679,OF
0,STL,0,.000,OF
24,TAM,22,.739,2B
20,JUP,21,.674,C
0,JUP,1,.450,2B
3,SAR,1,.769,C
16,PMB,23,.711,LF
0,FTM,0,--,P
13,JUP,9,.494,2B
17,STL,16,.623,3B
64,LAK,43,.873,C
0,SAR,1,.571,SS
12,DAY,22,.606,3B
0,JUP,2,1.000,SS
42,VER,39,.632,CF
12,DAY,16,.712,3B
1,BRE,8,.605,C
63,DAY,81,.745,CF
0,PMB,0,--,P
10,VER,10,.619,OF
16,CLR,19,.764,OF
9,SAR,31,.570,SS
32,VER,50,.691,LF
0,SAR,0,.750,3B
32,TAM,51,.744,1B
42,JUP,51,.724,LF
13,SAR,16,.857,1B
36,LAK,46,.689,RF
19,SAR,71,.799,3B
4,DAY,7,.810,2B
1,STL,1,.343,C
2,FTM,3,.909,OF
46,LAK,65,.915,1B
47,DUN,77,.959,1B
0,SAR,0,--,P
18,CLR,14,.982,1B
39,DUN,44,.635,SS
34,DAY,62,.720,2B
10,PMB,24,.748,CF
12,SAR,23,.774,2B
10,PMB,4,.413,SS
8,SAR,11,.553,RF
27,VER,20,.703,LF
1,STL,7,.696,C
11,STL,13,.551,2B
5,DUN,15,.891,OF
30,PMB,15,.528,C
4,DAY,15,.638,C
33,FTM,44,.813,2B
35,LAK,61,.734,SS
12,TAM,13,.653,RF
1,DAY,3,.161,2B
21,DUN,35,.681,1B
6,STL,8,.788,RF
50,CLR,56,.768,1B
26,STL,21,.652,C
1,CLR,2,.670,P
10,CLR,15,.595,3B
8,BRE,8,.703,C
16,SAR,25,.547,1B
10,STL,2,.406,C
22,DAY,25,.734,RF
7,PMB,9,.442,CF
0,TAM,0,.273,2B
1,PMB,4,.515,C
2,CLR,1,.971,OF
0,BRE,0,.000,P
5,DUN,2,.692,OF
18,TAM,38,.734,RF
1,SAR,2,.494,RF
34,FTM,61,.763,LF
25,TAM,49,.671,2B
15,VER,11,.585,DH
45,PMB,41,.730,CF
1,STL,5,.638,OF
31,PMB,24,.716,3B
29,BRE,50,.806,OF
10,STL,17,.677,3B
9,JUP,20,.574,OF
35,BRE,33,.679,2B
4,LAK,0,.888,OF
1,VER,0,.200,1B
6,BRE,5,.403,LF
16,FTM,12,.618,C
31,PMB,30,.679,1B
2,STL,3,.463,3B
5,STL,6,.595,RF
27,CLR,25,1.034,1B
50,SAR,49,.772,CF
0,DUN,4,.300,OF
8,FTM,5,.439,C
14,VER,17,.772,CF
9,FTM,19,.507,3B
2,STL,5,.544,3B
14,SAR,20,.552,C
37,BRE,42,.613,RF
27,PMB,47,.779,RF
28,CLR,44,.812,2B
27,FTM,36,.599,SS
0,PMB,0,--,P
9,TAM,10,.369,2B
0,DAY,0,--,P
2,STL,7,.788,DH
6,CLR,5,.438,2B
20,SAR,23,.612,LF
16,VER,11,.575,2B
19,DAY,30,.906,1B
1,DUN,2,.780,SS
49,JUP,59,.922,2B
0,FTM,0,--,P
4,VER,3,.403,C
4,SAR,5,.478,RF
5,TAM,18,.878,OF
16,DUN,13,.604,DH
0,SAR,0,.000,P
0,LAK,0,.333,C
5,TAM,7,.679,LF
33,BRE,40,.682,1B
0,CLR,0,1.000,OF
6,SAR,5,.527,C
32,FTM,39,.795,1B
6,JUP,11,.664,OF
29,JUP,39,.709,2B
2,TAM,1,.443,3B
2,TAM,1,1.025,OF
0,DUN,3,1.000,CF
5,BRE,8,.784,DH
4,STL,12,.853,3B
0,STL,1,--,SS
9,PMB,11,.814,DH
4,FTM,5,.537,C
1,JUP,2,.478,SS
19,CLR,17,.776,LF
19,CLR,36,.939,LF
2,DUN,4,.508,SS
3,STL,5,.875,SS
3,SAR,2,.515,C
7,JUP,6,.510,1B
0,CLR,0,--,P
0,VER,1,.624,SS
17,DAY,15,.691,C
31,CLR,38,.601,C
45,DUN,70,.854,LF
14,LAK,9,.606,1B
13,STL,6,.639,RF
