2B,R,POS,Team,SO,SB,BB,RBI,G
0,1,RF,LOW,1,0,1,0,1
1,7,3B,JAM,19,1,2,9,23
0,2,C,BRK,5,0,2,3,7
0,0,OF,LOW,3,0,0,0,1
2,8,C,SI,8,0,0,3,15
1,9,OF,ABD,16,3,2,5,19
1,2,OF,BAT,12,0,2,8,14
5,11,C,JAM,14,0,7,12,28
11,14,3B,WIL,50,0,24,19,68
6,18,SS,ABD,9,6,13,15,23
1,12,SS,VER,20,1,18,7,32
0,1,3B,SI,2,0,1,1,2
11,23,1B,LOW,73,0,29,31,58
23,43,C,MV,56,3,54,43,69
4,10,SS,JAM,11,1,5,9,35
8,10,OF,SC,40,4,8,11,37
7,15,C,HV,44,0,12,22,39
0,4,DH,LOW,5,1,3,2,4
19,20,OF,SI,50,7,24,30,55
0,8,2B,JAM,10,4,2,3,14
0,0,2B,CT,3,0,0,0,3
9,16,1B,JAM,54,0,7,18,41
4,22,SS,VER,27,8,12,22,37
1,6,OF,WIL,11,0,3,3,18
2,3,OF,JAM,8,0,0,2,10
8,34,OF,VER,39,17,42,19,63
1,1,RF,BAT,5,0,0,0,7
2,7,2B,AUB,7,2,2,4,6
1,5,2B,AUB,17,5,3,5,15
1,0,SS,LOW,2,0,0,2,1
4,22,OF,SI,41,11,18,23,46
13,24,OF,BRK,64,0,22,44,56
3,5,1B,BRK,20,0,11,5,17
11,15,3B,SC,31,2,21,22,60
0,0,C,MV,5,0,1,1,6
2,23,OF,HV,34,17,15,19,50
0,6,OF,LOW,14,6,3,4,21
1,1,SS,BRK,0,0,0,0,1
0,2,OF,HV,1,0,2,1,3
22,32,RF,BRK,62,5,34,43,67
17,40,2B,AUB,67,4,14,47,63
4,9,C,CT,10,1,8,12,35
8,20,2B,BAT,28,5,16,14,34
0,2,CF,LOW,1,0,1,2,2
3,21,OF,AUB,22,13,12,18,32
9,30,2B,ABD,40,14,30,30,74
0,0,P,HV,0,0,0,0,1
10,50,SS,MV,49,19,30,20,69
10,28,OF,CT,17,6,10,31,42
8,23,SS,BAT,30,4,12,13,42
1,2,OF,SC,0,0,1,1,2
20,36,3B,TRI,41,2,15,37,63
9,20,OF,WIL,20,5,7,9,32
4,23,1B,BRK,35,1,17,20,43
10,16,3B,SI,23,7,10,14,27
7,8,OF,VER,47,3,10,12,43
1,11,C,BAT,20,5,8,9,32
12,33,OF,AUB,36,11,11,29,67
11,25,C,BAT,30,3,10,17,44
7,16,DH,AUB,24,2,15,15,32
2,14,OF,WIL,15,3,18,14,50
16,20,1B,AUB,31,1,21,30,51
23,43,3B,AUB,52,2,42,48,72
9,18,OF,BAT,10,3,22,8,25
0,1,C,SI,0,0,0,0,1
5,20,C,SC,15,3,14,15,40
0,4,C,BRK,16,0,2,4,22
14,40,SS,SI,57,10,30,33,69
0,0,OF,VER,3,2,1,1,4
2,7,C,CT,5,0,6,2,10
5,7,OF,SC,11,0,8,5,17
2,5,OF,CT,16,0,5,6,25
9,23,2B,SI,28,1,19,27,48
1,22,OF,SC,43,16,34,17,60
12,41,CF,WIL,52,25,13,31,71
4,8,3B,VER,3,0,2,6,4
5,19,SS,SC,18,7,15,8,45
7,16,3B,CT,25,1,14,7,43
8,24,3B,SI,21,3,9,11,49
4,20,SS,BAT,46,10,17,17,51
4,9,OF,AUB,36,3,8,3,22
2,3,SS,LOW,1,0,3,3,11
12,26,1B,ABD,62,1,26,35,57
6,8,C,TRI,11,2,4,17,32
3,6,C,SI,21,0,10,8,37
