SLG,2B,POS,SH,R,3B
.387,9,SS,3,33,2
.361,6,CF,6,35,2
.338,19,CF,0,36,1
.405,43,2B,4,99,3
.322,9,CF,4,66,2
--,0,P,0,0,0
.661,9,OF,0,9,2
.344,5,CF,3,23,3
.280,6,CF,7,25,1
--,0,P,0,0,0
.306,15,C,1,19,0
.292,0,3B,2,8,1
.264,4,2B,4,4,0
.344,6,C,2,25,1
.316,7,2B,3,25,0
.307,5,SS,9,13,0
.367,10,3B,5,32,4
.319,1,OF,2,2,0
.091,0,C,0,2,0
.196,3,3B,0,7,0
.363,6,C,0,12,0
.315,9,RF,1,13,0
.249,17,CF,3,40,0
.364,1,2B,0,3,0
.395,9,OF,2,20,1
.000,0,P,0,0,0
.530,17,2B,3,76,11
.401,37,OF,4,69,6
.495,14,2B,2,29,1
.382,23,RF,0,48,2
.315,19,C,6,40,0
.303,22,LF,0,45,1
.559,24,2B,0,70,1
.402,15,OF,3,54,8
.000,0,3B,0,0,0
.344,6,OF,0,11,1
.331,9,OF,0,14,1
.331,16,3B,0,47,1
.267,7,SS,3,12,0
.443,18,1B,0,37,2
.328,20,OF,5,51,2
.344,18,SS,7,57,2
.590,26,C,3,55,2
.363,10,SS,2,45,5
.543,19,OF,0,70,12
.230,3,OF,0,6,0
.359,16,CF,1,62,6
.348,11,CF,4,33,2
.097,1,OF,0,3,0
.256,7,C,0,20,0
.363,14,SS,3,36,2
.233,5,3B,2,12,0
.279,9,OF,5,48,2
.423,6,C,0,8,1
.262,1,RF,0,5,0
.231,1,C,0,1,0
.242,6,OF,5,76,3
.284,20,3B,1,54,1
.500,1,2B,2,4,2
.456,26,RF,0,62,2
.405,25,1B,1,31,0
.311,7,3B,2,26,3
.323,12,RF,6,34,2
.280,1,OF,1,5,1
.230,0,C,2,7,0
.333,0,C,0,2,0
.339,18,DH,0,42,1
.308,3,1B,0,10,0
.494,24,C,0,35,1
.335,12,C,3,29,1
1.071,1,C,0,4,0
.346,24,3B,0,51,1
.210,3,C,5,13,0
.403,13,1B,1,22,1
.264,5,2B,0,8,0
.176,1,C,0,4,0
.245,3,C,0,6,0
.384,13,1B,3,35,2
.526,4,1B,0,7,0
.327,15,3B,0,36,1
.173,3,1B,0,6,0
.400,1,OF,0,4,0
.280,9,OF,5,27,0
.436,6,SS,0,6,0
.450,29,OF,3,72,3
.412,34,1B,0,64,2
--,0,P,0,0,0
.324,6,C,1,7,0
.389,3,C,1,4,0
.523,11,1B,0,10,0
.273,6,SS,3,12,0
.452,22,C,0,63,1
.496,13,OF,2,15,1
.259,1,RF,0,2,0
.248,7,C,0,8,0
.398,21,CF,0,51,4
.560,3,2B,0,4,0
.265,1,2B,2,5,0
.250,2,3B,3,11,1
.462,25,DH,0,38,0
.230,4,3B,1,13,0
.205,1,2B,0,5,0
.263,13,SS,1,35,1
.338,16,OF,2,32,2
.303,6,C,3,12,0
.359,1,OF,0,5,1
.396,27,OF,2,72,8
.326,23,SS,8,59,2
.000,0,1B,1,1,0
.257,0,C,0,9,0
.467,10,LF,1,33,5
.396,19,OF,3,75,2
.324,2,OF,0,7,1
.323,18,LF,7,65,8
.256,9,LF,2,16,0
.380,2,SS,0,7,0
.443,17,RF,3,49,5
.125,0,3B,0,1,0
.350,15,RF,3,53,2
.348,11,1B,3,45,0
.380,8,2B,3,24,2
.394,28,3B,12,66,1
.415,16,C,0,20,1
.271,13,1B,0,26,1
.643,3,C,0,2,0
.100,0,2B,0,0,0
.345,18,LF,1,42,5
.244,5,SS,1,17,1
.367,3,1B,0,8,0
.427,18,OF,0,64,2
.000,0,P,0,0,0
.385,20,OF,1,48,0
--,0,P,0,0,0
.111,0,C,2,0,0
.208,1,CF,1,2,0
.511,36,1B,0,84,3
.477,24,2B,3,63,1
.334,22,3B,1,57,4
.256,14,SS,9,44,4
.417,2,RF,0,6,0
.425,4,CF,0,9,1
.533,5,1B,0,5,0
.193,0,OF,1,10,2
--,0,P,0,0,0
.276,9,2B,1,15,2
.225,5,2B,3,17,2
.311,6,C,0,13,0
.292,11,CF,2,25,2
.180,2,3B,0,8,0
.333,8,RF,0,21,0
.314,6,2B,5,16,1
.340,14,SS,15,61,1
.359,3,RF,0,12,2
.382,5,OF,1,11,2
.000,0,C,0,0,0
.459,10,C,0,16,0
.394,3,C,0,4,1
.342,14,OF,2,31,3
.360,6,OF,1,12,1
.333,8,2B,2,23,0
.245,2,3B,1,7,0
.354,8,2B,4,22,3
.352,21,OF,1,47,5
.423,25,RF,0,33,5
.456,11,OF,3,36,4
.306,8,LF,1,32,0
.288,3,2B,1,11,0
.426,38,OF,4,63,3
.334,25,OF,1,54,3
.413,25,3B,0,63,2
.453,37,RF,0,75,2
.329,13,LF,0,28,0
.279,1,SS,2,5,0
.276,9,C,2,21,0
.333,2,C,2,5,0
--,0,P,0,0,0
.355,10,OF,2,38,9
.303,2,3B,3,16,1
.474,5,1B,0,19,0
--,0,P,0,0,0
.529,35,OF,1,85,2
.397,14,OF,0,22,4
.181,5,2B,5,15,0
.433,34,DH,2,60,4
.543,6,1B,0,4,0
.338,11,1B,1,29,2
.284,10,2B,4,22,0
.361,3,C,0,8,0
