ER,Pitches,WP,HB,SO,IP
3,117,0,0,8,8.0
3,126,0,0,11,7.0
0,127,0,0,9,9.0
2,104,0,0,11,8.0
3,108,0,0,11,7.0
1,22,0,0,1,1.2
2,125,0,0,10,7.0
1,136,0,0,11,8.1
2,117,0,0,10,8.0
4,85,0,0,2,7.0
2,96,0,1,10,7.0
0,127,0,0,17,9.0
1,0,0,0,10,9.0
2,112,0,0,11,8.2
2,102,0,0,10,9.0
2,116,0,0,13,7.0
6,77,0,0,7,5.0
1,138,0,0,11,9.0
1,127,0,0,10,9.0
1,105,0,0,10,7.0
3,103,0,0,10,8.1
4,108,0,1,9,8.0
1,116,0,0,12,7.0
2,121,0,0,11,8.0
1,126,2,1,14,9.0
4,103,0,0,14,8.0
5,142,0,0,11,7.2
6,116,0,0,10,8.0
3,115,0,0,12,8.1
0,80,0,1,6,7.0
0,104,0,0,12,8.0
0,93,0,0,6,7.0
1,123,0,0,16,8.0
2,125,0,0,10,8.0
0,90,0,0,0,6.0
1,115,2,0,12,8.0
3,92,0,0,5,7.0
0,111,0,0,14,8.0
4,111,0,0,7,7.0
1,132,0,0,11,9.0
4,116,0,1,10,8.0
8,114,0,0,3,7.1
0,114,0,0,5,9.0
