BB,CS,Player,POS,RBI,OBP,OPS
12,1,C Wolfe,2B,5,.329,0.59
8,0,C Plaia,C,8,.243,0.445
14,5,B Harrison,3B,23,.276,0.631
0,0,G Smith,2B,0,.167,0.333
0,0,B Barber,2B,2,.750,2.25
7,1,C Rondon,SS,10,.326,0.675
1,0,J Behar,C,0,.143,0.143
10,1,J Riddle,3B,18,.288,0.603
10,2,W Difo,SS,6,.291,0.624
9,2,J Miller,C,6,.239,0.453
2,0,T Martin,3B,6,.279,0.621
20,1,T Mancini,1B,35,.382,0.832
0,0,S Leon,C,0,.077,0.154
4,1,T Nido,C,11,.218,0.478
2,1,Y Barrios,SS,6,.194,0.444
4,0,N Hamilton,3B,3,.423,0.634
1,1,A Landecker,3B,9,.240,0.485
28,2,F Munoz,1B,40,.367,0.794
4,0,A Avelino,SS,6,.303,0.574
17,1,J Jhang,C,34,.338,0.751
10,2,P Leyland,1B,19,.257,0.512
20,1,P Hendrix,2B,13,.330,0.663
10,0,B Booth,C,5,.344,0.624
22,1,B Caldwell,2B,15,.417,0.829
4,1,T Remes,C,0,.455,0.597
11,0,E Genoves,C,8,.275,0.574
9,1,E Espinal,1B,41,.316,0.666
4,0,R Haddad,C,4,.450,0.717
24,0,K Sumner,3B,16,.360,0.698
10,1,M Reistetter,C,5,.337,0.692
3,0,C Carman,C,2,.333,0.533
4,1,D Valesente,C,4,.297,0.597
2,1,A Chubb,C,6,.241,0.479
20,2,C Gunter,3B,19,.287,0.592
19,0,S Carcaise,1B,19,.352,0.733
29,2,N Rodriguez,1B,37,.366,0.818
7,3,A Pullin,2B,23,.283,0.695
3,0,S Dove,2B,6,.207,0.433
0,0,L Castillo,3B,0,.000,0.0
25,8,A Frazier,SS,27,.399,0.761
1,1,M Rodriguez,C,5,.171,0.346
9,2,J Alexander,1B,29,.246,0.538
6,4,K Richards,SS,12,.301,0.648
10,2,W Solano,SS,7,.234,0.448
21,9,T Kemp,2B,13,.355,0.716
12,0,J Gamboa,3B,9,.269,0.54
1,0,A Lewis,C,2,.333,0.733
4,1,S Loopstok,C,2,.247,0.493
23,5,R Dineen,3B,15,.332,0.603
10,0,M Oberste,1B,24,.245,0.532
22,0,L Mazzilli,2B,34,.329,0.71
4,1,A Green,C,6,.287,0.575
0,0,J Ceballos,C,4,.353,0.74
6,1,J Rosario,2B,10,.306,0.627
5,0,C Bass,C,5,.271,0.461
15,4,A Romero,3B,30,.357,0.769
2,1,T Murphy,C,0,.385,0.657
1,0,F Rosario,SS,2,.222,0.472
13,2,E Weiss,3B,10,.348,0.711
18,0,A Chavez,2B,12,.280,0.582
25,0,R Huck,1B,15,.341,0.709
1,1,J Mayfield,2B,7,.258,0.543
15,1,B Jones,1B,26,.348,0.741
11,0,C Wallach,C,13,.294,0.562
21,1,M Katz,2B,23,.345,0.7
1,1,J Schoop,3B,9,.600,1.671
10,1,G Lino,C,23,.305,0.677
12,0,A Sanchez,1B,22,.274,0.616
16,1,R McChesney,C,9,.407,0.754
10,0,D Masters,SS,8,.254,0.496
22,5,A Knapp,C,23,.340,0.741
37,2,C Gregor,1B,35,.379,0.764
21,6,M Mercedes,2B,9,.331,0.58
0,0,A Blanton,SS,0,.286,0.714
2,0,M Vaughn,C,2,.286,0.555
16,1,C Moon,SS,14,.327,0.662
16,0,M Foat,2B,16,.278,0.558
10,1,D Lopez,2B,10,.295,0.535
19,2,C Dent,2B,8,.303,0.539
3,2,J Jones,SS,10,.358,0.817
20,5,R Garcia,3B,23,.299,0.674
19,0,B Lippincott,1B,29,.358,0.822
5,0,R Cordova,2B,10,.311,0.627
18,1,J Herrera,2B,11,.349,0.691
3,1,B Wallace,3B,2,.206,0.339
4,0,A Dennis,C,6,.283,0.545
14,0,S Negron,SS,7,.316,0.499
17,2,H Veloz,3B,27,.277,0.608
9,0,B Wiley,2B,18,.392,0.909
8,0,L Baez,3B,12,.223,0.453
24,5,T Young,3B,22,.310,0.631
1,0,J Avila,3B,3,.239,0.477
10,2,D McAlpine,C,14,.271,0.587
4,0,J Romanski,C,4,.291,0.661
1,0,R McGuire,C,0,.294,0.544
1,0,D Rosenberg,C,1,.205,0.372
19,3,C Valera,SS,27,.338,0.703
4,0,L Alvarez,C,2,.395,0.88
1,0,B Capellan,SS,2,.250,0.583
1,0,T Garrison,C,13,.287,0.695
0,0,J Lopez,2B,1,.600,1.2
5,0,F Castillo,C,6,.222,0.462
5,3,L Ortiz,2B,12,.283,0.591
7,0,E Fernandez,C,1,.333,0.493
8,0,J Azcona,2B,14,.230,0.553
27,1,L Pierce,1B,29,.356,0.749
