IT,Wm Alpha,Wm US,UK,FR,JP,DE,CN (cm),KR,Bust (inches),Waist (inches),Hip (inches)
34,XXS,0,2,32,3,28,82,44,"31""","23""","33 1/2"""
36,XS,0,4,34,5,30,84,44,"32 1/2""","24""","35"""
38,S,2,6,36,7,32,86,44,"33""","25""","36"""
40,S,4,8,38,9,34,88,55,"34""","26""","37"""
42,M,6,10,40,11,36,90,55,"35""","27""","38"""
44,M,8,12,42,13,38,92,66,"36""","28""","39"""
46,L,10,14,44,15,40,96,66,"37 1/2""","29 1/2""","40 1/2"""
48,L,12,16,46,17,42,98,77,"39""","31""","42"""
50,XL,14,18,48,19,44,102,88,"40""","32 1/2""","43 1/2"""
52,XL,16,20,50,21,46,106,-,"41""","33""","44"""
54,XXL,18,22,52,23,48,110,-,"43""","34 1/2""","45"""
