Age,Date,MP,TRB%
30-222,2001-11-21,31:00,9.7
30-344,2002-03-23,28:00,6.4
30-224,2001-11-23,24:00,7.7
30-229,2001-11-28,26:00,8.2
30-270,2002-01-08,14:00,20.4
30-238,2001-12-07,22:00,12.2
30-210,2001-11-09,14:00,16.6
30-266,2002-01-04,11:00,8.8
30-213,2001-11-12,12:00,16.0
30-288,2002-01-26,19:00,12.5
30-207,2001-11-06,16:00,3.6
30-254,2001-12-23,14:00,15.9
30-342,2002-03-21,28:00,13.7
30-363,2002-04-11,23:00,7.9
30-354,2002-04-02,20:00,3.0
30-331,2002-03-10,6:00,0.0
31-000,2002-04-13,32:00,4.1
30-312,2002-02-19,31:00,17.4
30-216,2001-11-15,8:00,13.0
30-333,2002-03-12,26:00,9.3
30-258,2001-12-27,6:00,8.2
30-236,2001-12-05,31:00,6.4
30-321,2002-02-28,18:00,6.3
30-323,2002-03-02,12:00,13.3
30-306,2002-02-13,23:00,7.7
30-204,2001-11-03,26:00,6.8
30-225,2001-11-24,23:00,10.3
30-264,2002-01-02,20:00,10.5
