PO,RF/G,Rtz,Tm,DP,RF/9,Inn
623,7.51,-2,KCR,78,8.90,675.2
25,3.38,-0,CLE,2,7.01,34.2
97,9.18,2,CLE,8,9.99,91.0
11,6.00,-0,TBD,2,6.35,17.0
79,6.69,0,KCR,6,9.43,83.0
281,5.81,-3,SEA,39,8.07,337.0
2,2.00,0,KCR,0,18.00,1.0
57,7.63,-0,MIN,5,8.71,63.0
992,7.89,-1,DET,87,9.41,989.0
214,6.76,-1,LAA,25,8.85,234.0
6,6.00,0,NYY,1,9.00,6.0
852,9.09,-6,BAL,94,9.46,873.0
108,6.33,1,NYY,10,8.48,121.0
99,7.79,-1,TOR,11,10.22,96.0
497,7.59,-0,TEX,51,10.18,456.0
1180,8.87,-2,CHW,131,9.17,1227.2
402,8.29,2,KCR,37,9.21,421.0
167,6.07,-3,NYY,16,9.74,162.2
22,6.00,-0,TOR,2,9.39,23.0
6,6.00,0,CHW,0,6.75,8.0
180,5.91,0,DET,17,8.98,195.1
31,4.43,-0,TEX,3,7.97,35.0
7,7.00,0,KCR,2,21.00,3.0
482,7.21,2,NYY,59,9.92,458.0
391,9.45,3,OAK,31,10.80,346.2
1,1.00,0,NYY,0,9.00,1.0
132,4.38,2,KCR,16,8.18,154.0
39,3.67,-0,CLE,4,7.97,49.2
16,6.00,0,BOS,1,9.17,17.2
174,8.55,3,CHW,18,9.74,173.2
37,5.71,-0,BOS,3,7.50,48.0
1189,9.03,1,MIN,122,9.23,1259.1
24,3.00,0,NYY,6,7.59,32.0
12,4.00,0,KCR,1,9.53,11.1
3,1.33,0,MIN,1,10.80,3.1
1060,9.76,8,TOR,107,10.75,972.1
256,6.47,2,BOS,25,9.07,276.0
1,1.00,-2,BOS,0,3.00,3.0
7,1.40,0,CHW,1,7.56,8.1
25,6.25,-0,TEX,2,11.25,20.0
990,8.00,10,BOS,101,8.88,1094.0
119,6.74,-0,LAA,11,9.52,121.0
74,6.33,0,DET,15,8.11,84.1
377,9.07,-3,TOR,32,10.98,334.1
162,7.77,-0,NYY,16,9.84,156.1
156,3.80,-1,TOT,9,9.93,151.1
5,1.50,-0,SEA,0,9.53,5.2
40,7.00,-0,KCR,5,9.61,39.1
154,8.00,0, ,16,9.37,159
87,9.50,0,OAK,10,9.61,89.0
