Year,Raccoon,Muskrat,Red Fox,Gray Fox,Opossum,Skunk,Mink,Coyote a,Weasel,Bobcat b,Fisher
1990,"9,676","4,147","7,941","6,542","3,653","1,914","2,560","7,782",508,Closed,Closed
1991,"9,921","4,865","7,827","6,613","3,915","2,264","2,726","12,184",422,Closed,Closed
1992,"9,525","4,419","7,019","6,263","3,793","2,208","2,539","13,643",452,Closed,Closed
1993,"8,195","4,227","6,790","6,089","3,369","1,967","2,465","14,260",387,Closed,Closed
1994,"7,066","5,570","8,319","7,515","4,267","3,071","3,212","20,597",784,Closed,Closed
1995,"9,718","4,465","8,080","6,908","3,989","2,643","2,879","20,413",853,Closed,Closed
1996,"12,951","6,478","10,007","8,361","6,140","3,443","3,703","21,937",942,Closed,Closed
1997,"13,750","7,363","10,330","8,553","6,386","3,473","4,434","24,526","1,125",Closed,Closed
1998,"12,794","5,900","9,982","8,594","5,558","2,948","3,512","30,016",733,Closed,Closed
1999 b,"7,555","3,230","6,996","6,061","2,653","1,718","2,152","28,265",392,Closed,Closed
2000 b,"6,996","3,121","7,280","6,353","2,870","1,750","2,026","28,270",509,290,Closed
2001 b,"7,935","3,997","8,234","6,938","3,180","2,036","2,587","36,249",619,520,Closed
2002 b,"7,295","3,287","8,022","6,494","3,434","2,116","2,433","28,535",676,545,Closed
2003 b,"7,292","3,362","6,998","5,547","3,585","2,132","2,305","29,048",453,570,Closed
2004, , , , , , , , , ,615,Closed
2005 b,"8,434","3,815","9,583","7,358","4,479","2,813","2,997","35,010",714,615,Closed
2006 b,"10,606","5,630","11,331","8,264","5,669","3,603","4,194","36,175","1,325",720,Closed
2007,"10,131",4272,"10,628","7,811","5,307","3,484","3,674","37,792","1,447","1,010",Closed
2008,"11,498","4,687","12,426","9,561","6,344","4,143","3,674","40,982","1,466","1,435",Closed
2009,"8,702","3,261","6,651","3,953","4,482","2,587","2,147","40,648",203,"1,781*",Closed
2010,"11,609","4,539","13,635","9,455","6,012","3,891","4,093","43,162","1,655","15,820^","2,783 #"
