Arch-Thru,Box Beam or Girders (Multiple),Slab,Arch-Deck,Segmental Box Girder,Movable-Swing,Orthotropic,Other
1,46,75,80,1,1,1,2
1,57,403,19,1,0,1,1
7,"2,232","4,543",85,0,7,7,984
10,"3,074",741,23,3,0,0,20
11,15,408,26,0,0,0,1
3,38,119,14,0,0,0,7
4,32,191,59,0,0,0,19
1,45,467,5,0,0,0,3
6,"1,635",555,471,10,0,2,18
1,226,108,2,0,0,0,3
0,50,19,5,0,0,9,19
8,869,259,183,0,0,0,2
1,100,348,7,9,0,0,0
14,"7,284","5,595",308,2,17,6,31
15,530,"2,355",50,0,3,1,6
2,575,648,289,0,12,0,12
7,73,"2,377",126,2,0,1,29
19,"2,276",595,104,1,4,3,48
29,411,"1,296",176,5,6,1,20
8,125,"4,389",106,0,0,0,14
2,15,"3,181",24,62,10,0,15
1,252,513,168,2,4,1,3
9,185,555,299,1,7,0,2
0,43,666,24,6,3,0,53
0,75,"5,345",20,0,95,0,6
