Marketing Feature Name,Release,IP/FW/IDS IPSEC 3DES,IP PLUS IPSEC 3DES,IP/FW/IDS,IP/FW/IDS IPSEC 56,IP,IP IPSEC 56,ENTERPRISE/FW/IDS PLUS IPSEC 3DES,ENTERPRISE IPSEC 3DES,ENTERPRISE/FW/IDS,ENTERPRISE/FW/IDS IPSEC 56,ENTERPRISE,ENTERPRISE IPSEC 56
AutoInstall Using DHCP for LAN Interfaces,12.1(5)T,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Bridging between IEEE 802.1Q vLANs,12.1(3)T,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y
CUG Selection Facility Suppress Option,12.1(5)T,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Class Based QoS MIB,12.1(5)T,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Class-Based Shaping,12.1(3)T,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Committed Access Rate (CAR),12.0(1),Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"Expression MIB Support of Delta, Wildcarding and Aggregation",12.1(3)T,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
IGMP Version 3,12.1(5)T,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
IP DSCP marking for Frame-Relay PVC,12.1(5)T,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
IPX Infrastructure Enhancements,12.0(1),N,N,N,N,N,N,Y,Y,Y,Y,Y,Y
L2TP Tunnel Management Enhancements,12.1(5)T,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
L2TP Tunnel Switching,12.1(5)T,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Multiport T1/E1 ATM Port Adapters with IMA,12.1(5)T,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Multiprotocol over ATM (MPOA),12.0(1),Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
NAT - Enhanced H.225/H.245 Forwarding Engine,12.1(5)T,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y
NAT - Support for NetMeeting Directory (Internet Locator Service - ILS),12.1(5)T,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
NAT - Support of H.323 v2 Call Signalling (FastConnect),12.1(5)T,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y
NTP MIB,12.1(5)T,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Network-based Application Recognition (NBAR),12.1(5)T,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
OSPF Flooding Reduction,12.1(2)T,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
OS_IFSS,12.0(1),Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Parser Cache,12.1(5)T,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Quality of Service Device Manager Command-Line Interface Commands,12.1(5)T,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Quality of Service for Virtual Private Networks,12.1(5)T,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Router-Port Group Management Protocol,12.1(5)T,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
SDLC SNRM Timer and Window Size Enhancements,12.1(5)T,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Set ATM CLP Bit,12.1(5)T,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Tag Switching (MPLS),12.0(1),N,N,N,N,N,N,Y,Y,Y,Y,Y,Y
c7100 ISA/ISM,12.0(6)T,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
