TOV%,AST%,Date,G,STL%
100.0,21.3,1985-12-03,21,0.0
33.3,21.1,1985-11-26,17,3.7
21.0,28.8,1986-02-27,61,0.0
0.0,28.6,1986-03-04,64,3.1
66.7,55.0,1986-02-19,57,0.0
34.7,38.1,1986-03-06,65,0.0
34.7,30.0,1986-03-10,67,3.2
17.4,8.3,1985-10-25,1,2.6
33.3,27.0,1985-11-27,18,0.0
0.0,40.0,1986-03-30,76,0.0
15.0,0.0,1986-04-12,82,3.5
34.0,26.4,1986-02-21,58,3.1
50.0,37.0,1985-12-02,20,3.0
16.7,61.8,1985-12-26,32,0.0
50.0,33.0,1985-12-11,26,0.0
75.0,11.4,1985-11-30,19,0.0
75.0,56.4,1985-11-10,9,0.0
24.0,33.0,1985-12-08,24,2.1
50.0,33.5,1985-12-13,27,0.0
100.0,39.0,1985-11-20,14,0.0
0.0,54.4,1986-01-24,47,2.7
100.0,52.7,1985-12-18,30,0.0
0.0,29.4,1986-02-11,53,3.1
100.0,28.6,1985-12-15,28,0.0
50.0,31.9,1986-03-20,71,0.0
60.0,19.5,1985-12-07,23,0.0
69.4,32.8,1986-02-25,60,0.0
50.0,19.0,1986-01-04,36,0.0
0.0,35.6,1985-10-27,2,0.0
25.8,0.0,1986-01-28,49,0.0
0.0,28.6,1986-03-27,74,3.0
0.0,36.4,1985-10-31,4,6.3
25.0,47.8,1986-02-17,56,0.0
50.0,51.7,1986-03-03,63,0.0
34.7,50.0,1985-11-19,13,7.3
25.0,16.7,1986-01-02,35,3.5
11.3,25.4,1986-04-05,79,3.4
0.0,45.0,1985-12-05,22,0.0
50.0,31.2,1985-12-10,25,0.0
17.0,12.8,1985-11-14,11,0.0
14.3,29.8,1985-11-05,6,0.0
66.7,60.0,1986-01-05,37,0.0
