Country,Area Harvested (1000 HA),Beginning Stocks (1000 MT),Production (1000 MT),TOTAL Mkt. Yr. Imports (1000 MT),Oct-Sep Imports (1000 MT),Oct-Sep Import U.S. (1000 MT),TOTAL SUPPLY (1000 MT),TOTAL Mkt. Yr. Exports (1000 MT),Oct-Sep Exports (1000 MT),Feed Dom. Consumption (1000 MT),TOTAL Dom. Consumption (1000 MT),Ending Stocks (1000 MT),TOTAL DISTRIBUTION (1000 MT)
Afghanistan,460,0,750,0,0,0,750,0,0,0,750,0,750
Albania,65,0,302,21,21,10,323,0,0,0,323,0,323
Algeria,1,0,2,"1,461","1,140","1,131","1,463",0,0,"1,362","1,363",100,"1,463"
Angola,400,0,175,121,121,0,296,0,0,0,296,0,296
Argentina,"1,700",585,"5,200",0,0,0,"5,785","2,800","2,873","2,000","2,900",85,"5,785"
Armenia; Republic of,0,0,0,270,270,0,270,0,0,270,270,0,270
Australia,52,14,227,0,0,0,241,36,36,95,191,14,241
Azerbaijan; Republic of,21,36,24,420,420,0,480,0,0,404,420,60,480
Belarus,0,185,0,"1,500","1,500",0,"1,685",0,0,"1,450","1,475",210,"1,685"
Benin,490,0,430,0,0,0,430,0,0,0,430,0,430
Bhutan,50,0,85,0,0,0,85,0,0,0,85,0,85
Bolivia,310,9,465,0,0,0,474,10,0,365,455,9,474
Botswana,50,0,20,4,4,0,24,0,0,0,24,0,24
Brazil,"12,100","3,951","22,300",900,618,12,"27,151",0,0,"22,500","25,800","1,351","27,151"
Bulgaria,563,200,"2,421",23,23,23,"2,644",0,0,"2,100","2,444",200,"2,644"
Burkina,174,0,190,0,0,0,190,0,0,70,190,0,190
Burma; Union of,123,0,194,0,0,0,194,25,14,14,169,0,194
Burundi,145,0,150,0,0,0,150,0,0,0,150,0,150
Cambodia,25,0,55,0,0,0,55,0,0,0,55,0,55
Cameroon,450,0,450,10,10,10,460,0,0,0,460,0,460
Canada,"1,035","1,002","6,571",568,637,637,"8,141",25,25,"5,912","6,972","1,144","8,141"
Cape Verde,10,0,7,14,14,20,21,0,0,0,21,0,21
Central African Republic,130,0,65,0,0,0,65,0,0,0,65,0,65
Chad,70,0,45,0,0,0,45,0,0,0,45,0,45
Chile,101,108,762,80,40,40,950,10,0,800,860,80,950
China; Peoples Republic of,"20,353","70,646","78,928",442,442,442,"150,016","3,085","3,085","48,000","74,200","72,731","150,016"
Colombia,787,70,"1,155",12,12,12,"1,237",0,0,50,"1,097",140,"1,237"
