SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
1986 - 1987,SC Bern,NLA,36,16,5,15,-,-,188,178,37,5,Did not make playoffs
1987 - 1988,SC Bern,NLA,36,12,4,20,-,-,130,148,28,7,Did not make playoffs
1988 - 1989,SC Bern,NLA,36,24,4,8,-,-,190,106,52,3,Champion
1989 - 1990,SC Bern,NLA,36,22,6,8,-,-,162,101,50,2,Final loss
1990 - 1991,SC Bern,NLA,36,28,6,2,-,-,177,81,62,1,Champion
1991 - 1992,SC Bern,NLA,36,21,6,9,-,-,142,98,48,3,Champion
1992 - 1993,SC Bern,NLA,36,21,4,11,-,-,160,123,46,3,Quarterfinal loss
1993 - 1994,SC Bern,NLA,36,18,4,14,-,-,140,108,40,5,Quarterfinal loss
1994 - 1995,SC Bern,NLA,36,18,3,15,-,-,146,123,39,6,Semifinal loss
1995 - 1996,SC Bern,NLA,36,21,4,11,-,-,139,98,46,1,Final loss
1996 - 1997,SC Bern,NLA,36,23,2,11,-,-,155,108,48,1,Champion
1997 - 1998,SC Bern,NLA,40,19,7,14,-,-,139,131,45,5,Quarterfinal loss
1998 - 1999,SC Bern,NLA,45,22,5,18,-,-,162,157,49,4,Quarterfinal loss
1999 - 2000,SC Bern,NLA,45,19,7,19,-,-,134,130,45,5,Quarterfinal loss
2000 - 2001,SC Bern,NLA,44,20,9,15,-,-,135,102,49,6,Semifinal loss
2001 - 2002,SC Bern,NLA,44,18,6,20,-,-,124,111,42,8,Quarterfinal loss
2002 - 2003,SC Bern,NLA,44,22,8,14,-,-,139,108,52,3,Semifinal loss
2003 - 2004,SC Bern,NLA,48,31,5,12,-,-,176,113,67,2,Champion
2004 - 2005,SC Bern,NLA,44,18,8,18,-,-,143,121,44,8,Semifinal loss
2005 - 2006,SC Bern,NLA,44,28,2,14,-,-,142,106,58,1,Quarterfinal loss
2006 - 2007,SC Bern,NLA,44,24,0,13,5,2,163,115,84,2,Final loss
2007 - 2008,SC Bern,NLA,50,33,0,9,4,4,167,92,111,1,Quarterfinal loss
2008 - 2009,SC Bern,NLA,50,30,0,11,4,5,187,136,103,1,Quarterfinal loss
2009 - 2010,SC Bern,NLA,50,29,0,11,5,5,154,117,102,1,Champion
2010 - 2011,SC Bern,NLA,50,35,-,15,11,3,160,117,97,3,Semifinal loss
2011 - 2012,SC Bern,NLA,50,23,-,15,6,6,153,130,87,5,Final loss
2012 - 2013,SC Bern,NLA,50,27,-,15,3,5,169,117,92,2,Champion
2013 - 2014,SC Bern,NLA,50,19,-,22,4,5,126,129,70,9,Saved in play-out
2014 - 2015,SC Bern,NLA,50,27,-,13,5,5,158,120,96,2,Semifinal loss
2015 - 2016,SC Bern,NLA,-,-,-,-,-,-,-,-,-,-,-
