Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Feb 23,vs. Hood, ,-,-,-,-,-,-,-,-,-,-,-
Feb 23,vs. Roanoke, ,-,-,-,-,-,-,-,-,-,-,-
Feb 24,at Meredith,"L, 1-0",-,-,-,-,-,-,-,-,-,-,-
Feb 24,vs. Salem,"L, 5-4",-,-,-,-,-,-,-,-,-,-,-
Mar 2,at Mary Baldwin,"W, 15-0",-,-,-,-,-,-,-,-,-,-,-
Mar 2,at Mary Baldwin,"W, 19-7",0,0,0,-,-,-,0,-,-,-,-
Mar 3,at Bridgewater,"L, 4-2",-,-,-,-,-,-,-,-,-,-,-
Mar 3,at Bridgewater,"L, 5-0",-,-,-,-,-,-,-,-,-,-,-
Mar 13,Penn St.-Harrisburg,"W, 10-0",-,-,-,-,-,-,-,-,-,-,-
Mar 13,Penn St.-Harrisburg,"W, 5-4",-,-,-,-,-,-,-,-,-,-,-
Mar 17,vs. Endicott,"W, 5-0",-,-,-,-,-,-,-,-,-,-,-
Mar 17,vs. Otterbein,"W, 1-0",-,-,-,-,-,-,-,-,-,-,-
Mar 18,vs. Springfield,"W, 6-4",-,-,-,-,-,-,-,-,-,-,-
Mar 18,vs. Anderson (Ind.),"L, 8-2",0,0,0,-,-,-,0,-,-,-,-
Mar 20,vs. Rowan,"L, 2-0",-,-,-,-,-,-,-,-,-,-,-
Mar 20,vs. Augsburg,"W, 8-1",-,-,-,-,-,-,-,-,-,-,-
Mar 21,vs. Otterbein,"W, 3-2",-,-,-,-,-,-,-,-,-,-,-
Mar 21,vs. Augsburg,"L, 3-2",-,-,-,-,-,-,-,-,-,-,-
Mar 22,vs. Anderson (Ind.),"W, 7-1",-,-,-,-,-,-,-,-,-,-,-
Mar 22,vs. Utica,"W, 5-4",-,-,-,-,-,-,-,-,-,-,-
Mar 30,Franklin & Marshall,"L, 3-1",-,-,-,-,-,-,-,-,-,-,-
Mar 30,Franklin & Marshall,"L, 7-2",-,-,-,-,-,-,-,-,-,-,-
Apr 2,at Swarthmore,"L, 7-0",-,-,-,-,-,-,-,-,-,-,-
Apr 2,at Swarthmore,"W, 14-2",-,-,-,-,-,-,-,-,-,-,-
Apr 6,at Muhlenberg,"L, 5-2",-,-,-,-,-,-,-,-,-,-,-
Apr 6,at Muhlenberg,"L, 4-3",-,-,-,-,-,-,-,-,-,-,-
Apr 7,at Haverford,"W, 4-2",-,-,-,-,-,-,-,-,-,-,-
Apr 7,at Haverford,"W, 2-1",-,-,-,-,-,-,-,-,-,-,-
Apr 13,Ursinus,"W, 2-0",-,-,-,-,-,-,-,-,-,-,-
Apr 13,Ursinus,"L, 4-3",-,-,-,-,-,-,-,-,-,-,-
Apr 18,Messiah,"L, 13-0",0,0,0,-,-,-,0,-,-,-,-
Apr 18,Messiah,"L, 9-0",-,-,-,-,-,-,-,-,-,-,-
Apr 21,at Gettysburg,"W, 2-0",-,-,-,-,-,-,-,-,-,-,-
Apr 21,at Gettysburg,"W, 5-3",-,-,-,-,-,-,-,-,-,-,-
Apr 23,Dickinson,"W, 4-3",-,-,-,-,-,-,-,-,-,-,-
Apr 23,Dickinson,"W, 3-0",-,-,-,-,-,-,-,-,-,-,-
Apr 27,Washington (Md.),"W, 7-2",-,-,-,-,-,-,-,-,-,-,-
Apr 27,Washington (Md.),"W, 4-3",-,-,-,-,-,-,-,-,-,-,-
May 1,York (Pa.),"W, 6-1",-,-,-,-,-,-,-,-,-,-,-
May 1,York (Pa.),"W, 9-7",-,-,-,-,-,-,-,-,-,-,-
May 4,vs. Haverford,"L, 3-2",-,-,-,-,-,-,-,-,-,-,-
May 4,at Muhlenberg,"L, 4-0",-,-,-,-,-,-,-,-,-,-,-
May 8,Stevenson,"L, 5-2",-,-,-,-,-,-,-,-,-,-,-
