BPG,TOV,Team,Player,FGM,FGA,FG%,3PA,#
0.3,3.5,UM,Daniel Horton,5.7,12.6,0.448,5.5,4
0.1,1.0,UM,Ron Coleman,2.1,5.2,0.409,2.3,55
0.1,1.5,UM,Dion Harris,3.9,9.7,0.403,5.7,26
0.6,2.5,UI,Greg Brunner,4.8,10.6,0.453,1.2,12
0.6,1.1,UW,Jason Chappell,1.5,3.5,0.421,0.5,61
0.2,2.0,UI,Adam Haluska,4.4,10.5,0.419,5.4,14
0.2,3.3,IU,Robert Vaden,4.8,11.1,0.436,6.3,17
0.2,1.5,OSU,Matt Sylvester,2.8,7.1,0.398,2.9,43
0.1,2.5,U of M,Maurice Hargrow,4.1,8.9,0.456,2.8,25
0.3,2.6,MSU,Maurice Ager,6.6,14.3,0.464,6.5,1
0.1,1.4,PSU,Mooch Jackson,2.4,6.1,0.388,3.1,46
0.3,2.1,UW,Alando Tucker,7.1,15.8,0.452,2.2,3
0.0,0.6,PU,Chris Hartley,0.5,1.8,0.306,1.3,71
0.7,3.9,IU,Marco Killingsworth,6.8,12.5,0.542,0.7,7
0.8,1.5,U of M,Spencer Tollackson,3.4,6.0,0.57,0.0,38
0.2,1.9,OSU,Je'Kel Foster,4.0,9.1,0.443,6.0,19
0.6,1.9,NU,Vedran Vukusic,6.8,13.9,0.492,6.2,2
0.0,1.6,PSU,Jamelle Cornley,4.5,8.7,0.515,0.0,23
1.5,2.4,UM,Courtney Sims,4.3,6.8,0.633,0.0,27
0.7,1.2,U of M,Dan Coleman,2.8,6.9,0.408,1.6,45
0.1,1.5,U of M,J'son Stamper,2.5,5.5,0.451,0.1,53
0.1,0.6,IU,Roderick Wilmont,3.2,7.6,0.424,4.1,34
0.1,2.1,PSU,Ben Luber,2.7,6.3,0.432,3.0,42
0.3,2.0,PSU,Travis Parker,4.5,9.7,0.459,3.1,20
0.1,1.9,OSU,Ron Lewis,3.3,7.3,0.449,3.9,24
0.2,1.1,UW,Joe Krabbenhoft,1.1,3.2,0.347,0.9,63
0.0,1.7,UI,Tony Freeman,1.2,3.5,0.342,2.1,66
