Player,Team,GIDP,R,SB,2B,SH
J Poterson,CHA,3,7,1,6,0
B Pritz,GRE,1,6,0,5,0
L Montz,SAV,6,66,1,24,2
C McGill,LEX,7,27,10,6,5
K Fisher,LAK,2,9,0,2,0
T Webb,SAV,9,59,22,22,2
J Webb,GBO,0,1,1,1,0
R Thompson,LEX,0,0,0,0,0
N Yoho,WVA,1,1,0,1,0
A Shafer,LAK,0,0,0,0,0
J Mader,LAK,4,24,7,6,4
M Sanders,AUG,1,86,57,19,3
B Thomas,ROM,0,6,0,2,0
T Reynolds,ASH,0,0,0,1,1
M Lombardi,LAK,3,6,0,3,0
D Watts,HAG,4,31,6,17,1
J Serfass,WVA,0,6,1,1,0
R Frith,LAK,3,54,8,24,5
R Lane,SAV,1,5,0,4,0
J Jaramillo,LAK,15,46,2,28,1
S Pyzik,ROM,2,2,0,2,1
J Merchan,LAK,3,10,1,7,0
R Vanderplow,CHA,0,0,0,0,0
J Owings,ROM,0,2,0,1,0
C Sammons,ROM,15,61,4,29,0
A Hathaway,HAG,4,18,0,8,1
B Bixler,HIC,5,74,21,23,3
S Klink,AUG,11,70,1,30,0
J Crist,COL,0,3,0,1,0
E Baez,SAV,13,62,11,21,1
C Gimenez,LCO,4,54,4,24,2
C Lisk,KAN,0,4,0,1,2
A Mansolino,HIC,0,4,0,2,0
R Guarno,ASH,2,7,1,7,1
J Koshansky,ASH,14,92,6,31,0
D Nino,HIC,1,0,0,0,0
M Ciaramella,GRE,6,27,2,13,0
J Wald,AUG,2,10,1,4,1
K Eichas,ROM,7,19,1,10,1
I Cronkhite,GRE,1,20,2,7,0
R Finan,DEL,0,3,0,2,0
H Cho,HIC,5,13,1,2,1
C Arias,GRE,7,33,2,15,0
R Plumsky,LAK,0,0,0,0,1
B Richmond,COL,2,2,1,1,0
C Armstrong,ROM,5,34,0,26,1
D Trumble,AUG,3,16,4,4,0
J Figueroa,GBO,2,13,0,4,0
R Marconi,DEL,2,15,2,5,4
P Strop,ASH,0,2,0,0,1
L Robles,CHA,2,1,0,1,1
S Doetsch,ROM,0,13,5,1,0
D Batz,COL,8,59,5,27,0
A Bocchino,HIC,4,44,1,13,0
A Easley,GRE,5,32,4,11,0
B Bock,DEL,6,4,2,7,1
A Sucre,HIC,10,38,3,12,0
C Sosa,AUG,4,61,4,25,0
T D'Antonio,GBO,1,11,1,6,0
J Murray,WVA,3,33,4,8,1
R Cormier,WVA,0,0,0,0,0
D Sutton,LEX,5,46,4,19,1
A Requena,AUG,2,78,56,23,3
R Diaz,LEX,0,0,0,0,0
L May,COL,7,46,5,14,1
J Columbus,AUG,2,27,2,15,0
