Month,CAN Truck,CAN Rail,CAN Pipeline,MEX Truck,MEX Rail,MEX Pipeline,Canada TRUCK (billions),Canada RAIL (billions),Canada PIPELINE (billions),Mexico TRUCK (billions),Mexico RAIL (billions),Mexico PIPELINE (billions)
Apr-93,"12,825,600,784","2,747,247,016","715,398,260","3,532,794,037","902,124,457","35,571,713",12.826,2.747,0.715,3.533,0.902,0.036
May-93,"12,902,554,434","2,816,379,363","746,809,909","3,625,458,458","830,051,426","32,131,340",12.903,2.816,0.747,3.625,0.83,0.032
Jun-93,"13,064,891,567","2,864,103,229","783,078,903","4,432,923,947","1,009,256,581","29,027,164",13.065,2.864,0.783,4.433,1.009,0.029
Jul-93,"10,271,804,895","2,263,858,295","744,259,793","4,108,436,554","775,525,655","25,390,175",10.272,2.264,0.744,4.108,0.776,0.025
Aug-93,"11,951,280,276","2,356,442,561","756,351,168","4,350,516,608","731,710,688","25,592,671",11.951,2.356,0.756,4.351,0.732,0.026
Sep-93,"12,624,969,777","2,634,918,458","791,841,374","4,394,260,204","1,050,461,673","25,680,565",12.625,2.635,0.792,4.394,1.05,0.026
Oct-93,"13,011,390,790","3,025,773,946","766,104,803","4,654,320,956","983,606,470","27,404,710",13.011,3.026,0.766,4.654,0.984,0.027
Nov-93,"12,934,405,304","2,986,097,200","741,238,067","4,932,582,117","1,034,126,146","17,575,836",12.934,2.986,0.741,4.933,1.034,0.018
Dec-93,"11,549,426,656","2,714,290,641","778,228,902","4,552,321,935","1,009,503,912","10,054,934",11.549,2.714,0.778,4.552,1.01,0.01
Jan-94,"11,378,357,303","2,521,419,795","718,132,028","5,213,736,473","822,235,221","2,115,562",11.378,2.521,0.718,5.214,0.822,0.002
Feb-94,"11,978,240,940","2,805,017,442","800,635,476","5,401,970,489","915,241,048","10,789,039",11.978,2.805,0.801,5.402,0.915,0.011
Mar-94,"14,981,655,632","3,534,524,732","794,633,071","6,347,737,449","1,056,714,209","20,777,412",14.982,3.535,0.795,6.348,1.057,0.021
Apr-94,"13,634,925,667","3,643,370,532","748,644,869","5,534,974,722","949,195,375","14,986,975",13.635,3.643,0.749,5.535,0.949,0.015
May-94,"14,390,726,618","3,616,486,814","775,542,310","6,258,422,113","979,190,268","32,197,177",14.391,3.616,0.776,6.258,0.979,0.032
Jun-94,"15,028,461,439","3,776,247,649","802,262,833","6,358,563,283","1,006,690,900","19,107,767",15.028,3.776,0.802,6.359,1.007,0.019
Jul-94,"11,416,541,094","3,008,840,485","858,984,806","5,771,685,496","813,801,483","19,321,125",11.417,3.009,0.859,5.772,0.814,0.019
Aug-94,"14,658,178,389","3,545,398,938","896,768,227","6,684,619,825","868,087,321","13,227,847",14.658,3.545,0.897,6.685,0.868,0.013
Sep-94,"14,943,910,258","4,402,363,663","877,434,871","6,568,521,467","1,078,544,385","20,700,003",14.944,4.402,0.877,6.569,1.079,0.021
Oct-94,"15,287,436,903","4,729,244,015","810,682,987","6,809,262,150","1,160,695,605","12,515,614",15.287,4.729,0.811,6.809,1.161,0.013
Nov-94,"15,914,162,101","4,598,557,399","870,280,285","7,110,114,036","1,096,042,280","22,265,121",15.914,4.599,0.87,7.11,1.096,0.022
Dec-94,"14,994,933,344","3,735,239,944","908,329,904","6,020,794,768","1,214,602,414","317,110",14.995,3.735,0.908,6.021,1.215,0.0
Jan-95,"14,737,118,553","4,352,806,377","980,570,567","6,447,653,601","1,071,755,567","8,820,453",14.737,4.353,0.981,6.448,1.072,0.009
Feb-95,"14,724,515,760","4,660,272,705","821,655,980","6,312,460,120","1,084,952,160","376,503",14.725,4.66,0.822,6.312,1.085,0.0
Mar-95,"17,166,046,885","4,401,293,408","942,711,263","7,109,652,897","1,115,359,808","605,242",17.166,4.401,0.943,7.11,1.115,0.001
Apr-95,"15,291,625,211","4,880,959,716","930,360,211","5,951,394,604","958,751,005","264,985",15.292,4.881,0.93,5.951,0.959,0.0
May-95,"16,259,469,874","5,074,082,130","911,831,605","6,714,084,604","1,042,296,878","297,763",16.259,5.074,0.912,6.714,1.042,0.0
Jun-95,"15,799,083,683","4,873,596,179","944,117,685","6,507,323,598","1,162,019,041","214,154",15.799,4.874,0.944,6.507,1.162,0.0
Jul-95,"12,514,618,040","3,460,250,067","869,449,946","5,840,839,788","1,031,437,915","121,661",12.515,3.46,0.869,5.841,1.031,0.0
Aug-95,"15,887,611,739","4,678,120,064","908,268,997","7,063,690,996","1,131,817,542","279,094",15.888,4.678,0.908,7.064,1.132,0.0
Sep-95,"15,884,412,731","4,954,798,403","789,750,974","6,823,952,343","1,189,889,732","596,851",15.884,4.955,0.79,6.824,1.19,0.001
Oct-95,"17,321,563,197","4,637,731,494","870,607,956","7,341,182,417","1,331,707,522","16,399,641",17.322,4.638,0.871,7.341,1.332,0.016
Nov-95,"16,505,879,134","4,779,303,054","865,540,407","6,865,262,204","1,311,443,364","243,229",16.506,4.779,0.866,6.865,1.311,0.0
Dec-95,"14,296,342,812","4,515,588,534","893,071,154","5,950,967,647","1,400,955,513","191,005",14.296,4.516,0.893,5.951,1.401,0.0
Jan-96,"15,420,885,056","4,320,332,865","1,039,756,930","6,767,990,960","1,533,401,543","6,105,807",15.421,4.32,1.04,6.768,1.533,0.006
Feb-96,"16,005,479,119","4,938,856,666","931,371,318","6,891,503,819","1,539,448,885","325,701",16.005,4.939,0.931,6.892,1.539,0.0
Mar-96,"17,095,747,730","4,761,046,789","963,173,581","7,325,960,139","1,409,801,655","221,391",17.096,4.761,0.963,7.326,1.41,0.0
Apr-96,"17,098,312,903","4,898,619,206","1,036,544,569","7,168,418,792","1,485,861,004","207,172",17.098,4.899,1.037,7.168,1.486,0.0
May-96,"17,691,406,498","5,057,872,714","1,056,334,030","7,846,677,490","1,524,618,402",0,17.691,5.058,1.056,7.847,1.525,0.0
Jun-96,"17,370,444,076","4,766,861,041","1,101,053,804","7,280,433,763","1,631,134,932","480,769",17.37,4.767,1.101,7.28,1.631,0.0
Jul-96,"14,709,791,271","3,820,955,859","1,117,632,373","7,427,644,369","1,366,558,611","839,799",14.71,3.821,1.118,7.428,1.367,0.001
Aug-96,"16,481,177,166","4,961,338,365","1,058,119,416","7,989,089,820","1,551,337,912","59,555",16.481,4.961,1.058,7.989,1.551,0.0
Sep-96,"17,967,486,059","4,499,269,087","1,073,703,566","7,981,607,702","1,285,156,181","11,798",17.967,4.499,1.074,7.982,1.285,0.0
Oct-96,"18,205,179,754","4,266,888,309","1,156,862,458","9,493,225,233","1,480,994,880","1,724,989",18.205,4.267,1.157,9.493,1.481,0.002
Nov-96,"17,752,081,670","4,859,208,203","1,133,924,040","8,227,734,618","1,333,000,313","341,296",17.752,4.859,1.134,8.228,1.333,0.0
Dec-96,"15,345,741,992","4,338,428,247","1,289,931,526","8,041,505,864","1,275,617,925","101,787",15.346,4.338,1.29,8.042,1.276,0.0
Jan-97,"16,369,714,624","4,035,612,491","1,446,729,219","8,041,326,726","1,224,909,261","546,957",16.37,4.036,1.447,8.041,1.225,0.001
Feb-97,"16,787,591,317","4,475,092,865","1,423,385,197","8,434,253,702","1,474,314,123","1,512,273",16.788,4.475,1.423,8.434,1.474,0.002
Mar-97,"17,937,074,744","4,567,517,404","1,287,863,829","8,739,475,010","1,537,472,970","5,630,957",17.937,4.568,1.288,8.739,1.537,0.006
Apr-97,"18,279,081,244","4,621,152,478","1,236,266,619","9,414,658,405","1,368,099,697","268,798",18.279,4.621,1.236,9.415,1.368,0.0
May-97,"18,885,489,871","3,945,022,555","989,013,744","8,811,423,036","1,540,399,402","8,794,743",18.885,3.945,0.989,8.811,1.54,0.009
Jun-97,"17,389,198,234","4,426,778,934","976,369,699","9,378,826,405","1,598,366,647","9,190,535",17.389,4.427,0.976,9.379,1.598,0.009
Jul-97,"15,551,039,314","3,427,034,635","1,013,418,801","9,243,108,534","1,579,712,180","12,128,697",15.551,3.427,1.013,9.243,1.58,0.012
Aug-97,"16,897,090,753","4,413,642,266","1,152,939,345","9,748,155,417","1,505,240,474","7,002,262",16.897,4.414,1.153,9.748,1.505,0.007
Sep-97,"18,639,791,169","4,354,645,073","1,073,508,791","10,087,110,056","1,603,091,386","8,236,098",18.64,4.355,1.074,10.087,1.603,0.008
Oct-97,"18,915,416,522","4,911,016,779","1,078,784,724","11,046,558,383","1,809,262,761","8,257,925",18.915,4.911,1.079,11.047,1.809,0.008
Nov-97,"17,874,728,891","4,605,360,736","1,047,043,812","9,856,531,392","1,697,083,257","9,030,667",17.875,4.605,1.047,9.857,1.697,0.009
Dec-97,"17,462,446,093","3,765,775,030","1,334,711,324","9,507,683,829","1,356,981,358","1,267,383",17.462,3.766,1.335,9.508,1.357,0.001
Jan-98,"17,220,390,549","3,413,362,592","1,324,471,074","9,576,210,444","1,287,522,936","783,886",17.22,3.413,1.324,9.576,1.288,0.001
Feb-98,"18,531,196,312","4,048,155,935","1,129,059,659","9,787,481,138","1,476,715,817","487,606",18.531,4.048,1.129,9.787,1.477,0.0
Mar-98,"20,218,297,844","5,055,354,542","869,127,454","11,118,883,765","1,693,993,132","508,177",20.218,5.055,0.869,11.119,1.694,0.001
Apr-98,"19,394,831,942","4,797,434,566","840,382,510","10,457,546,396","1,458,037,848","540,459",19.395,4.797,0.84,10.458,1.458,0.001
May-98,"20,119,221,360","3,637,148,587","830,950,702","10,275,259,206","1,613,293,177","9,159,999",20.119,3.637,0.831,10.275,1.613,0.009
Jun-98,"18,972,300,376","3,953,370,313","918,027,463","10,351,637,763","1,471,848,063","10,171,118",18.972,3.953,0.918,10.352,1.472,0.01
Jul-98,"15,177,178,223","2,867,795,419","932,265,202","9,944,531,444","1,277,152,944","11,177,039",15.177,2.868,0.932,9.945,1.277,0.011
Aug-98,"17,882,780,871","3,403,837,454","810,889,753","10,286,557,884","1,565,720,905","10,694,965",17.883,3.404,0.811,10.287,1.566,0.011
Sep-98,"19,272,397,624","4,334,922,487","833,483,707","11,255,560,335","1,519,313,419","10,462,180",19.272,4.335,0.833,11.256,1.519,0.01
Oct-98,"19,900,870,578","4,790,953,957","938,729,317","12,111,742,919","1,686,127,215","4,375,111",19.901,4.791,0.939,12.112,1.686,0.004
Nov-98,"19,256,555,212","4,726,336,964","903,384,372","10,881,913,510","1,583,735,709","8,396,386",19.257,4.726,0.903,10.882,1.584,0.008
Dec-98,"17,716,769,284","4,625,007,968","882,701,085","10,268,481,626","1,584,980,654","8,976,548",17.717,4.625,0.883,10.268,1.585,0.009
Jan-99,"17,712,679,742","4,324,704,768","881,198,521","9,777,911,407","1,470,583,701","8,086,575",17.713,4.325,0.881,9.778,1.471,0.008
Feb-99,"18,796,272,082","5,155,154,370","695,490,981","10,425,301,314","1,509,990,471","8,957,414",18.796,5.155,0.695,10.425,1.51,0.009
Mar-99,"21,740,057,808","5,339,327,853","770,075,329","11,804,007,783","1,716,503,768","9,409,797",21.74,5.339,0.77,11.804,1.717,0.009
Apr-99,"19,890,053,065","5,339,924,822","815,858,373","11,079,230,997","1,521,868,758","11,973,922",19.89,5.34,0.816,11.079,1.522,0.012
May-99,"20,368,676,152","4,938,892,729","800,648,223","11,151,418,395","1,894,526,446","12,804,994",20.369,4.939,0.801,11.151,1.895,0.013
Jun-99,"22,195,613,667","4,003,755,517","928,248,761","12,235,911,090","1,607,532,014","10,475,122",22.196,4.004,0.928,12.236,1.608,0.01
Jul-99,"17,057,719,792","3,712,123,849","965,406,333","11,643,694,597","1,808,525,319","12,285,313",17.058,3.712,0.965,11.644,1.809,0.012
Aug-99,"20,578,168,029","4,972,880,284","1,128,095,251","12,638,178,160","1,756,588,370","14,206,888",20.578,4.973,1.128,12.638,1.757,0.014
Sep-99,"20,961,033,002","4,806,350,416","1,072,252,798","12,592,750,772","1,801,219,178","17,341,318",20.961,4.806,1.072,12.593,1.801,0.017
Oct-99,"21,440,690,835","5,025,711,027","1,289,979,679","13,733,286,558","1,771,987,000","10,493,856",21.441,5.026,1.29,13.733,1.772,0.01
Nov-99,"21,767,180,834","5,291,392,911","1,347,381,181","13,554,307,218","1,617,350,194","13,118,658",21.767,5.291,1.347,13.554,1.617,0.013
Dec-99,"19,533,309,915","5,099,760,187","1,474,718,995","12,735,805,599","1,927,384,257","16,595,761",19.533,5.1,1.475,12.736,1.927,0.017
