Rdp,dWAR,Name,Rbat,Rbaser,Rpos,oRAR,oWAR,162WL%,Rfield
0,0.9,Orlando Cabrera,-1,1,3,12,1.1,.505,6
-1,-0.2,Dave McCarty,-2,0,-3,1,0.1,.497,1
0,0.1,Bronson Arroyo,-2,-0,1,-1,-0.1,.499,0
0,0.0,Scott Williamson,0,0,0,0,0.0,.500,0
0,0.0,Pedro Astacio,0,0,0,0,0.0,.500,0
2,-0.2,Gabe Kapler,-11,2,-4,0,-0.0,.494,1
-1,-0.8,Nomar Garciaparra,3,0,2,10,1.0,.496,-11
0,-0.1,Andy Dominique,-2,-0,-0,-1,-0.2,.498,-1
-0,2.0,Pokey Reese,-17,1,4,-2,-0.2,.502,15
0,0.1,Tim Wakefield,-1,0,0,-0,-0.0,.500,0
0,0.0,Jimmy Anderson*,0,0,0,0,0.0,.500,0
1,0.5,Mark Bellhorn#,8,1,3,36,3.4,.509,1
0,0.1,Mike Timlin,0,0,0,0,0.0,.500,0
-0,-0.1,Earl Snyder,-0,0,0,-1,-0.1,.499,-1
-0,-0.1,Brian Daubach*,-1,0,-1,1,0.1,.498,0
0,-0.4,Bill Mueller#,4,-5,2,19,1.8,.497,-7
0,0.0,Frank Castillo,0,0,0,0,0.0,.500,0
0,0.1,Adam Hyzdu,1,-0,-1,1,0.1,.501,1
0,0.1,Alan Embree*,0,0,0,0,0.0,.500,0
0,0.1,Keith Foulke,0,0,0,0,0.0,.500,0
0,0.0,Bobby Jones,0,0,0,0,0.0,.500,0
0,0.1,Curt Leskanic,0,0,0,0,0.0,.500,0
0,0.0,Phil Seibel*,0,0,0,0,0.0,.500,0
0,0.0,Pedro Martinez,-1,0,0,-0,-0.0,.500,0
-2,-1.8,Manny Ramirez,42,-3,-7,55,5.2,.510,-13
0,0.0,Sandy Martinez*,-1,0,0,-1,-0.1,.499,0
0,0.0,Byung-Hyun Kim,0,0,0,0,0.0,.500,0
