SF,Team,CS,2B,SB
3,IE,4,10,7
0,MOD,2,5,2
0,SJ,0,2,4
3,LAN,7,19,28
2,RC,7,11,13
2,HD,0,12,4
1,MOD,4,39,7
0,HD,0,0,0
3,BAK,9,21,36
0,HD,3,2,1
0,STK,0,0,0
0,HD,0,0,0
0,HD,0,1,3
0,STK,0,0,0
5,RC,3,23,9
1,RC,3,6,2
0,LE,0,1,0
0,LAN,0,0,0
0,BAK,2,10,4
0,HD,0,6,0
4,RC,2,18,2
3,BAK,8,12,8
1,HD,0,6,0
1,IE,3,14,4
3,LAN,6,7,20
2,LE,0,10,0
2,MOD,3,23,4
0,LE,0,1,1
0,BAK,0,0,0
2,BAK,2,5,1
0,STK,0,0,0
0,SJ,0,5,0
6,BAK,14,17,52
0,LAN,0,0,0
2,BAK,10,15,37
0,STK,0,0,0
0,LAN,3,16,1
2,IE,8,7,14
0,LE,1,2,12
0,LAN,0,0,0
2,IE,7,17,1
0,HD,0,3,1
2,STK,0,5,2
4,MOD,7,17,24
2,LE,1,10,3
4,SJ,19,34,53
0,IE,0,1,0
7,HD,1,22,2
0,IE,0,0,0
0,IE,0,0,0
5,IE,4,18,4
1,RC,1,7,2
0,IE,0,0,0
0,VIS,0,0,0
2,MOD,2,11,0
3,LE,2,1,3
8,VIS,1,39,0
0,RC,0,2,0
3,LAN,0,10,5
3,STK,3,14,2
2,LAN,0,1,3
0,SJ,0,1,1
1,IE,0,1,1
2,IE,0,21,1
1,BAK,3,27,3
0,IE,0,1,0
2,IE,2,13,2
2,VIS,2,26,4
1,BAK,0,10,0
0,HD,1,3,1
0,HD,0,1,0
0,RC,0,1,0
9,LE,1,35,6
0,LE,1,1,1
5,BAK,8,15,6
1,HD,1,10,13
0,RC,0,1,0
0,RC,1,0,2
2,STK,5,19,3
0,RC,0,1,0
3,STK,4,12,5
2,SJ,0,9,5
0,HD,1,3,0
5,STK,7,18,24
4,RC,2,24,3
4,HD,2,17,3
0,IE,0,1,0
7,VIS,8,14,27
0,RC,0,7,2
0,SJ,0,6,4
2,LAN,0,8,1
0,IE,0,2,0
3,MOD,6,11,7
14,MOD,1,32,2
0,SJ,0,2,0
