USG%,TS%,G,ORtg
20.4,.500,47,75
25.7,.000,16,42
0.0, ,23,218
9.2,.694,52,136
10.5,.500,45,74
11.5,.615,54,148
17.6,.750,46,170
22.9,.506,42,96
12.5,.512,36,126
14.7,.608,19,88
15.0, ,20,48
0.0, ,7,217
12.9,.810,17,151
48.3,.000,28,0
13.8,.515,15,151
32.6,.698,60,104
12.9,.347,57,93
0.0, ,1, 
18.0,.458,31,127
18.8,.500,49,43
14.3,1.000,22,200
14.6,.410,33,82
8.5,.000,12,96
13.5,.800,41,127
16.2,.667,32,88
14.9,.600,55,132
20.9,.000,30,0
0.0, ,48, 
39.2,.000,5,41
13.4,.200,38,72
40.5,.266,3,62
26.0,.307,6,70
18.3, ,8,0
0.0, ,27, 
