a,k,3b,Opponent,hr,rbi,bb,ab,sh
5,6,2,LOUISIANA TECH,3,14,3,37,0
13,9,0,Fresno State,1,3,6,26,0
16,9,0,Hawai`i,0,0,5,29,1
13,5,0,OREGON STATE,2,10,5,35,0
10,5,0,Fresno State,2,4,1,36,0
16,7,1,UC IRVINE,1,6,2,38,1
10,4,0,FRESNO STATE,0,7,4,31,2
12,5,0,UC IRVINE,0,0,7,31,0
10,5,0,UTAH VALLEY UNIV.,2,7,3,35,0
13,7,0,PACIFIC,0,8,3,37,0
14,3,0,Hawai`i,0,5,4,38,0
9,7,2,CSU MONTEREY BAY,3,24,5,49,0
11,8,0,Louisiana Tech,1,6,3,40,2
11,5,0,SACRAMENTO STATE,2,6,2,35,0
15,10,0,Hawai`i,0,2,3,32,2
10,9,0,LOUISIANA TECH,0,6,6,33,0
13,9,0,UT Arlington,1,7,4,32,2
14,2,0,UC RIVERSIDE,0,3,1,30,0
12,5,0,Pacific,0,3,4,30,1
9,3,0,Sacramento State,1,14,5,33,0
10,8,0,NEW MEXICO STATE,2,7,4,36,0
6,2,0,Louisiana Tech,1,8,3,35,1
7,2,0,Hawai`i,0,3,4,24,1
16,4,0,SACRAMENTO STATE,1,4,5,32,0
5,2,0,NEW MEXICO STATE,3,11,3,29,1
15,7,1,UTAH VALLEY UNIV.,0,9,7,31,1
14,9,0,SACRAMENTO STATE,2,13,6,40,0
12,3,0,FRESNO STATE,1,11,7,33,1
14,18,0,FRESNO STATE,1,3,5,30,0
9,6,0,NEW MEXICO STATE,0,4,5,35,0
6,5,1,NEW MEXICO STATE,1,8,0,33,1
13,3,0,Fresno State,0,4,3,34,2
12,5,0,San Jose State,0,0,1,31,1
14,6,0,UNLV,0,4,5,34,0
13,8,0,San Jose State,0,3,2,33,1
9,8,0,Fresno State,0,0,2,25,0
