Date,Opponent,Score,g,a,pts,fpg-fps,gb,dc,to,ct,sh,sh%,sog,sog%
Feb 22,La Salle,"L, 14-8",-,-,-,-,-,-,-,-,-,-,-,-
Feb 25,Iona,"W, 15-10",-,-,-,-,-,-,-,-,-,-,-,-
Mar 1,at Hofstra,"L, 17-5",-,-,-,-,-,-,-,-,-,-,-,-
Mar 5,at Siena,"W, 12-10",-,-,-,-,-,-,-,-,-,-,-,-
Mar 13,at Stony Brook,"L, 20-5",0,0,0,0-1,0,0,1,0,1,0.0,0,0.0
Mar 15,at Brown,"L, 21-9",-,-,-,-,-,-,-,-,-,-,-,-
Mar 22,Vermont,"L, 22-7",0,0,0,0-0,1,0,0,0,0,-,0,-
Mar 25,Lafayette,"L, 12-7",-,-,-,-,-,-,-,-,-,-,-,-
Mar 29,Howard,"W, 22-7",1,0,1,0-1,0,0,0,1,2,50.0,2,100.0
Apr 4,at Mount St. Mary's,"W, 8-7",-,-,-,-,-,-,-,-,-,-,-,-
Apr 6,at Wagner,"L, 15-7",-,-,-,-,-,-,-,-,-,-,-,-
Apr 11,St. Francis University,"W, 11-10",0,0,0,0-0,0,0,0,0,0,-,0,-
Apr 13,Robert Morris,"L, 9-8",-,-,-,-,-,-,-,-,-,-,-,-
Apr 18,Bryant,"L, 16-6",-,-,-,-,-,-,-,-,-,-,-,-
Apr 25,Sacred Heart,"W, 11-9",-,-,-,-,-,-,-,-,-,-,-,-
Apr 27,at LIU Brooklyn,"W, 15-14",-,-,-,-,-,-,-,-,-,-,-,-
May 2,at Bryant,"L, 13-7",-,-,-,-,-,-,-,-,-,-,-,-
