YEAR,Team,Lg,G,PA,TAv,oppAVG,oppOBP,oppSLG,oppTAv,BABIP,BPF,BRAA,repLVL,POS_ADJ,FRAA,BRR,BVORP,BWARP,VORP,WARP
1983,ELM,A-,67,261,0.0,0.0,0.0,0.0,0.0,0.302, , ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0
1984,WNS,A+,132,514,0.0,0.0,0.0,0.0,0.0,0.305, , ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0
1985,NBR,AA,134,533,0.0,0.0,0.0,0.0,0.0,0.269, , ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0
1986,BOS,MLB,62,215,0.233,0.264,0.33,0.409,0.267,0.264,102.0,-6.0,5.9,2.7,-3.0,0.6,2.1,-0.1,2.1,-0.1
1986,SEA,MLB,36,131,0.171,0.255,0.321,0.399,0.261,0.25,102.0,-11.8,3.6,1.7,-2.7,0.3,-5.9,-0.9,-5.9,-0.9
1986,PAW,AAA,24,98,0.0,0.0,0.0,0.0,0.0,0.26, , ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0
1987,SEA,MLB,135,517,0.236,0.264,0.329,0.422,0.264,0.302,103.0,-13.3,15.2,7.0,-11.5,-1.9,6.2,-0.5,6.2,-0.5
1988,SEA,MLB,140,530,0.246,0.261,0.322,0.392,0.267,0.267,106.0,-7.2,13.9,5.9,4.4,0.0,14.8,2.1,14.8,2.1
1989,PIT,MLB,71,253,0.218,0.246,0.308,0.363,0.254,0.232,99.0,-10.2,6.6,3.0,-5.0,1.3,-1.6,-0.7,-1.6,-0.7
1989,SEA,MLB,7,22,0.133,0.248,0.31,0.363,0.258,0.111,107.0,-2.7,0.6,0.3,0.0,0.1,-1.5,-0.2,-1.5,-0.2
