Acquired,Pos Summary,Rbat,Rdp,WAA,Age,RAA,RAR
Amateur Free Agent,78/9,-15,1,-2.5,24,-20,-10
Traded,1,0,0,0.0,26,0,0
Free Agency,1,-3,-0,-0.2,30,-2,-2
Amateur Draft,/1,-0,0,0.0,25,0,0
Free Agency,34/56,-4,-1,-0.3,28,-2,2
Free Agency,1,0,0,0.0,33,0,0
Free Agency,1,0,0,0.0,29,0,0
 , ,-84,7,-9.8,26.7,-62,124
Amateur Draft,/2,-1,0,-0.1,26,-1,-0
Amateur Draft,1,0,0,0.0,28,0,0
Amateur Draft,4/9D,-3,0,-0.8,24,-7,-5
Amateur Draft,/1,-1,0,-0.1,24,-1,-1
Waivers,*54/D,10,0,-0.1,28,1,19
Free Agency,84/56,-3,1,0.5,29,6,15
Traded,1,0,0,0.0,29,0,0
Traded,1,1,-0,1.0,27,10,10
Free Agency,/2,-4,0,-0.5,34,-4,-4
Traded,*3,37,-0,3.3,24,32,51
Traded,1,-4,0,0.1,24,1,1
Free Agency,1,-4,0,0.2,30,2,2
Free Agency,1,-4,0,-0.1,33,-1,-1
Amateur Draft,4,-9,1,0.1,28,2,9
Free Agency,1,0,0,0.0,33,0,0
Free Agency,9/D,-20,2,-2.2,30,-17,-6
Free Agency,7/9D,10,0,-1.1,29,-8,6
Traded,987,3,-0,-1.2,32,-10,-2
Amateur Free Agent,2,-3,-0,0.5,27,6,19
Amateur Free Agent,*6,8,-1,0.3,24,5,23
Free Agency,897/D,-4,0,-0.8,29,-6,1
Amateur Free Agent,9,6,0,0.7,22,7,10
