eFG%,TS%,ORB%,Date,GmSc
.667,.667,3.0,2004-02-01,10.3
.667,.667,0.0,2003-12-15,5.2
.667,.667,0.0,2004-02-25,5.5
.000,.000,3.4,2004-01-06,5.3
.625,.717,10.9,2003-12-18,15.1
.375,.450,0.0,2004-02-08,3.0
.667,.667,0.0,2003-11-18,3.4
.667,.667,0.0,2003-11-22,5.5
.400,.400,3.0,2004-01-03,2.2
.857,.888,7.6,2003-12-12,15.8
 , ,0.0,2003-11-01,0.0
.000,.000,6.8,2004-04-04,-1.4
.500,.500,0.0,2004-03-05,4.0
.167,.167,6.4,2004-02-04,-1.0
.400,.400,25.2,2003-11-05,3.1
.500,.509,0.0,2004-01-19,3.8
.400,.400,7.6,2003-11-25,5.0
.000,.000,0.0,2003-12-20,0.2
.375,.375,0.0,2004-02-20,3.8
.000,.000,11.7,2003-11-07,-0.3
.800,.800,5.4,2003-12-27,7.8
.500,.500,0.0,2004-02-11,4.5
.417,.417,10.5,2004-03-24,1.1
.167,.167,0.0,2003-12-23,-2.7
.333,.515,12.0,2003-12-16,5.6
.333,.333,6.1,2004-02-29,4.2
1.000,.798,0.0,2004-02-24,2.1
.375,.375,0.0,2004-01-28,1.5
.200,.200,12.2,2004-03-21,-0.7
.500,.521,0.0,2004-01-14,2.7
.500,.615,0.0,2004-02-03,6.5
.200,.200,5.6,2004-01-13,-0.2
.667,.840,0.0,2004-01-21,5.7
.750,.750,6.7,2004-03-09,6.9
.500,.500,0.0,2004-04-09,5.7
.500,.500,6.2,2003-11-08,1.8
