DRB%,Opp,TOV%
12.5,LAL,0.0
0.0,SAS,20.0
24.4,CHH,0.0
31.2,DET,0.0
21.7,NYK,0.0
16.7,SEA,0.0
5.3,LAL,0.0
0.0,LAC,0.0
0.0,NJN, 
0.0,GSW, 
7.0,WAS,0.0
14.0,SAS, 
0.0,CHH, 
0.0,MIL,100.0
6.0,DEN,0.0
0.0,IND, 
12.7,PHI,11.1
0.0,DET,0.0
51.1,SEA, 
0.0,CHH,0.0
3.5,MIL,0.0
0.0,PHO,34.0
27.8,CHI, 
6.4,WAS,12.7
6.1,MIL,0.0
14.6,NJN,0.0
15.3,CLE,20.0
0.0,ATL,17.0
0.0,MIL,0.0
0.0,POR, 
14.5,NYK,0.0
0.0,PHI,0.0
0.0,IND,0.0
0.0,POR, 
5.9,ORL,12.5
0.0,PHO,0.0
0.0,SEA,0.0
0.0,DEN, 
0.0,SAC, 
0.0,DET, 
11.3,SAS,0.0
