Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Stefan Welch,Sal,9,2,6,2,0,0,2,0,0,3,0,0.667,0.75,0.889,1.639
Bryce Brentz,Paw,6,3,3,2,0,0,1,0,0,2,1,0.5,0.625,0.833,1.458
Franklin Guzman,DSL,7,2,3,2,0,0,1,0,0,0,0,0.429,0.429,0.714,1.143
Mookie Betts,SalGre,13,0,4,2,0,0,1,1,0,2,2,0.308,0.4,0.462,0.862
Carlos Coste,GCL,1,0,1,1,0,0,0,0,0,0,0,1.0,1.0,2.0,3.0
Shannon Wilkerson,Por,5,2,3,1,0,0,2,0,0,2,0,0.6,0.714,0.8,1.514
Williams Jerez,Low,2,1,1,1,0,0,0,0,0,0,1,0.5,0.5,1.0,1.5
Justin Henry,Paw,9,4,4,1,0,1,5,0,0,2,2,0.444,0.545,0.889,1.434
Mario Martinez,Gre,7,0,4,1,0,0,2,0,0,0,0,0.571,0.571,0.714,1.286
Heiker Meneses,PawPor,8,2,4,1,0,0,1,0,0,1,3,0.5,0.556,0.625,1.181
Luis Alexander Basabe,DSL,5,1,2,1,0,0,1,0,0,1,0,0.4,0.571,0.6,1.171
Jordan Weems,Gre,3,0,1,1,0,0,0,0,0,0,1,0.333,0.333,0.667,1.0
Victor Acosta,DSL,5,0,2,1,0,0,1,0,0,0,0,0.4,0.4,0.6,1.0
Javier Guerra,DSL,8,0,3,1,0,0,2,1,1,1,1,0.375,0.5,0.5,1.0
Jhon Nunez,DSL,6,3,2,1,0,0,2,0,0,1,1,0.333,0.429,0.5,0.929
Jose Colorado,LowGCL,3,1,1,1,0,0,2,0,0,0,1,0.333,0.25,0.667,0.917
Jackie Bradley Jr.,Paw,4,0,1,1,0,0,0,0,0,1,1,0.25,0.4,0.5,0.9
Keury De La Cruz,Sal,18,2,6,1,1,0,1,0,1,1,5,0.333,0.368,0.5,0.868
Ryan Lavarnway,Paw,4,1,1,1,0,0,1,0,0,0,0,0.25,0.25,0.5,0.75
Drew Turocy,Gre,5,1,1,1,0,0,0,0,0,1,3,0.2,0.333,0.4,0.733
Isaias Lucena,DSL,5,1,1,1,0,0,1,0,0,0,2,0.2,0.2,0.4,0.6
Cody Koback,SalGre,11,0,2,1,0,0,0,0,0,1,3,0.182,0.308,0.273,0.58
Matty Johnson,PorSal,12,1,1,1,0,0,2,0,0,2,5,0.083,0.214,0.167,0.381
Jonathan Diaz,Paw,8,0,1,1,0,0,1,0,0,0,0,0.125,0.125,0.25,0.375
Kendrick Perkins,Gre,1,0,1,0,0,0,0,1,0,0,0,1.0,1.0,1.0,2.0
