BLK%,AST%,Rk,DRtg,Opp,G,TRB%
0.0,0.0,8,114,PHI,8,0.0
0.0,0.0,41,118,BOS,41,0.0
0.0,0.0,29,117,MIL,29,7.6
0.0,0.0,52,126,DET,52,9.5
0.0,7.6,28,112,PHO,28,11.7
0.0,0.0,22,104,SAS,22,0.0
0.0,0.0,14,51,MIL,14,53.7
0.0,42.9,33,106,DET,33,28.9
0.0,0.0,36,96,PHI,36,19.3
0.0,11.6,30,92,BOS,30,6.2
0.0,25.0,51,100,CHH,51,20.3
0.0,0.0,10,119,LAC,10,8.6
0.0,72.7,32,111,ATL,32,20.3
0.0,29.6,18,75,MIA,18,19.3
0.0,0.0,45,107,NYK,45,5.6
0.0,0.0,5,136,SAC,5,8.0
0.0,0.0,27,101,WSB,27,9.7
0.0,0.0,9,119,NJN,9,0.0
0.0,10.8,15,76,DAL,15,25.6
0.0,9.8,20,102,DEN,20,4.3
3.7,29.1,48,108,ATL,48,19.2
0.0,0.0,25,131,ATL,25,0.0
0.0,0.0,3,122,CLE,3,7.9
0.0,0.0,31,100,ORL,31,16.6
0.0,6.3,34,113,BOS,34,10.7
0.0,0.0,26,58,DET,26,100.0
0.0,0.0,7,97,LAL,7,11.4
