G,USG%,TRB%,ORtg,Tm,ORB%,eFG%,STL%,GS
7,17.1,3.9,165,IND,0.0,1.000,9.5,0
20,14.2,19.7,169,IND,18.0,1.000,0.0,0
23,18.0,7.9,103,IND,0.0,.400,2.3,0
16,14.3,14.1,223,IND,21.6,1.000,0.0,0
66,5.1,20.5,210,IND,10.8,1.000,0.0,0
37,24.4,22.9,127,IND,21.4,.667,6.8,0
63,12.5,7.1,112,IND,17.1,1.000,0.0,0
46,0.0,9.3, ,IND,0.0, ,0.0,0
68,8.0,12.7,100,IND,10.6,1.000,0.0,0
71,6.0,0.0,0,IND,0.0, ,0.0,0
42,0.0,7.8,200,IND,0.0, ,0.0,0
67,18.2,22.6,0,IND,0.0, ,10.5,0
40,4.3,12.0,116,IND,0.0, ,0.0,0
10,16.5,4.8,137,IND,0.0,.500,0.0,0
18,14.8,9.4,123,IND,8.1,.333,3.6,0
50,14.1,7.6,120,IND,10.1,.667,0.0,0
48,14.1,16.0,125,IND,0.0,.500,0.0,0
47,4.1,8.9,219,IND,6.7,1.000,0.0,0
34,17.2,17.2,100,IND,15.6,.000,0.0,0
52,10.5,11.7,116,IND,19.0,.500,2.2,0
26,5.7,7.7,200,IND,0.0,1.000,0.0,0
54,9.0,11.1,166,IND,7.5,.667,0.0,0
14,9.6,17.8,116,IND,21.1,.667,2.7,0
53,7.1,9.1,127,IND,0.0,1.000,2.3,0
79,21.9,12.7,108,IND,14.2,.333,0.0,0
9,10.0,0.0,25,IND,0.0,.000,0.0,0
72,0.0,0.0, ,IND,0.0, ,0.0,0
57,21.4,8.9,85,IND,12.0,.375,0.0,0
69,11.1,11.4,138,IND,6.5,.500,0.0,0
60,7.1,0.0,38,IND,0.0, ,8.0,0
8,16.1,13.2,133,IND,14.9,.400,2.4,0
41,19.0,10.9,58,IND,0.0,1.000,0.0,0
62,23.8,25.5,96,IND,25.5,.444,2.2,0
33,24.8,24.4,92,IND,26.7,.556,5.9,0
61,10.1,11.3,112,IND,9.8,1.000,0.0,0
35,14.9,11.0,98,IND,11.8,.571,1.9,0
2,16.1,3.0,106,IND,5.6,.000,0.0,0
29,12.3,10.9,145,IND,14.9,.750,3.2,0
43,14.1,10.2,155,IND,0.0,1.000,0.0,0
76,13.4,17.2,47,IND,16.3,.000,0.0,0
64,17.3,14.9,73,IND,5.3,.750,5.7,0
30,6.6,19.2,96,IND,11.8,.500,0.0,0
15,20.3,25.5,38,IND,0.0,.000,0.0,0
32,11.7,13.7,135,IND,10.0,.667,2.5,0
51,15.2,14.5,94,IND,0.0,.600,3.0,0
73,8.2,13.8,76,IND,19.6,.000,0.0,0
