H,SLG,AB,RBI,POS,BB
70,0.377,207,21,OF,30
21,0.274,95,16,OF,14
1,0.071,14,1,OF,3
29,0.346,133,12,OF,6
25,0.42,100,15,OF,13
34,0.553,123,21,OF,8
3,0.143,21,0,OF,3
70,0.362,254,20,OF,12
52,0.362,218,26,OF,11
9,0.406,32,5,OF,3
63,0.444,241,45,OF,31
45,0.433,150,22,OF,11
4,0.273,22,2,OF,2
5,0.189,37,2,RF,5
77,0.58,207,42,OF,20
63,0.502,225,40,OF,36
93,0.452,281,34,OF,21
26,0.203,138,16,LF,16
79,0.47,266,38,OF,32
28,0.358,106,12,RF,4
82,0.534,247,44,OF,35
21,0.417,96,14,OF,7
62,0.645,197,41,OF,14
22,0.447,94,14,OF,9
67,0.457,230,39,OF,27
38,0.329,146,15,OF,18
47,0.372,196,25,OF,7
86,0.367,264,24,OF,9
1,0.167,6,1,OF,1
65,0.45,218,29,OF,17
69,0.535,254,54,OF,19
