Date,Opponent,Goals,Assists,Points,+/-,PIM,PP Goals,PP Assists,SH Goals,SH Assists,Shots,Shot %
Oct. 06,Vancouver Canucks,0,0,0,-1,0,0,0,0,0,1,0.0
Oct. 08,Calgary Flames,0,1,1,-1,0,0,0,0,0,1,0.0
Oct. 09,Edmonton Oilers,0,0,0,0,2,0,0,0,0,3,0.0
Oct. 11,Florida Panthers,0,0,0,-1,0,0,0,0,0,1,0.0
Oct. 15,Buffalo Sabres,0,0,0,-1,0,0,0,0,0,1,0.0
Oct. 17,Winnipeg Jets,0,0,0,0,0,0,0,0,0,0,0.0
Oct. 18,Minnesota Wild,0,0,0,-1,0,0,0,0,0,0,0.0
Oct. 20,Montreal Canadiens,0,0,0,0,0,0,0,0,0,1,0.0
Oct. 29,Toronto Maple Leafs,0,0,0,1,0,0,0,0,0,0,0.0
Nov. 03,San Jose Sharks,0,0,0,-1,0,0,0,0,0,0,0.0
Nov. 05,Los Angeles Kings,0,0,0,-1,0,0,0,0,0,1,0.0
Nov. 10,Chicago Blackhawks,1,0,1,-2,0,1,0,0,0,2,50.0
Nov. 12,Winnipeg Jets,0,0,0,2,0,0,0,0,0,0,0.0
Nov. 15,Minnesota Wild,1,0,1,-1,0,1,0,0,0,6,16.7
Nov. 17,Boston Bruins,0,0,0,0,0,0,0,0,0,3,0.0
Nov. 19,Nashville Predators,0,0,0,0,0,0,0,0,0,0,0.0
Nov. 21,Calgary Flames,0,0,0,0,0,0,0,0,0,0,0.0
Nov. 23,New Jersey Devils,0,0,0,0,0,0,0,0,0,2,0.0
Nov. 25,Buffalo Sabres,1,0,1,2,0,0,0,0,0,2,50.0
Nov. 27,St. Louis Blues,0,0,0,0,0,0,0,0,0,1,0.0
Nov. 29,Vancouver Canucks,0,0,0,-1,0,0,0,0,0,4,0.0
Dec. 01,Calgary Flames,0,0,0,-1,0,0,0,0,0,1,0.0
Dec. 02,Edmonton Oilers,1,0,1,-3,0,1,0,0,0,4,25.0
Dec. 06,Montreal Canadiens,0,0,0,0,0,0,0,0,0,0,0.0
Dec. 08,Nashville Predators,0,0,0,0,0,0,0,0,0,0,0.0
Dec. 10,Boston Bruins,0,0,0,0,0,0,0,0,0,0,0.0
Dec. 13,Vancouver Canucks,0,1,1,0,0,0,1,0,0,1,0.0
Dec. 15,Los Angeles Kings,0,0,0,0,0,0,0,0,0,2,0.0
Dec. 17,Tampa Bay Lightning,0,0,0,0,0,0,0,0,0,0,0.0
Dec. 18,St. Louis Blues,1,0,1,-3,0,1,0,0,0,4,25.0
Dec. 22,Nashville Predators,0,0,0,-1,0,0,0,0,0,2,0.0
Dec. 26,Chicago Blackhawks,0,1,1,0,0,0,0,0,0,1,0.0
Dec. 27,Calgary Flames,0,1,1,1,0,0,0,0,0,1,0.0
Dec. 29,Dallas Stars,0,1,1,0,0,0,0,0,0,2,0.0
Dec. 31,Washington Capitals,0,0,0,0,0,0,0,0,0,3,0.0
Jan. 05,San Jose Sharks,0,1,1,1,0,0,0,0,0,0,0.0
Feb. 14,St. Louis Blues,0,1,1,-1,0,0,1,0,0,6,0.0
Feb. 18,Chicago Blackhawks,0,0,0,-1,0,0,0,0,0,2,0.0
Feb. 19,New York Rangers,0,0,0,-1,0,0,0,0,0,1,0.0
Feb. 21,San Jose Sharks,0,1,1,-1,0,0,1,0,0,2,0.0
Feb. 24,Colorado Avalanche,0,0,0,-1,0,0,0,0,0,2,0.0
Feb. 26,Pittsburgh Penguins,0,0,0,0,0,0,0,0,0,0,0.0
Feb. 28,Detroit Red Wings,0,0,0,0,0,0,0,0,0,3,0.0
Mar. 01,Colorado Avalanche,0,0,0,0,0,0,0,0,0,0,0.0
Mar. 03,Phoenix Coyotes,0,0,0,0,0,0,0,0,0,1,0.0
Mar. 06,Phoenix Coyotes,0,1,1,0,0,0,0,0,0,4,0.0
Mar. 08,Los Angeles Kings,2,0,2,2,0,0,0,0,0,4,50.0
Mar. 10,St. Louis Blues,0,1,1,1,0,0,0,0,0,1,0.0
Mar. 11,St. Louis Blues,1,0,1,0,0,0,0,0,0,3,33.3
Mar. 14,Edmonton Oilers,0,0,0,-1,0,0,0,0,0,0,0.0
Mar. 17,Vancouver Canucks,0,1,1,1,0,0,0,0,0,4,0.0
Mar. 18,Calgary Flames,0,0,0,-1,0,0,0,0,0,4,0.0
Mar. 20,Chicago Blackhawks,0,0,0,0,0,0,0,0,0,6,0.0
Mar. 23,Carolina Hurricanes,1,0,1,2,2,0,0,0,0,2,50.0
Mar. 25,Edmonton Oilers,1,0,1,0,0,0,0,0,0,2,50.0
Mar. 26,Detroit Red Wings,1,0,1,1,0,0,0,0,0,1,100.0
Mar. 28,Detroit Red Wings,0,0,0,1,0,0,0,0,0,3,0.0
Mar. 30,Florida Panthers,0,1,1,-1,2,0,1,0,0,3,0.0
Mar. 31,St. Louis Blues,0,0,0,0,2,0,0,0,0,2,0.0
Apr. 03,Phoenix Coyotes,0,0,0,0,0,0,0,0,0,5,0.0
Apr. 05,Colorado Avalanche,0,1,1,1,0,0,0,0,0,2,0.0
Apr. 07,New York Islanders,0,1,1,2,0,0,0,0,0,1,0.0
