TOI,IAP,GP,IPP,G,Points/60
3200:54,46.3,272,66.3,19,1.18
4350:01,40.7,316,71.4,58,1.86
5781:48,25.6,348,32.7,14,0.67
6682:52,27.1,368,34.0,21,0.93
5497:53,26.7,334,36.4,22,0.89
3032:12,46.1,260,68.0,28,1.72
3653:23,36.1,261,71.1,58,1.94
4474:41,19.9,262,29.0,16,0.68
4342:24,33.0,330,69.7,68,1.78
4755:38,50.2,330,70.4,49,2.16
5578:14,39.7,366,74.4,91,2.10
4708:39,53.7,333,75.1,38,1.69
4118:47,36.9,352,67.0,53,1.72
3090:28,42.4,279,70.3,33,1.61
5262:25,18.2,329,24.4,13,0.58
3530:18,36.7,307,64.1,35,1.39
4380:54,49.0,340,75.0,52,2.05
3704:14,26.3,227,34.2,12,0.84
4141:24,41.3,306,67.4,48,1.80
4748:09,25.0,300,31.6,13,0.78
6595:41,29.4,361,33.3,10,0.76
5908:15,24.9,356,32.8,19,0.80
3242:54,17.9,244,20.5,3,0.44
5314:19,63.0,375,80.8,55,2.81
5100:31,40.3,375,71.6,76,2.05
4393:50,28.7,273,34.7,10,0.79
6937:26,31.5,362,36.7,17,1.03
6596:48,27.0,367,40.5,35,0.95
3315:57,36.9,324,64.3,23,0.98
3189:13,23.9,205,30.4,9,0.79
3490:14,25.0,226,38.6,19,0.93
3941:36,52.0,305,76.8,31,1.46
4016:36,46.4,333,67.0,23,1.12
5301:36,29.8,320,36.6,16,0.97
3995:10,33.7,291,66.3,63,1.92
4857:24,41.7,345,69.4,50,1.54
5388:59,45.1,368,76.0,76,2.08
5201:43,22.8,327,27.5,9,0.60
4050:57,28.3,281,36.4,15,0.99
3572:41,27.5,241,30.8,4,0.62
5702:32,21.0,334,30.9,26,0.85
3534:41,38.8,287,73.0,52,1.88
4540:47,42.4,367,75.8,55,1.65
4499:26,13.6,293,19.8,11,0.47
4879:44,45.8,373,71.9,50,1.70
3825:18,41.9,292,71.2,47,1.79
5122:31,24.0,329,29.5,12,0.75
4746:49,40.8,367,74.9,61,1.69
5391:26,29.3,333,36.7,16,0.88
5074:26,34.0,355,71.0,97,2.20
4141:33,44.2,320,75.8,52,1.81
3958:02,26.6,268,35.2,11,0.68
3516:56,46.2,262,84.4,61,2.30
3598:13,26.4,250,33.8,11,0.83
4225:03,41.5,338,73.3,56,1.83
3191:59,26.5,169,33.8,10,0.86
4873:01,39.7,372,69.5,71,2.04
5540:06,23.1,329,32.8,18,0.66
4869:02,30.1,308,37.5,13,0.81
4076:02,43.3,351,68.5,32,1.28
6174:22,18.3,356,23.9,14,0.58
4383:15,40.9,372,68.2,36,1.23
4736:49,23.8,312,31.4,13,0.68
3201:02,41.0,243,71.8,36,1.57
4277:29,25.5,298,30.1,7,0.65
3743:16,39.2,336,71.5,42,1.49
3221:53,36.9,307,73.9,41,1.53
3105:15,36.3,245,74.3,43,1.62
5083:55,29.4,362,32.4,6,0.78
5002:10,33.3,311,39.5,10,0.77
3121:05,34.6,264,72.9,41,1.50
4973:51,20.1,314,23.9,7,0.53
3945:54,52.3,305,74.8,35,1.76
4317:16,52.7,298,80.8,67,2.68
3105:09,34.2,238,72.0,61,2.24
4751:46,49.8,333,75.9,64,2.35
4061:01,23.8,297,32.5,13,0.72
3669:58,40.1,301,67.3,40,1.62
3354:12,36.8,238,59.7,33,1.54
4083:21,37.8,316,70.6,59,1.87
3628:54,28.3,232,34.6,8,0.73
4306:52,39.6,290,73.3,63,1.91
5582:38,38.3,350,78.3,92,1.93
5509:04,40.1,355,77.8,107,2.41
4376:23,40.3,342,68.9,56,1.85
4282:27,28.9,257,35.8,14,1.01
4322:32,21.0,262,24.2,5,0.53
3194:43,37.0,354,58.7,20,1.01
4437:06,16.0,280,21.7,10,0.51
4866:26,44.4,344,68.9,48,1.66
4877:13,39.6,344,73.2,89,2.39
3187:10,35.1,277,67.9,43,1.68
4404:10,42.9,334,67.4,43,1.61
3368:28,29.7,195,31.7,2,0.57
5203:01,23.1,326,29.6,11,0.58
3537:16,33.3,318,61.0,34,1.27
4623:12,45.7,319,70.7,46,1.69
3752:44,43.6,305,66.9,38,1.74
3313:03,40.9,245,71.8,46,1.94
5002:01,57.4,352,80.6,50,2.09
5053:04,40.9,364,67.9,52,1.56
4482:11,44.8,335,67.2,43,1.73
4030:47,31.5,344,70.3,43,1.16
3617:16,41.7,310,65.6,39,1.77
4093:15,44.7,312,70.6,51,2.04
4672:02,39.3,340,68.2,61,1.85
3154:39,41.6,246,73.7,44,1.92
4410:02,38.2,320,74.5,94,2.63
4510:32,41.4,371,73.0,48,1.48
6352:25,23.4,364,33.2,23,0.74
3306:54,37.7,277,69.2,50,2.00
4897:01,25.7,304,30.7,10,0.76
3562:21,40.9,288,64.2,37,1.72
4182:09,33.3,355,63.8,42,1.26
3133:04,49.3,259,71.9,33,2.01
3940:28,33.3,363,65.8,37,1.14
4483:56,22.3,298,28.8,9,0.54
5612:36,22.1,334,24.3,6,0.68
4449:54,36.3,270,41.4,8,0.88
4562:01,31.0,339,73.2,90,2.05
4731:35,33.9,356,61.5,60,1.70
3699:18,34.1,218,39.1,9,1.14
3885:13,29.2,263,38.7,13,0.82
3605:16,43.1,278,66.4,32,1.51
5924:42,34.4,361,47.0,31,1.17
4570:16,25.5,288,31.0,10,0.75
4228:41,43.4,343,69.3,43,1.63
3421:26,22.4,213,24.8,3,0.54
5090:36,39.9,373,70.0,67,1.84
4487:32,24.8,312,28.6,6,0.61
4028:58,41.9,332,62.9,35,1.56
5279:10,29.1,338,35.8,12,0.73
3036:14,39.0,275,77.1,40,1.60
4300:04,34.3,358,65.7,54,1.58
4234:41,37.3,316,65.2,45,1.49
4574:13,37.6,375,66.5,50,1.51
3700:15,36.0,328,63.2,31,1.17
5113:14,27.5,306,35.8,18,0.92
5720:58,26.7,357,32.1,13,0.81
3974:29,35.2,328,60.7,37,1.33
5773:50,40.8,371,75.8,91,2.05
4426:11,50.0,327,76.0,50,1.98
4764:26,35.4,353,73.5,86,2.09
4787:36,23.2,331,30.4,13,0.69
4773:40,48.8,351,75.3,57,2.04
5149:00,37.9,372,66.8,61,1.64
5906:57,23.4,366,25.7,5,0.58
3392:43,37.8,278,63.9,31,1.34
4121:22,22.2,267,26.8,7,0.60
5312:34,20.3,329,23.2,6,0.54
3985:26,44.9,343,65.4,26,1.25
3052:54,36.1,199,40.2,5,0.96
4279:39,41.6,316,76.6,75,2.30
4542:14,36.2,363,67.6,67,1.90
4458:31,41.8,305,80.1,77,2.17
3178:55,38.0,262,68.5,28,1.19
4714:07,20.7,325,22.8,4,0.53
3801:04,20.3,269,25.3,8,0.63
4851:16,20.1,294,25.9,10,0.56
4947:26,52.2,362,77.5,63,2.34
5300:35,56.3,340,74.3,44,2.06
3519:16,29.2,224,36.1,10,0.89
4825:47,26.2,306,33.0,14,0.85
6209:44,25.4,356,32.6,17,0.74
4034:34,20.1,231,25.0,7,0.54
4401:35,45.5,367,70.7,56,2.14
4030:28,43.3,342,64.9,29,1.30
3228:52,19.4,256,23.1,4,0.46
4888:51,36.9,285,41.9,10,1.02
3438:16,23.0,234,28.7,7,0.61
3862:55,12.5,266,16.2,5,0.34
3571:29,47.5,265,70.8,28,1.43
4902:58,28.5,326,31.0,4,0.60
5271:05,32.0,312,36.6,8,0.73
4575:24,40.3,339,71.1,49,1.48
5301:00,25.5,334,29.6,9,0.72
5840:16,23.5,363,26.8,6,0.49
3956:02,41.5,360,67.4,35,1.38
4010:34,34.4,313,76.2,67,1.83
5254:40,35.0,370,70.3,87,1.98
3984:40,36.2,333,67.7,41,1.33
5213:04,24.7,306,36.0,27,0.99
4140:34,39.3,315,60.7,31,1.28
3295:55,27.1,202,33.6,9,0.86
3501:46,42.1,301,71.1,33,1.39
4136:07,28.7,329,65.6,58,1.49
5916:09,17.3,351,20.3,6,0.42
3717:10,39.2,285,71.0,56,2.02
3653:13,35.9,285,62.8,42,1.61
3730:00,43.3,306,61.1,16,0.88
4911:56,30.8,297,43.2,23,0.98
4261:36,33.5,299,70.2,69,1.86
3715:59,32.5,287,64.9,50,1.61
4655:20,45.6,366,76.0,66,2.13
3510:57,28.0,273,64.3,57,1.73
4391:17,27.6,258,39.4,26,1.19
