FTA,3PM,3PA,Team,ORB
22.4,6.1,19.0,Morehead State,13.8
16.2,4.6,16.2,South Carolina State,13.0
23.6,5.4,17.6,Iowa,12.3
18.3,5.4,17.2,Idaho State,7.3
20.9,6.7,20.0,Montana State,9.9
21.9,5.8,19.1,North Carolina A&T,9.8
20.8,5.2,16.2,Southern Utah,11.7
21.4,6.7,20.1,Texas State,9.8
19.9,4.6,16.9,Old Dominion,13.6
20.2,6.6,17.4,Southern Mississippi,12.2
22.1,7.5,18.8,Duke,8.8
19.0,7.4,19.8,William & Mary,8.0
19.0,4.4,16.1,Maryland-Eastern Shore,12.2
19.6,7.0,19.4,Stanford,11.0
20.5,5.9,18.2,San Diego State,10.6
19.5,5.8,17.6,Loyola Marymount,11.1
16.2,7.8,22.7,North Florida,9.9
23.9,5.4,16.8,Western Michigan,11.2
17.7,1.8,6.1,Lamar,11.1
22.2,5.4,16.9,Towson,13.2
19.6,3.8,14.5,Prairie View A&M,15.1
18.8,6.9,20.9,St. Francis (NY),12.2
18.1,5.8,15.7,Evansville,9.7
22.3,2.8,10.0,George Washington,12.9
20.1,5.0,17.0,Penn State,10.2
16.7,6.4,18.8,Cleveland State,9.6
20.3,8.1,21.8,Army,10.1
20.6,6.7,18.8,IPFW,9.9
15.5,6.5,19.0,Holy Cross,8.8
20.0,5.1,16.7,Kennesaw State,10.1
19.6,4.5,14.3,High Point,12.1
20.9,5.5,15.8,UTEP,8.2
22.5,4.2,14.1,Loyola (MD),11.8
19.1,6.3,19.6,Rhode Island,9.5
23.3,5.4,15.7,Wake Forest,8.8
22.5,5.1,17.1,Texas,11.5
20.1,7.0,20.9,Florida International,10.6
20.5,6.8,19.9,Long Beach State,11.1
18.6,5.2,17.7,Maine,10.3
17.9,7.8,24.2,Illinois,11.2
19.5,6.4,16.9,Pacific,9.3
18.0,5.5,16.3,Alabama,10.0
19.8,7.5,21.2,LSU,12.4
22.8,7.3,22.4,Niagara,11.9
22.4,7.8,22.4,East Carolina,10.1
17.4,5.5,18.8,Delaware State,10.3
20.5,6.8,21.4,Cincinnati,13.4
17.7,6.5,17.6,Notre Dame,10.4
20.6,5.9,17.7,Toledo,9.4
18.0,5.2,17.4,Alabama State,11.7
16.6,7.1,20.5,St. Francis (PA),9.0
17.8,5.8,17.4,Drexel,10.5
19.7,4.9,14.5,Michigan State,10.9
16.9,6.0,18.6,Seattle,12.9
19.3,4.8,16.2,DePaul,11.0
16.9,5.7,16.7,Wright State,7.8
19.1,4.6,12.9,Bucknell,8.6
15.7,4.9,14.7,Eastern Michigan,11.0
18.4,8.8,24.7,Eastern Kentucky,8.5
20.2,8.6,22.5,Robert Morris,9.8
15.1,4.9,16.1,Bowling Green,10.2
20.9,7.1,21.2,Massachusetts,11.0
20.0,6.1,16.4,Albany,9.0
22.3,5.7,16.1,Jacksonville State,10.0
17.9,8.5,20.6,Creighton,7.9
21.2,7.4,23.1,Louisiana Tech,13.0
18.2,7.6,20.1,North Carolina,12.9
21.4,6.5,18.1,Appalachian State,10.6
18.3,8.5,22.1,Belmont,8.7
20.7,4.8,14.3,Green Bay,9.6
19.1,5.7,17.3,Miami (OH),8.2
20.2,4.9,14.2,Pittsburgh,12.3
14.9,5.7,18.5,Wofford,8.3
18.9,9.3,25.8,Charleston Southern,12.7
20.1,5.7,16.7,Texas-Arlington,12.4
24.1,3.9,12.5,New Mexico State,12.0
21.3,6.4,18.4,Marist,9.0
15.0,7.9,21.0,Denver,5.9
23.4,6.3,17.1,N.J.I.T.,12.8
19.2,7.2,20.9,Saint Joseph's,9.9
21.0,4.8,16.7,Texas Tech,10.6
16.1,6.1,15.8,Virginia,8.1
21.5,7.1,20.8,Detroit,10.7
21.6,7.8,22.6,Murray State,10.7
18.3,6.3,18.5,Western Carolina,12.1
21.9,5.9,16.4,Georgia,9.9
16.9,6.0,17.1,Eastern Illinois,8.6
23.0,5.8,17.3,Louisville,12.9
17.7,8.9,25.1,Texas Southern,10.4
20.5,6.9,20.9,Akron,12.2
19.1,5.6,17.2,Gardner-Webb,11.8
21.9,5.2,15.6,Oregon,11.5
21.3,5.6,16.9,Tennessee-Martin,11.8
23.7,6.0,16.7,Houston,11.7
22.5,4.3,13.5,Wagner,11.4
17.0,4.7,16.3,UC Riverside,10.2
18.4,5.2,13.3,Western Illinois,6.7
17.6,7.1,18.9,Cal Poly,9.7
17.5,5.1,16.0,Clemson,10.1
17.7,5.7,17.3,Northern Arizona,9.0
21.3,6.1,17.8,Hawaii,11.8
19.8,6.1,17.4,Fresno State,9.9
20.4,7.3,19.0,Austin Peay,9.7
15.2,6.9,20.2,Colgate,8.5
21.3,6.5,19.7,UNLV,11.3
18.7,7.8,19.9,Boise State,9.5
18.4,4.5,16.4,Northern Illinois,11.6
19.9,7.3,21.1,Illinois State,10.0
19.5,5.5,18.1,Florida A&M,11.8
21.3,8.1,24.3,Central Michigan,10.0
16.4,6.0,17.1,Louisiana-Monroe,8.6
23.1,3.5,12.4,North Texas,11.5
18.8,4.1,13.4,Campbell,10.5
