ORB%,USG%,Age,Date,ORtg,eFG%,DRtg
10.5,27.7,32-009,2006-02-09,66,.500,107
0.0,22.1,31-312,2005-12-09,81,.333,90
0.0,35.1,32-071,2006-04-12,109,.500,108
0.0,16.4,31-319,2005-12-16,105,1.000,127
6.4,23.8,32-006,2006-02-06,59,.143,114
0.0,32.3,31-313,2005-12-10,45,.500,114
0.0,19.8,31-308,2005-12-05,70,.333,119
0.0,25.1,31-303,2005-11-30,112,.500,109
0.0,0.0,32-046,2006-03-18,214, ,74
0.0,15.0,31-359,2006-01-25,0,.000,103
19.7,17.9,31-302,2005-11-29,84,.333,92
6.6,19.6,32-076,2006-04-17,134,.500,118
0.0,19.2,32-067,2006-04-08,65,.500,113
0.0,21.6,32-004,2006-02-04,91,.667,119
0.0,17.3,32-050,2006-03-22,161,.667,108
10.3,15.9,31-343,2006-01-09,153,.500,118
0.0,22.2,31-350,2006-01-16,137,.800,103
21.5,21.7,31-338,2006-01-04,108,.667,109
36.9,13.2,31-310,2005-12-07,68,.000,105
34.4,30.9,31-317,2005-12-14,136,.500,107
6.2,16.6,31-275,2005-11-02,69,.500,107
0.0,13.9,32-016,2006-02-16,142,1.000,85
13.4,24.5,31-355,2006-01-21,102,.500,88
0.0,24.9,32-070,2006-04-11,85,.500,103
22.3,16.3,31-287,2005-11-14,73,.250,109
0.0,33.6,31-298,2005-11-25,99,.667,104
7.6,12.8,31-340,2006-01-06,157,.625,105
