Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Sep 1,at Stony Brook,"L, 49-17",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 8,Lehigh,"L, 35-14",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 15,at New Hampshire,"L, 43-10",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 22,Wagner,"L, 31-13",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 29,at Sacred Heart,"L, 34-21",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 13,Duquesne,"W, 38-31",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 20,at Robert Morris,"L, 37-31",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 27,St. Francis University,"W, 32-30",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 3,at Monmouth, ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 10,Bryant,"L, 28-25",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 17,at Albany (N.Y.),"L, 63-34",-,-,0,-,-,0,-,-,-,-,-,-,-,-
