BLK%,Date,GmSc,AST%,eFG%,Opp,Rk,Age
0.0,1988-11-19,4.4,4.8,1.000,BOS,7,31-230
4.5,1988-11-22,3.4,0.0,1.000,PHI,8,31-233
3.6,1989-04-07,7.4,7.0,.333,CLE,45,32-004
3.8,1989-03-10,4.6,13.3,1.000,SAC,30,31-341
4.6,1988-11-08,5.3,0.0,.400,NJN,2,31-219
0.0,1988-12-13,2.1,7.3,1.000,BOS,15,31-254
0.0,1989-04-02,4.7,6.3, ,GSW,42,31-364
2.1,1989-04-20,5.5,5.7,.500,CHI,51,32-017
0.0,1989-04-06,3.5,6.5,.500,MIA,44,32-003
1.8,1988-12-07,7.7,0.0,.500,UTA,12,31-248
9.8,1988-12-02,5.3,0.0,1.000,DET,9,31-243
0.0,1989-02-25,1.8,0.0,.500,DAL,23,31-328
4.2,1989-04-16,8.1,3.8,.429,DET,49,32-013
4.1,1988-12-09,1.0,0.0,1.000,POR,13,31-250
0.0,1989-03-29,3.1,11.8,.250,ATL,40,31-360
0.0,1989-03-07,4.1,24.6,.000,MIL,28,31-338
4.6,1989-03-12,0.7,0.0,.200,DET,31,31-343
0.0,1988-12-04,0.0,4.2,.000,LAL,10,31-245
2.7,1988-11-11,-0.4,0.0, ,CHH,4,31-222
12.5,1988-11-09,0.1,6.7,.000,NYK,3,31-220
5.0,1989-03-17,-0.1,0.0, ,NJN,33,31-348
0.0,1989-04-12,-0.7,6.1,.000,MIL,48,32-009
5.9,1989-04-18,6.8,0.0,.600,BOS,50,32-015
4.3,1989-02-21,1.3,4.1,.333,LAC,21,31-324
0.0,1989-04-23,5.8,18.6, ,PHI,53,32-020
8.0,1988-12-17,3.7,0.0,.600,NYK,16,31-258
3.3,1988-11-12,-2.4,12.3,.000,NYK,5,31-223
6.2,1989-04-09,3.9,11.7, ,NYK,46,32-006
0.0,1988-11-05,0.0,9.4,.000,CHI,1,31-216
15.8,1989-03-05,3.3,5.6, ,CHH,27,31-336
