TO,DEF,Split,FG%,PF,FTA,3P%,FTM,3FGA,GS
3.7,4.3,Games In February,.372,1.7,4.7,.091,3.0,3.7,3
2.8,3.0,v. Opp. At or Below .500,.524,2.6,3.5,.214,2.3,2.5,11
2.3,2.3,Away Games,.471,3.0,2.8,.500,2.2,2.0,6
2.0,2.0,Games In Rotation,.400,2.0,4.0,1.000,3.0,1.0,0
2.0,2.0,Games In March,.481,2.8,1.8,.167,1.2,1.5,8
2.1,2.6,Home Games,.514,2.0,2.9,.280,2.4,1.7,29
1.0,3.5,Games In November,.929,1.0,3.0,1.000,1.5,1.5,2
2.4,2.2,Last 10 Games,.461,2.4,2.4,.400,2.2,2.0,10
3.2,3.3,v. Opp. Above .500,.372,2.6,4.2,.077,2.9,2.6,10
2.7,3.3,Games In December,.475,2.7,5.0,.500,4.7,2.7,3
0.8,2.3,Last 10 Games,.542,1.4,2.4,.389,2.2,1.8,10
2.6,2.7,Away Games,.454,2.5,3.2,.304,2.2,2.2,24
4.0,3.2,Games In December,.493,3.0,5.5,.308,4.5,2.2,6
2.4,2.5,v. Opp. At or Below .500,.482,2.3,2.9,.216,2.2,1.9,27
2.1,2.3,v. Opp. At or Below .500,.415,2.6,2.9,.214,2.7,2.0,7
2.2,2.4,Games As Starter,.497,2.3,2.7,.444,2.3,1.8,15
1.5,1.0,Games In May,.440,3.0,2.5,.000,2.0,1.5,2
5.5,3.0,Games In December,.520,2.0,5.0,.667,4.0,1.5,2
-,-,Games In June,-,-,-,-,-,-,-
2.3,2.8,v. Opp. Above .500,.470,2.0,3.2,.340,2.4,2.1,24
4.0,2.5,Games In February,.500,1.5,0.0,.600,0.0,2.5,2
2.4,2.2,Losses,.465,2.8,2.8,.462,2.2,2.6,5
2.2,2.7,Games In November,.651,1.6,1.8,.357,1.2,1.6,9
3.0,3.2,International Season Stats,.455,2.6,3.7,.164,2.5,2.5,22
2.2,2.4,International Season Stats,.497,2.3,2.7,.444,2.3,1.8,15
2.0,1.7,Games In January,.389,2.0,1.3,1.000,1.0,0.7,2
1.7,2.4,International Season Stats,.535,1.7,2.6,.514,2.0,1.5,22
2.0,3.0,Games In October,.467,3.5,6.0,.333,5.0,1.5,2
1.0,2.8,Last 5 Games,.533,1.6,3.6,.400,3.2,2.0,5
0.7,1.7,Games In March,.545,1.3,1.3,.000,1.3,1.3,3
1.0,6.0,Games In April,.333,3.0,4.0,.200,3.0,5.0,1
2.8,2.2,Games In March,.462,3.8,2.0,.400,1.0,1.2,4
1.0,2.6,Last 10 Games,.490,1.9,2.9,.364,2.5,2.2,10
2.0,2.0,v. Opp. At or Below .500,.500,1.7,2.2,.222,1.7,1.0,9
2.1,2.5,Wins,.506,2.0,2.6,.305,2.1,1.6,36
1.0,2.2,Games In May,.512,1.8,2.8,.412,2.4,1.9,9
