Date,Opponent,Score,g,a,pts,pim,+/-,ppg,shg,eng,gwg,gtg,s
Nov 2,at Franklin Pierce,"L, 3-0",0,0,0,0,-1,0,0,0,0,0,0
Nov 5,at Sacred Heart,"W, 4-1",0,0,0,2,+1,0,0,0,0,0,0
Nov 8,at Southern Maine,"L, 4-1",0,1,1,0,+0,0,0,0,0,0,4
Nov 15,Castleton,"L, 7-2",0,0,0,0,+0,0,0,0,0,0,0
Nov 16,New England College,"W, 1-0",0,0,0,0,+0,0,0,0,0,0,3
Nov 22,at Manhattanville,"L, 4-2",0,0,0,0,-2,0,0,0,0,0,0
Nov 23,at Nichols,"L, 3-0",0,0,0,0,-2,0,0,0,0,0,1
Dec 5,at Univ. of New England,"L, 5-1",1,0,1,0,-1,0,0,0,0,0,4
Dec 6,Univ. of New England,"L, 2-0",0,0,0,4,+0,0,0,0,0,0,0
Jan 3,vs. Nichols,"W, 3-2",-,-,-,-,-,-,-,-,-,-,-
Jan 4,vs. Sacred Heart,"L, 2-1",-,-,-,-,-,-,-,-,-,-,-
Jan 10,Southern Maine,"L, 2-1",1,0,1,2,+0,0,1,0,0,0,2
Jan 11,Franklin Pierce,"L, 4-1",0,0,0,2,+0,0,0,0,0,0,2
Jan 17,Norwich,"L, 5-1",0,1,1,0,+0,0,0,0,0,0,2
Jan 18,Saint Michael's,"T, 1-1",0,0,0,2,+0,0,0,0,0,0,3
Jan 21,Wesleyan,"L, 4-2",0,0,0,0,+0,0,0,0,0,0,0
Jan 24,Holy Cross,"L, 3-2",0,0,0,2,+0,0,0,0,0,0,0
Jan 25,Salve Regina,"L, 4-3",0,0,0,2,+0,0,0,0,0,0,0
Jan 31,at Saint Michael's,"T, 1-1",0,0,0,4,-1,0,0,0,0,0,2
Feb 1,at Norwich,"L, 4-0",0,0,0,2,-1,0,0,0,0,0,0
Feb 7,at New England College,"W, 2-0",0,0,0,0,+0,0,0,0,0,0,3
Feb 8,at Castleton,"L, 4-0",0,0,0,0,+0,0,0,0,0,0,0
Feb 11,Colby,"L, 2-1",0,0,0,0,+0,0,0,0,0,0,0
Feb 14,UMass Boston,"W, 4-3",-,-,-,-,-,-,-,-,-,-,-
Feb 15,Saint Anselm,"L, 4-3",-,-,-,-,-,-,-,-,-,-,-
Feb 22,at Salve Regina,"L, 5-0",0,0,0,0,-1,0,0,0,0,0,2
