OPS,R,3B,2B,OBP,HR,SLG
0.816,80,1,21,0.337,30,0.478
0.854,82,3,30,0.347,27,0.507
0.85,61,2,29,0.37,12,0.481
0.672,29,2,6,0.308,7,0.364
0.682,81,2,18,0.348,1,0.333
0.716,44,0,16,0.331,6,0.385
0.571,1,0,0,0.286,0,0.286
0.731,49,0,17,0.314,11,0.416
0.821,69,0,20,0.338,29,0.484
0.83,1,0,2,0.409,0,0.421
0.533,26,1,9,0.27,2,0.263
0.869,68,1,29,0.361,20,0.508
0.937,11,0,4,0.4,1,0.537
0.811,43,3,12,0.317,14,0.494
0.2,0,0,0,0.2,0,0.0
0.795,46,5,10,0.388,1,0.407
0.854,10,0,6,0.417,0,0.438
0.771,50,3,13,0.331,15,0.44
0.79,66,6,25,0.372,2,0.418
0.829,90,8,28,0.357,20,0.472
1.337,4,0,1,0.48,3,0.857
0.667,2,0,2,0.222,0,0.444
1.018,35,3,12,0.438,8,0.581
0.761,62,4,22,0.323,19,0.437
0.648,25,1,6,0.324,1,0.324
0.804,34,2,17,0.349,4,0.455
0.751,33,3,13,0.303,6,0.447
0.813,34,1,25,0.352,5,0.461
0.739,56,0,25,0.336,10,0.403
0.59,5,0,3,0.262,1,0.328
0.833,61,1,29,0.374,10,0.459
0.77,25,3,13,0.323,5,0.447
0.662,49,5,11,0.351,1,0.311
0.733,28,1,9,0.31,10,0.422
0.895,50,6,12,0.391,13,0.505
0.567,10,2,5,0.246,1,0.321
0.846,11,0,5,0.414,2,0.432
1.149,5,0,0,0.379,4,0.769
0.833,1,0,1,0.333,0,0.5
0.813,3,0,1,0.313,1,0.5
0.817,63,4,29,0.378,6,0.439
0.912,93,16,25,0.377,18,0.534
0.639,42,5,12,0.285,8,0.354
0.85,16,0,7,0.359,4,0.491
0.641,36,2,18,0.31,2,0.331
1.263,4,0,1,0.368,3,0.895
0.894,30,0,11,0.353,10,0.541
1.071,2,1,0,0.5,0,0.571
0.568,7,0,2,0.253,2,0.314
0.701,14,0,6,0.285,4,0.417
0.874,79,13,29,0.359,15,0.515
2.0,2,0,0,1.0,0,1.0
0.678,69,5,28,0.302,6,0.376
0.492,13,0,4,0.231,1,0.261
0.798,51,6,28,0.348,7,0.45
0.82,43,4,9,0.382,3,0.438
