Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Sean Casey,Paw,6,3,3,1,0,0,0,0,0,1,1,0.5,0.571,0.667,1.238
Juan Bonifacio,DSL,82,18,27,6,3,1,16,8,3,16,17,0.329,0.459,0.512,0.971
David Ortiz,PawPor,17,6,5,0,0,3,6,0,0,5,3,0.294,0.455,0.824,1.278
Lars Anderson,PorLan,218,46,76,17,0,9,45,0,0,43,50,0.349,0.455,0.55,1.005
Carson Blair,GCL,11,0,5,1,0,0,2,0,0,0,3,0.455,0.455,0.545,1.0
Daniel Nava,Lan,171,38,65,14,1,7,32,3,2,21,33,0.38,0.452,0.596,1.048
Peter Hissey,LowGCL,24,6,7,1,0,0,4,6,0,6,4,0.292,0.452,0.333,0.785
Bobby Kielty,PawLow,34,5,9,1,1,1,9,0,0,11,9,0.265,0.438,0.441,0.879
Leonel Escobar,DSL,72,7,23,1,0,0,6,0,0,10,12,0.319,0.437,0.333,0.77
Zachary Daeges,Por,171,31,55,11,3,0,19,1,0,34,26,0.322,0.433,0.421,0.854
Jeff Bailey,Paw,223,53,67,16,0,18,50,5,1,37,55,0.3,0.416,0.614,1.031
Derrik Gibson,LowGCL,46,10,11,2,1,0,6,9,0,11,10,0.239,0.41,0.326,0.736
Anthony Rizzo,Gre,42,2,16,2,0,0,3,0,0,2,5,0.381,0.409,0.429,0.838
Chris Carter,Paw,241,42,83,18,0,17,43,0,0,23,39,0.344,0.408,0.631,1.039
Jay Johnson,Por,21,3,7,1,0,0,5,0,1,4,2,0.333,0.407,0.381,0.788
Dennis Blackmon,Lan,49,6,15,3,0,1,10,0,0,8,11,0.306,0.404,0.429,0.832
Aaron Bates,Por,218,29,67,14,1,7,37,0,0,26,50,0.307,0.4,0.477,0.877
Jeff Corsaletti,PawPor,216,45,66,19,2,9,38,2,1,30,50,0.306,0.39,0.537,0.927
Derwin Pinto,DSL,29,7,4,1,0,0,2,0,1,9,5,0.138,0.39,0.172,0.563
Jonathan Hee,Low,69,9,14,3,0,0,7,2,2,19,14,0.203,0.389,0.246,0.635
Argenis Diaz,PorLan,195,31,63,7,4,1,24,2,2,18,42,0.323,0.381,0.415,0.796
Matt Sheely,Lan,78,14,23,1,3,0,5,3,0,9,14,0.295,0.378,0.385,0.762
Ryan Lavarnway,Low,34,7,9,3,0,1,3,0,0,5,10,0.265,0.375,0.441,0.816
Rafael Espinoza,DSL,120,18,30,5,4,0,13,7,2,18,36,0.25,0.375,0.358,0.733
Michael Jones,LanGre,230,31,73,20,1,6,39,0,0,19,42,0.317,0.373,0.491,0.864
