SB,Player,3B,R,POS
2,K Davis,0,3,SS
0,D Dominguez,0,1,2B
0,J Mayo,0,1,C
0,J Roof,0,5,SS
0,B Sims,0,0,P
30,D Mollenhauer,1,51,3B
0,A Clark,0,11,1B
14,L Ware,6,40,CF
3,C Burnette,2,24,1B
13,T Ferguson,1,44,CF
11,Y Prades,5,36,OF
0,A Baker,0,8,1B
4,D Butler,0,39,C
1,J Casas,2,14,OF
0,T Hurley,0,0,P
13,S Wilkerson,2,54,OF
4,A Valdez,2,13,3B
0,R Query,1,4,C
0,A Russell,0,0,P
6,J Schoop,2,37,3B
1,A Gallas,0,14,OF
2,J Whittleman,3,52,1B
1,L Sierra,1,24,C
4,A Martinez,0,9,2B
14,A McClure,3,22,SS
0,J Rodriguez,0,3,C
0,L Escobar,0,0,C
0,J Smit,1,3,OF
0,J Whitmer,0,0,C
1,J Leonard,1,43,3B
0,M Rayl,0,0,P
25,S Souza,2,58,1B
0,S Starr,0,1,SS
1,R Hague,0,4,SS
5,A Gilbert,0,2,CF
1,A Yount,2,18,3B
0,R Delgado,0,0,C
0,J Padron,3,26,1B
1,B Britton,0,9,3B
0,K Eveland,0,1,SS
0,A Wilson,0,0,P
1,D Paisano,4,21,OF
0,G Soto,0,0,P
7,D Mailman,1,27,LF
2,M Liberto,0,8,2B
0,Z Osborne,0,0,P
6,A James,1,27,2B
25,D Wagner,4,60,2B
0,J Lewis,3,29,1B
10,J Hoying,4,50,OF
3,M Almanzar,0,18,1B
0,C Brownsten,0,3,C
7,B Kleinknecht,0,25,1B
6,R Stovall,0,23,3B
3,M Flacco,2,21,1B
4,A Frost,1,4,2B
7,Z Walters,1,15,3B
7,B Peacock,1,21,C
8,M Machado,3,24,SS
1,S King,0,9,3B
2,W Pichardo,1,8,OF
0,K Shelton,1,5,3B
30,L Garcia,5,65,SS
0,J Mahoney,0,0,1B
0,T Cannon,4,36,SS
6,P Gosselin,6,60,2B
1,J Cuevas,1,7,SS
0,G Folgia,0,4,RF
3,G Rodriguez,0,22,OF
0,A Ortiz,0,1,LF
0,C Jones,0,0,P
1,J Kang,0,2,SS
17,J Toole,1,39,2B
