AST%,G,Rk,GmSc,Tm,ORB%,BLK%
7.6,17,17,2.0,WSB,0.0,7.2
8.5,32,32,7.6,WSB,7.5,10.4
9.0,23,23,-0.9,WSB,0.0,0.0
0.0,10,10,2.2,WSB,5.3,2.7
3.3,49,49,10.9,WSB,6.8,6.3
6.7,30,30,7.8,WSB,13.4,10.6
0.0,2,2,2.6,WSB,43.5,0.0
0.0,67,67,-0.8,WSB,17.1,0.0
12.5,18,18,3.9,WSB,0.0,7.1
3.9,39,39,11.2,WSB,16.2,4.1
0.0,35,35,0.0,WSB,0.0,0.0
9.5,36,36,4.5,WSB,13.7,3.8
7.1,66,66,1.1,WSB,0.0,0.0
10.4,8,8,0.1,WSB,13.3,8.3
18.8,26,26,0.6,WSB,0.0,11.9
0.0,60,60,0.5,WSB,5.9,0.0
5.5,59,59,2.8,WSB,12.7,3.5
7.2,55,55,5.1,WSB,0.0,3.0
6.7,53,53,4.3,WSB,0.0,0.0
22.2,15,15,4.6,WSB,24.0,6.2
12.3,44,44,4.7,WSB,4.1,2.3
0.0,38,38,5.6,WSB,9.3,5.3
0.0,22,22,4.4,WSB,24.5,4.0
45.1,13,13,-0.5,WSB,0.0,0.0
5.6,43,43,4.4,WSB,18.7,4.5
4.6,57,57,3.8,WSB,6.0,7.2
37.2,27,27,2.7,WSB,40.0,0.0
0.0,31,31,0.2,WSB,16.1,4.2
0.0,29,29,3.6,WSB,0.0,7.6
6.7,63,63,10.2,WSB,6.7,4.4
0.0,20,20,1.1,WSB,7.6,3.8
10.7,56,56,4.4,WSB,4.9,5.4
19.8,37,37,3.9,WSB,0.0,6.7
0.0,65,65,2.2,WSB,0.0,6.6
7.0,62,62,0.4,WSB,0.0,0.0
