Rank,Name,Team,G,QBRat,Att,Comp,Comp %,Yds,Yd/A,Yd/G,TD,Int
1,D. Brees,NO,16,97.0,659,456,69.2,4952,7.51,309.5,33,17
2,M. Ryan,Atl,16,93.9,628,415,66.1,4694,7.47,293.4,28,14
3,M. Stafford,Det,16,85.7,602,363,60.3,4257,7.07,266.1,22,12
4,E. Manning,NYG,16,92.1,601,379,63.1,4410,7.34,275.6,30,14
5,J. Cutler,Chi,15,88.6,561,370,66.0,3812,6.8,254.1,28,18
6,A. Rodgers,GB,16,112.2,520,341,65.6,4381,8.43,273.8,38,5
7,C. Kaepernick,SF,16,86.4,478,289,60.5,3369,7.05,210.6,19,10
8,R. Wilson,Sea,16,95.0,452,285,63.1,3475,7.69,217.2,20,7
9,C. Newton,Car,14,82.1,448,262,58.5,3127,6.98,223.4,18,12
10,T. Romo,Dal,15,113.2,435,304,69.9,3705,8.52,247.0,34,9
11,T. Bridgewater,Min,13,85.2,402,259,64.4,2919,7.26,224.5,14,12
12,J. McCown,TB,11,70.5,327,184,56.3,2206,6.75,200.5,11,14
13,N. Foles,Phi,8,81.4,311,186,59.8,2163,6.95,270.4,13,10
14,M. Sanchez,Phi,9,88.4,309,198,64.1,2418,7.83,268.7,14,11
15,A. Davis,StL,10,85.1,284,180,63.4,2001,7.05,200.1,12,9
16,D. Stanton,Ari,9,78.7,240,132,55.0,1711,7.13,190.1,7,5
17,S. Hill,StL,9,83.9,229,145,63.3,1657,7.24,184.1,8,7
18,C. Palmer,Ari,6,95.6,224,141,62.9,1626,7.26,271.0,11,3
19,R. Griffin III,Was,9,86.9,214,147,68.7,1694,7.92,188.2,4,6
20,K. Cousins,Was,6,86.4,204,126,61.8,1710,8.38,285.0,10,9
