TS%,TOV%,GS,Opp,Date,TRB%,STL%,ORtg,DRtg
.581,0.0,0,NJN,1988-02-04,24.7,0.0,156,82
.709,11.4,0,PHI,1988-03-28,15.2,2.3,141,111
.636,17.5,0,LAL,1988-01-18,5.4,0.0,111,130
.680,25.4,0,SAC,1988-01-19,8.0,2.5,94,106
.667,0.0,0,SAC,1988-04-14,8.5,0.0,144,106
 , ,0,NYK,1988-03-24,0.0,0.0, ,119
.600,16.7,0,CLE,1988-01-28,8.5,4.2,107,109
.611,0.0,0,SAS,1988-04-12,6.3,0.0,141,126
.444,0.0,0,GSW,1988-01-07,7.1,0.0,108,110
.000,0.0,0,ATL,1987-12-22,0.0,0.0,0,110
1.000,0.0,0,DET,1987-12-29,12.8,0.0,201,107
.799,30.4,0,GSW,1988-03-13,13.9,2.5,109,99
.400,16.7,0,LAL,1987-11-08,31.6,9.2,72,72
.793,0.0,0,LAC,1988-04-10,4.1,0.0,173,122
.436,22.5,0,CHI,1987-11-28,4.5,0.0,80,112
.000,0.0,0,WSB,1988-02-20,15.7,0.0,48,103
.444,20.2,0,LAC,1988-01-26,9.4,5.8,83,87
.425,14.5,0,POR,1988-01-14,6.9,6.4,87,92
.000,0.0,0,DAL,1988-04-19,10.5,0.0,24,111
 , ,0,LAC,1987-12-17,0.0,0.0, ,108
.333,25.0,0,PHO,1988-02-02,25.9,0.0,75,101
.713,7.0,0,PHI,1988-02-22,5.9,0.0,142,110
.539,17.7,0,LAL,1988-03-22,10.3,0.0,105,122
.429,0.0,0,UTA,1987-12-10,8.0,2.4,101,93
.500,20.0,0,UTA,1988-03-01,4.2,0.0,101,114
.340,14.5,0,IND,1988-03-31,24.1,3.2,82,95
.410,0.0,0,CHI,1987-12-12,10.0,5.4,117,104
