WAA,Pos Summary,Rk,waaWL%,PA,Rbat,Rrep,Rfield,RAA
-1.3,7/D9,97,.480,218,-5,7,-4,-13
-0.4,2,10,.487,92,-4,3,0,-4
0.2,2/5,591,.516,34,-1,1,3,2
0.0,1,221,.501,0,0,0,0,0
0.0,1,275,.501,0,0,0,0,0
0.0,1,599,.501,0,0,0,0,0
0.0,1,411,.501,0,0,0,0,0
-0.2,1,660,.493,34,-6,0,0,-2
0.9,79/8,57,.508,382,13,13,2,9
-0.5,5/4D9,334,.494,299,-3,10,-4,-5
0.0,1,4,.501,0,0,0,0,0
0.0,1,18,.501,0,0,0,0,0
-0.3, ,554,.486,20,-3,1,0,-3
0.0,1,549,.500,1,-0,0,0,0
5.1,*8,561,.532,688,21,23,20,48
0.1,4/67,617,.501,85,0,3,-0,0
-0.7,7/3,519,.493,309,-2,11,-2,-6
0.0,1,526,.501,0,0,0,0,0
-1.4,54/D6,537,.482,235,-6,8,-9,-14
 , ,765, , , , , , 
-0.5,3/297,658,.490,92,-2,3,-1,-5
1.1,*6/5,681,.507,571,-8,20,4,10
-1.2,6/45D,362,.483,185,-11,6,-6,-12
-0.1,1,369,.498,17,-3,0,0,-1
0.2,1,480,.506,18,-1,0,0,2
-0.1,1,736,.495,51,-7,0,0,-1
-0.2,1,699,.494,64,-9,0,0,-2
-0.9,783/9D,306,.492,436,-3,15,-4,-9
0.7,1,739,.519,42,2,0,0,6
-0.5,3,711,.496,421,3,14,-2,-4
0.0,1,157,.501,0,0,0,0,0
-0.2,2/D3,745,.496,226,2,8,-6,-2
1.0,9/7,482,.509,294,12,10,2,9
0.1, ,613,.507,15,1,1,0,1
0.0,/1,712,.500,0,0,0,0,0
0.0,1,733,.501,0,0,0,0,0
-0.1,65/4,281,.499,64,-4,2,3,-1
0.1,56/4,565,.502,120,-3,4,2,1
-0.0, ,621,.472,1,-0,0,0,-0
0.0,1,545,.501,0,0,0,0,0
-0.2,2,21,.496,219,-1,7,-5,-2
0.3,8/7D,562,.514,39,1,1,1,3
-1.5,*9/D8,176,.489,559,5,19,-13,-14
0.0,1,283,.501,1,-0,0,0,0
-0.1,8/79,603,.497,73,-3,2,2,-1
1.5,78/D,418,.519,237,9,8,8,14
-0.3,6/4,55,.482,22,-1,1,-3,-3
1.3,*5/D,203,.509,612,9,21,-1,12
-0.5,1,459,.484,71,-13,0,0,-4
0.2,4/D,557,.501,438,6,15,-7,1
-0.1,/56,754,.473,2,-1,0,0,-0
-0.0,/1,701,.496,1,-0,0,0,-0
0.3,7/9,486,.511,93,4,3,-0,2
0.0,1,510,.501,0,0,0,0,0
0.0,1,695,.501,0,0,0,0,0
-0.1,1,127,.489,8,-2,0,0,-1
0.0,1,512,.501,0,0,0,0,0
1.4,*78/9,479,.510,566,28,19,-9,13
0.0,1,571,.501,0,0,0,0,0
0.1,*2,193,.500,579,-7,20,3,1
0.2,1,59,.507,61,-6,0,0,2
-1.6,D/3,6,.483,265,-6,9,1,-15
-1.6,*79/D,598,.487,509,1,17,-8,-16
-1.4,37/D95,388,.484,284,-7,10,-3,-13
-1.9,379D/5286,11,.482,225,-6,8,-4,-18
0.3,46/7,639,.501,505,-2,17,-3,2
0.0,/1,611,.501,0,0,0,0,0
-2.1,*5/6,394,.483,483,-7,16,-14,-20
-0.2,2,73,.496,97,-2,3,-1,-1
0.0,1,166,.501,0,0,0,0,0
-0.5,3/7,538,.469,45,-4,2,-0,-5
-0.4,3/D,133,.496,378,1,13,0,-4
0.0,/1,63,.501,0,0,0,0,0
-0.2,7/9,483,.493,66,-3,2,1,-2
-1.5,9/28D,551,.479,203,-7,7,-3,-14
-0.0,1/D,116,.500,0,0,0,0,-0
0.0,1,550,.501,0,0,0,0,0
0.1,/D,110,.519,9,1,0,0,1
0.0,1,58,.501,0,0,0,0,0
-0.5,*73/9,505,.496,541,7,18,-4,-4
-0.2,798,98,.498,187,-4,6,1,-2
0.0,1,439,.501,0,0,0,0,0
-0.2,7/92,332,.495,121,-3,4,3,-2
0.1,1,335,.503,9,0,0,0,1
0.1,1,498,.506,7,0,0,0,1
0.0,1,748,.501,0,0,0,0,0
0.5,*D/3,429,.503,613,19,21,-0,5
-0.7,3/D,750,.488,173,-5,6,2,-6
-0.1,6/D,240,.495,56,-1,2,-1,-1
0.0,1,83,.501,0,0,0,0,0
3.9,*2,628,.526,592,12,20,13,34
0.1,/1,329,.513,13,-1,0,0,1
0.0,1,763,.501,0,0,0,0,0
-0.0,1,150,.498,3,-1,0,0,-0
0.0,1,314,.501,0,0,0,0,0
0.8,546,5,.514,80,3,3,2,7
-0.4,5/D3,378,.494,176,-3,6,1,-4
-0.5,*5,146,.497,580,4,20,-8,-4
0.0,1,143,.501,1,-0,0,0,0
-0.2,/2,734,.489,18,-2,1,0,-1
-0.2,1,623,.493,31,-5,0,0,-1
-2.4,*6,82,.482,423,-29,14,-2,-22
-0.3,3,533,.487,24,-3,1,0,-2
0.0,1,70,.501,0,0,0,0,0
-0.3, ,688,.484,25,-2,1,-1,-3
0.8,3,224,.506,447,13,15,0,7
-1.0,6,601,.488,211,-11,7,-3,-9
0.0,1,427,.501,0,0,0,0,0
0.0,1,172,.501,0,0,0,0,0
-1.8,79/D5,532,.470,158,-9,5,-3,-17
-3.7,*6,321,.475,480,-20,16,-22,-36
-0.4,*4/5,186,.496,426,-11,15,5,-4
-0.0,/734D,685,.497,8,-1,0,1,-0
-0.8,/397,419,.492,138,-3,5,-2,-7
-0.4,2/3,573,.494,162,-5,6,0,-4
0.0,1,119,.501,0,0,0,0,0
-0.1,1,371,.497,38,-6,0,0,-1
-0.4,1,468,.487,85,-13,0,0,-4
0.4,297/5D6,344,.502,508,-4,17,4,3
0.1,/1,201,.513,5,0,0,0,1
0.0,1,183,.501,0,0,0,0,0
-0.1,/39,407,.482,5,-1,0,-0,-1
0.3,D79/4,604,.502,438,8,15,-1,2
0.0,1,14,.500,4,-1,0,0,0
-0.0,/1,426,.500,1,-0,0,0,-0
0.0,1,574,.501,0,0,0,0,0
-0.6,4/5,466,.489,106,-4,4,-2,-5
0.0,1,690,.501,0,0,0,0,0
-0.3,87D,101,.496,279,-8,10,7,-3
1.3,*5/3D,310,.510,414,8,14,3,12
1.1,*4,181,.507,469,-19,16,23,10
-0.4,7/9D,641,.486,93,1,3,-3,-4
0.0,/2,356,.508,2,0,0,0,0
-0.0,1,729,.500,2,-0,0,0,-0
-0.1,6,627,.494,42,-2,1,1,-1
-0.8,/5,594,.468,43,-6,1,-1,-7
-0.2,25/D,140,.497,155,-4,5,0,-2
-1.2,*9,618,.492,655,-0,22,-6,-11
-0.1,1,648,.498,59,-8,0,0,-0
3.4,*8,529,.523,571,13,20,19,30
0.0,1,416,.501,0,0,0,0,0
0.1,2,490,.504,52,0,2,0,1
-0.2,1,669,.494,45,-7,0,0,-2
0.7,5/34,438,.507,204,7,7,0,6
-0.0,1,244,.499,31,-4,0,0,-0
-0.0,1,174,.498,4,-1,0,0,-0
-1.1,3,632,.484,149,-4,5,-3,-10
0.1,1,444,.503,6,-0,0,0,1
0.2,9/78,13,.505,49,-2,2,5,2
-0.1,/879,124,.495,26,-0,1,0,-0
-0.1,4/7,725,.498,168,-15,6,11,-1
-0.1,1,723,.498,68,-9,0,0,-1
0.6,*56,96,.504,613,11,21,-6,5
-0.4,2,69,.494,206,-10,7,4,-4
0.3,9/D,139,.503,237,7,8,-2,2
-1.1,*7/D,431,.492,525,2,18,-6,-11
-1.4,93/527,555,.490,539,2,18,-7,-13
-0.3,1,319,.489,83,-12,0,0,-3
-0.7,6/54,608,.486,104,-5,4,-3,-6
-1.5,*6,744,.489,452,-23,15,-1,-15
0.4,2,584,.512,93,-1,3,3,4
0.5,1,432,.515,89,-6,0,0,5
0.0,1,715,.501,0,0,0,0,0
-0.9,798,455,.491,187,-1,6,-4,-8
0.0,1,1,.501,0,0,0,0,0
0.0,1,716,.500,7,-1,0,0,0
0.1,*98/7,396,.500,431,5,15,3,0
0.0,1,475,.501,0,0,0,0,0
-0.4,3D,372,.490,95,-1,3,-0,-4
-1.5,6/4,697,.471,152,-11,5,-4,-14
2.2,*8,568,.514,647,24,22,-2,21
0.0,1,300,.501,0,0,0,0,0
3.2,*9/D8,291,.521,611,29,21,0,30
0.0,/1,654,.501,0,0,0,0,0
-0.2,/35,762,.488,21,-1,1,-0,-1
-0.3,54/63D,649,.497,288,-8,10,6,-3
-0.2,/3,409,.489,29,-1,1,-1,-2
0.0,1,636,.501,0,0,0,0,0
0.0,/1,513,.501,0,0,0,0,0
0.6,*4,731,.504,737,7,23,-16,5
-0.3,1,129,.491,49,-8,0,0,-3
-0.0,1,395,.500,14,-2,0,0,-0
3.5,*3/D,380,.523,635,31,22,12,33
-0.5,1,436,.486,89,-15,0,0,-5
-0.0,1,278,.500,15,-2,0,0,-0
0.0,65/D4,228,.500,152,-6,5,3,0
0.0,1/D,74,.500,0,0,0,0,0
0.5,5/379,346,.512,91,4,3,0,5
-0.2,/1,522,.494,13,-3,0,0,-2
-0.2,*4/D,280,.498,665,-11,22,-0,-2
-1.6,6,727,.479,184,-19,6,0,-14
0.9,89D,349,.508,374,9,13,1,9
2.0,*5,458,.513,651,16,22,-1,19
0.4,/5,141,.547,32,3,1,1,4
0.0,1,36,.500,1,-0,0,0,0
0.0,/1,90,.501,0,0,0,0,0
0.0, ,643,.501,4,0,0,0,0
-0.0,7/95,86,.500,115,1,4,-2,-0
0.0,/1,437,.501,0,0,0,0,0
0.0,1,293,.501,0,0,0,0,0
-0.6,*7/D,358,.495,446,3,15,-4,-6
0.0,/1,132,.501,0,0,0,0,0
-0.0,/1,106,.489,7,-1,0,0,-0
-0.0,/1,12,.494,2,-1,0,0,-0
0.0,1/,379,.501,0,0,0,0,0
-0.9,793,347,.490,233,-6,8,-1,-8
-0.1,8/97,514,.496,76,2,3,-2,-1
0.0,1,440,.501,76,-9,0,0,0
-0.1,7/9D1,696,.496,50,-2,2,2,-1
0.0,1,2,.501,0,0,0,0,0
0.0,1,48,.501,0,0,0,0,0
-0.1,1,368,.498,68,-9,0,0,-1
0.0,/1,105,.501,0,0,0,0,0
0.0,/1,24,.501,0,0,0,0,0
0.0,1,742,.501,0,0,0,0,0
0.0,1,113,.501,0,0,0,0,0
-0.3,/5,22,.462,14,-1,0,-2,-3
0.0,6,295,.500,33,1,1,-2,0
0.1,1,679,.504,29,-2,0,0,1
0.0,1,7,.501,0,0,0,0,0
-2.9,*64/D,307,.479,442,-30,15,-9,-28
-0.2,/5,546,.466,14,-1,0,-0,-2
0.2,1,8,.504,25,-2,0,0,2
-0.7,9/7D,225,.479,103,-4,4,-2,-7
0.1,1,524,.505,3,1,0,0,1
-0.2,/89,397,.479,7,-1,0,-0,-1
-1.7,*3,148,.488,455,-3,16,-6,-15
0.0,/1,316,.501,0,0,0,0,0
-0.1,/1,691,.479,11,-2,0,0,-1
0.1,1,615,.502,39,-4,0,0,0
0.0,/1,595,.501,0,0,0,0,0
-0.2,/978,410,.497,80,-1,3,-1,-1
0.2,5983/7,315,.501,594,20,20,-17,1
0.0,1,757,.501,0,0,0,0,0
-0.0,1,752,.499,55,-7,0,0,-0
0.0,1,387,.501,0,0,0,0,0
-0.4,/546,706,.482,33,-4,1,-0,-4
0.0,1,353,.501,0,0,0,0,0
-1.3,*6,663,.491,629,-21,21,1,-12
1.5,*8/9,121,.509,709,7,23,0,13
-1.0,87/9D,578,.486,141,-6,5,-4,-10
0.0,1,521,.501,0,0,0,0,0
0.1,1,209,.505,54,-6,0,0,1
0.2,*7,265,.501,595,5,20,2,2
-0.0,1,552,.500,3,-1,0,0,-0
0.6,1/7,698,.511,35,0,0,0,5
0.2,/7,205,.512,32,2,1,-0,2
0.0,/89,539,.502,14,1,0,-0,0
4.1,*8/4,659,.526,718,30,23,-2,38
0.3,8,499,.504,258,-1,9,2,3
-0.1,/4,382,.495,9,-0,0,-0,-0
1.9,*98,495,.513,600,23,20,-2,18
0.0,/1,51,.501,0,0,0,0,0
0.0,1,71,.501,0,0,0,0,0
-0.9,2,605,.478,98,-8,3,-1,-8
-0.4,1,383,.487,61,-11,0,0,-4
-1.1,*6,202,.492,484,-11,17,-8,-10
-0.1,1,446,.497,38,-6,0,0,-1
0.1,9/D7,103,.502,163,6,6,-2,1
-0.2,/7,340,.473,10,-2,0,-0,-2
0.0,1,20,.501,0,0,0,0,0
-0.0,1,302,.499,5,-1,0,0,-0
-0.9,45/97,453,.484,57,-6,2,-3,-8
-0.1,/72,85,.493,22,-1,1,0,-1
0.0,/1,593,.501,0,0,0,0,0
0.0,1,290,.501,0,0,0,0,0
-1.9,*3,286,.488,653,-6,22,-2,-17
-2.3,D,655,.470,212,-18,7,-0,-22
-0.5,/978,374,.482,30,-3,1,-0,-4
0.2,2/D,461,.502,284,-10,10,7,2
1.8,*2,287,.513,486,4,17,5,16
0.1,1,494,.503,30,-3,0,0,1
0.0,1,260,.501,0,0,0,0,0
1.7,*64/5,255,.511,521,-10,18,14,16
-1.2,7,606,.470,109,-11,4,2,-10
-0.0,1,178,.500,59,-7,0,0,-0
0.0,/1,339,.501,0,0,0,0,0
-2.5,*3,111,.481,518,-10,18,-5,-24
-0.8,89/3,541,.492,141,-3,5,-2,-7
0.0,1,668,.501,0,0,0,0,0
-0.2,D/7,117,.496,90,1,3,-1,-2
0.0,1,317,.501,0,0,0,0,0
0.0,1,248,.501,0,0,0,0,0
1.3,1,684,.537,92,1,0,0,12
0.0,/1,535,.501,0,0,0,0,0
-0.4,97/5,473,.491,187,-1,6,0,-4
-0.0,1,580,.499,4,-1,0,0,-0
2.3,*2,749,.520,399,6,14,9,20
0.0,/1,102,.501,0,0,0,0,0
-1.2,978,683,.484,262,-7,9,-0,-10
-0.1,97/8,80,.498,112,1,4,-2,-1
0.1,/2,462,.512,9,-1,0,1,1
-0.1,1,386,.499,23,-3,0,0,-0
1.5,7/3D8,165,.511,492,13,17,-1,14
-2.9,*6,477,.478,493,-24,17,-11,-26
0.1,1,722,.504,50,-5,0,0,1
0.2,5,747,.510,36,3,1,-2,2
-0.4,9/D7,227,.495,195,-1,7,-0,-4
